,roll_yield,near_by,deferred,date
AL,-0.12336371289067688,AL1007,AL1008,2010-06-01
V,-0.11924776317540381,v1009,v1101,2010-06-01
TA,-0.11423199606051893,TA009,TA101,2010-06-01
L,-0.11360091972181122,l1009,l1101,2010-06-01
RB,-0.09274132011369912,RB1010,RB1101,2010-06-01
ZN,-0.09218995406419539,ZN1008,ZN1009,2010-06-01
FU,-0.08359162270102558,FU1007,FU1009,2010-06-01
IF,-0.08226624317672922,IF1006,IF1007,2010-06-01
ER,-0.07613878649115965,ER009,ER101,2010-06-01
Y,-0.0744776511921101,y1009,y1101,2010-06-01
RO,-0.05050874443785894,RO009,RO101,2010-06-01
M,-0.040022226885744694,m1009,m1101,2010-06-01
AU,-0.026912454655904083,AU1006,AU1012,2010-06-01
WS,-0.021025053205333984,WS009,WS101,2010-06-01
A,-0.012568753655526385,a1101,a1105,2010-06-01
CU,0.0,CU1008,CU1009,2010-06-01
WR,0.023295323986521316,WR1009,WR1010,2010-06-01
P,0.03176553653557132,p1009,p1101,2010-06-01
C,0.049767859836881326,c1009,c1101,2010-06-01
B,0.07626223734350343,b1007,b1101,2010-06-01
RU,0.12897944038451092,RU1009,RU1011,2010-06-01
SR,0.15201834316005156,SR009,SR101,2010-06-01
CF,0.19496418110231636,CF009,CF101,2010-06-01
WT,-0.22483643261350927,WT009,WT011,2010-06-02
L,-0.1189292016223181,l1009,l1101,2010-06-02
TA,-0.11781722229996212,TA009,TA101,2010-06-02
V,-0.1158288127119431,v1009,v1101,2010-06-02
ZN,-0.09821629554016023,ZN1008,ZN1009,2010-06-02
AL,-0.09603252318748852,AL1008,AL1009,2010-06-02
RB,-0.09258797876718101,RB1010,RB1101,2010-06-02
Y,-0.07880378046183056,y1009,y1101,2010-06-02
ER,-0.07443826307340423,ER009,ER101,2010-06-02
RO,-0.060399781385093804,RO009,RO101,2010-06-02
IF,-0.05605673350998633,IF1006,IF1007,2010-06-02
M,-0.04646230091523499,m1009,m1101,2010-06-02
FU,-0.033126378142502286,FU1007,FU1009,2010-06-02
AU,-0.023508543479399024,AU1006,AU1012,2010-06-02
WS,-0.01584510725752729,WS009,WS101,2010-06-02
A,-0.011735573708398887,a1101,a1105,2010-06-02
CU,0.01574065624365998,CU1008,CU1009,2010-06-02
P,0.022539550052349575,p1009,p1101,2010-06-02
WR,0.04647790850198991,WR1009,WR1010,2010-06-02
C,0.07236848028786859,c1009,c1101,2010-06-02
B,0.08477555669996482,b1007,b1101,2010-06-02
SR,0.1431486842725943,SR009,SR101,2010-06-02
RU,0.14488458373434443,RU1009,RU1011,2010-06-02
CF,0.2223893465000989,CF009,CF101,2010-06-02
WT,-0.19733627876729953,WT009,WT011,2010-06-03
L,-0.11576527879674303,l1009,l1101,2010-06-03
TA,-0.1144423913643609,TA009,TA101,2010-06-03
V,-0.10115590799789387,v1009,v1101,2010-06-03
ZN,-0.09899412683012276,ZN1008,ZN1009,2010-06-03
RB,-0.09133031801414158,RB1010,RB1101,2010-06-03
AL,-0.08794176600423828,AL1008,AL1009,2010-06-03
IF,-0.08268391733623034,IF1006,IF1007,2010-06-03
Y,-0.07638091792287455,y1009,y1101,2010-06-03
ER,-0.07151883334493687,ER009,ER101,2010-06-03
M,-0.05069327881064861,m1009,m1101,2010-06-03
RO,-0.050222738642672404,RO009,RO101,2010-06-03
FU,-0.043875881077719614,FU1007,FU1009,2010-06-03
AU,-0.027003682780111116,AU1006,AU1012,2010-06-03
WS,-0.013227534657017778,WS009,WS101,2010-06-03
A,-0.010165525170456605,a1101,a1105,2010-06-03
CU,0.017823991394300916,CU1008,CU1009,2010-06-03
P,0.03160300105487863,p1009,p1101,2010-06-03
WR,0.03760398400822998,WR1009,WR1010,2010-06-03
B,0.08608350251713591,b1007,b1101,2010-06-03
C,0.09318990917129037,c1009,c1101,2010-06-03
RU,0.12073958945831087,RU1009,RU1011,2010-06-03
SR,0.15365737014288874,SR009,SR101,2010-06-03
CF,0.23977642726048481,CF009,CF101,2010-06-03
WT,-0.24344109868299874,WT009,WT011,2010-06-04
L,-0.11772059107652022,l1009,l1101,2010-06-04
V,-0.10925010315701647,v1009,v1101,2010-06-04
TA,-0.1014338602441733,TA009,TA101,2010-06-04
RB,-0.10110376431670012,RB1010,RB1101,2010-06-04
ZN,-0.08739417854567542,ZN1008,ZN1009,2010-06-04
AL,-0.08512111354490558,AL1008,AL1009,2010-06-04
ER,-0.07447449860864666,ER009,ER101,2010-06-04
Y,-0.07356445358077832,y1009,y1101,2010-06-04
IF,-0.06933930451974135,IF1006,IF1007,2010-06-04
RO,-0.0552909126160622,RO009,RO101,2010-06-04
M,-0.045049112495791195,m1009,m1101,2010-06-04
WS,-0.013169468031757125,WS009,WS101,2010-06-04
A,-0.009355516937429474,a1101,a1105,2010-06-04
FU,-0.008222934133101765,FU1007,FU1009,2010-06-04
AU,0.001358952149223048,AU1006,AU1012,2010-06-04
CU,0.0022643645694140997,CU1008,CU1009,2010-06-04
WR,0.020287409734889426,WR1009,WR1010,2010-06-04
P,0.03240355535204244,p1009,p1101,2010-06-04
B,0.06087754609719216,b1007,b1101,2010-06-04
C,0.10555039852986586,c1009,c1101,2010-06-04
RU,0.14465234670796073,RU1009,RU1011,2010-06-04
SR,0.17675711900664226,SR009,SR101,2010-06-04
CF,0.2517917206338642,CF009,CF101,2010-06-04
WT,-0.194348974747413,WT009,WT011,2010-06-07
V,-0.1291204578924901,v1009,v1101,2010-06-07
L,-0.11870366786216495,l1009,l1101,2010-06-07
