,roll_yield,near_by,deferred,date
JD,-0.5300230292814695,jd1705,jd1709,2017-01-03
BU,-0.15409312798534183,BU1706,BU1709,2017-01-03
CS,-0.15379594242480732,cs1705,cs1709,2017-01-03
SF,-0.15021015793441916,SF701,SF705,2017-01-03
C,-0.11811787027571871,c1705,c1709,2017-01-03
OI,-0.08251345219407138,OI705,OI709,2017-01-03
NI,-0.063449668564462,NI1701,NI1705,2017-01-03
CF,-0.053220843845284097,CF705,CF709,2017-01-03
RU,-0.05264003323530869,RU1705,RU1709,2017-01-03
AG,-0.05175563060559988,AG1701,AG1706,2017-01-03
SN,-0.04424562335102269,SN1701,SN1705,2017-01-03
TA,-0.04266252388643349,TA705,TA709,2017-01-03
CU,-0.03940027617520011,CU1702,CU1703,2017-01-03
AL,-0.038065059673727884,AL1702,AL1703,2017-01-03
Y,-0.029209852752968092,y1705,y1709,2017-01-03
AU,-0.021386634467653085,AU1706,AU1712,2017-01-03
ZN,-0.019973848387498702,ZN1702,ZN1703,2017-01-03
M,-0.01726002603513283,m1705,m1709,2017-01-03
RM,0.0013172338301634008,RM705,RM709,2017-01-03
FG,0.012484412523756473,FG705,FG709,2017-01-03
RB,0.02538810698562171,RB1705,RB1710,2017-01-03
ZC,0.02689504565714996,ZC705,ZC709,2017-01-03
V,0.030025271480517663,v1705,v1709,2017-01-03
PP,0.03132176964951018,pp1705,pp1709,2017-01-03
B,0.032226276286263435,b1703,b1709,2017-01-03
TF,0.03537073652793236,TF1703,TF1706,2017-01-03
L,0.04827511383299165,l1705,l1709,2017-01-03
IH,0.049792816888170395,IH1701,IH1703,2017-01-03
A,0.053111435007474075,a1705,a1709,2017-01-03
T,0.05437759808880083,T1703,T1706,2017-01-03
IF,0.07807645350768216,IF1701,IF1703,2017-01-03
PB,0.08299744901878198,PB1702,PB1703,2017-01-03
P,0.08682121123717469,p1705,p1709,2017-01-03
MA,0.0983319733902012,MA705,MA709,2017-01-03
SR,0.12426393110620704,SR701,SR705,2017-01-03
BB,0.12507241340857653,bb1701,bb1709,2017-01-03
IC,0.132234626916987,IC1701,IC1703,2017-01-03
FU,0.20078632669270746,FU1704,FU1711,2017-01-03
WR,0.24732519955936277,WR1701,WR1702,2017-01-03
WH,0.2685497925197007,WH701,WH705,2017-01-03
HC,0.27283623425199577,HC1701,HC1705,2017-01-03
I,0.27331664556687907,i1705,i1709,2017-01-03
JM,0.3727363610706388,jm1705,jm1709,2017-01-03
J,0.39004681227605364,j1705,j1709,2017-01-03
SM,0.7609923763016944,SM701,SM705,2017-01-03
FB,1.9451097839137717,fb1701,fb1702,2017-01-03
JD,-0.5156431594900848,jd1705,jd1709,2017-01-04
B,-0.24790889598438587,b1703,b1705,2017-01-04
BU,-0.1740045816705645,BU1706,BU1709,2017-01-04
CS,-0.14723903927771037,cs1705,cs1709,2017-01-04
C,-0.10190021579762291,c1705,c1709,2017-01-04
OI,-0.08135528979125446,OI705,OI709,2017-01-04
AG,-0.06240233802120799,AG1701,AG1706,2017-01-04
NI,-0.062313082329944466,NI1701,NI1705,2017-01-04
CF,-0.05419756532550504,CF705,CF709,2017-01-04
RU,-0.05295671072412926,RU1705,RU1709,2017-01-04
CU,-0.042253564782945896,CU1702,CU1703,2017-01-04
TA,-0.04203608598631802,TA705,TA709,2017-01-04
AL,-0.033168826645816524,AL1702,AL1703,2017-01-04
SN,-0.031011646986641488,SN1701,SN1705,2017-01-04
Y,-0.029505589300818414,y1705,y1709,2017-01-04
AU,-0.018406167090967426,AU1706,AU1712,2017-01-04
M,-0.013936062223600852,m1705,m1709,2017-01-04
ZN,0.005664385283368833,ZN1702,ZN1703,2017-01-04
RM,0.006500544255270942,RM705,RM709,2017-01-04
V,0.027016146554397318,v1705,v1709,2017-01-04
FG,0.032459742387447726,FG705,FG709,2017-01-04
PP,0.03465793585420811,pp1705,pp1709,2017-01-04
TF,0.04006103288544006,TF1703,TF1706,2017-01-04
RB,0.04047592062380294,RB1705,RB1710,2017-01-04
ZC,0.04379639826345791,ZC705,ZC709,2017-01-04
IH,0.05000028935486579,IH1701,IH1703,2017-01-04
A,0.0551122423240778,a1705,a1709,2017-01-04
L,0.0625348332910978,l1705,l1709,2017-01-04
PB,0.06452541371282261,PB1702,PB1703,2017-01-04
IF,0.06538595335877008,IF1701,IF1703,2017-01-04
T,0.06699837722651304,T1703,T1706,2017-01-04
P,0.08381810606772427,p1705,p1709,2017-01-04
SR,0.11116387459625304,SR701,SR705,2017-01-04
MA,0.11451772051508914,MA705,MA709,2017-01-04
FU,0.11799170130595435,FU1704,FU1711,2017-01-04
IC,0.12396702422270156,IC1701,IC1703,2017-01-04
BB,0.13196277538913914,bb1701,bb1709,2017-01-04
HC,0.18553718906193978,HC1701,HC1705,2017-01-04
WR,0.24732519955936277,WR1701,WR1702,2017-01-04
I,0.26607022414415604,i1705,i1709,2017-01-04
JM,0.3741721950318546,jm1705,jm1709,2017-01-04
J,0.3871508603406931,j1705,j1709,2017-01-04
FB,1.9451097839137717,fb1701,fb1702,2017-01-04
JD,-0.5106023732621963,jd1705,jd1709,2017-01-05
B,-0.18624191636789497,b1703,b1705,2017-01-05
BU,-0.16002133845479682,BU1706,BU1709,2017-01-05
CS,-0.1546314593889376,cs1705,cs1709,2017-01-05
C,-0.10046012711102906,c1705,c1709,2017-01-05
OI,-0.07403675341808985,OI705,OI709,2017-01-05
SN,-0.069144183014556,SN1701,SN1705,2017-01-05
