,roll_yield,near_by,deferred,date
RU,-0.3932645871276539,RU1609,RU1701,2016-06-01
SN,-0.3201379618424368,SN1609,SN1610,2016-06-01
FU,-0.17664514746587145,FU1608,FU1702,2016-06-01
ZC,-0.17131062795015917,ZC609,ZC701,2016-06-01
BU,-0.16293785334886138,BU1609,BU1612,2016-06-01
SR,-0.1589073997954859,SR609,SR701,2016-06-01
TA,-0.08098010179013047,TA609,TA701,2016-06-01
OI,-0.07977123682059228,OI609,OI701,2016-06-01
Y,-0.07810855092336436,y1609,y1701,2016-06-01
M,-0.06856856565359434,m1609,m1701,2016-06-01
AG,-0.06051642223264677,AG1606,AG1612,2016-06-01
MA,-0.050714361417716236,MA609,MA701,2016-06-01
NI,-0.046986776092144175,NI1609,NI1701,2016-06-01
FG,-0.03193063525235081,FG609,FG701,2016-06-01
PB,-0.0283799895779746,PB1607,PB1608,2016-06-01
ZN,-0.024072224722388916,ZN1607,ZN1608,2016-06-01
BB,-0.022229140259465412,bb1606,bb1609,2016-06-01
A,-0.01691960977376363,a1609,a1701,2016-06-01
AU,-0.013152852046352255,AU1606,AU1612,2016-06-01
WH,-0.007890291980263042,WH609,WH701,2016-06-01
JM,0.010960918294736999,jm1609,jm1701,2016-06-01
CU,0.013632492235830318,CU1607,CU1608,2016-06-01
TF,0.023194266438545108,TF1609,TF1612,2016-06-01
T,0.03385469871066572,T1609,T1612,2016-06-01
RB,0.03906481833177524,RB1610,RB1701,2016-06-01
CF,0.043252651495947175,CF609,CF701,2016-06-01
P,0.056572775132405176,p1609,p1701,2016-06-01
J,0.07164519601016207,j1609,j1701,2016-06-01
IH,0.08210094377892369,IH1606,IH1609,2016-06-01
IF,0.08728558091875792,IF1606,IF1609,2016-06-01
HC,0.08771053548120371,HC1610,HC1701,2016-06-01
RS,0.11100608735450518,RS607,RS609,2016-06-01
V,0.12415564848856309,v1609,v1701,2016-06-01
IC,0.13696709213315872,IC1606,IC1609,2016-06-01
PP,0.13711133019692773,pp1609,pp1701,2016-06-01
L,0.1551574616793308,l1609,l1701,2016-06-01
RM,0.15789740278041917,RM609,RM701,2016-06-01
AL,0.17496664891195013,AL1607,AL1608,2016-06-01
C,0.19953444190669792,c1609,c1701,2016-06-01
I,0.20943914361252314,i1609,i1701,2016-06-01
B,0.2099810522225773,b1607,b1609,2016-06-01
JD,0.2477233953128099,jd1609,jd1701,2016-06-01
CS,0.28924655610960737,cs1609,cs1701,2016-06-01
FB,0.7785376484938957,fb1606,fb1607,2016-06-01
WR,1.173502670133824,WR1606,WR1607,2016-06-01
RU,-0.3987985233038869,RU1609,RU1701,2016-06-02
FU,-0.17664514746587145,FU1608,FU1702,2016-06-02
ZC,-0.16266062502949952,ZC609,ZC701,2016-06-02
SR,-0.1587672043630276,SR609,SR701,2016-06-02
BU,-0.13977070473636802,BU1609,BU1612,2016-06-02
SN,-0.08958154130919,SN1609,SN1610,2016-06-02
OI,-0.07835363961046157,OI609,OI701,2016-06-02
TA,-0.07816334450666054,TA609,TA701,2016-06-02
Y,-0.07096257269366943,y1609,y1701,2016-06-02
AG,-0.058171543834091705,AG1606,AG1612,2016-06-02
M,-0.0578860274334668,m1609,m1701,2016-06-02
NI,-0.0489824810999166,NI1609,NI1701,2016-06-02
MA,-0.04810033219253162,MA609,MA701,2016-06-02
FG,-0.04133923679405278,FG609,FG701,2016-06-02
ZN,-0.038572839384078364,ZN1607,ZN1608,2016-06-02
PB,-0.032615046286017885,PB1607,PB1608,2016-06-02
BB,-0.022229140259465412,bb1606,bb1609,2016-06-02
AU,-0.013525314806057624,AU1606,AU1612,2016-06-02
A,-0.008749840486077558,a1609,a1701,2016-06-02
WH,-0.00561062441447445,WH609,WH701,2016-06-02
JM,-0.0,jm1609,jm1701,2016-06-02
CU,0.013597735166024104,CU1607,CU1608,2016-06-02
TF,0.02321631655039539,TF1609,TF1612,2016-06-02
RB,0.026700997734871022,RB1610,RB1701,2016-06-02
T,0.03226887791358695,T1609,T1612,2016-06-02
CF,0.04320074651922004,CF609,CF701,2016-06-02
HC,0.0598981711987225,HC1610,HC1701,2016-06-02
RS,0.06075643578221855,RS607,RS609,2016-06-02
P,0.0650834278645026,p1609,p1701,2016-06-02
J,0.08380931358353969,j1609,j1701,2016-06-02
IH,0.09555534105564689,IH1606,IH1609,2016-06-02
IF,0.10417053448080624,IF1606,IF1609,2016-06-02
