,roll_yield,near_by,deferred,date
J,-0.3855565524029349,j1201,j1205,2012-01-04
WS,-0.20109048695730816,WS205,WS209,2012-01-04
V,-0.18350238263396146,v1201,v1205,2012-01-04
L,-0.14699425797472848,l1201,l1205,2012-01-04
IF,-0.06779733152360079,IF1201,IF1203,2012-01-04
CF,-0.06777128050702605,CF205,CF209,2012-01-04
ER,-0.0674447009847512,ER205,ER209,2012-01-04
M,-0.040692383808079075,m1205,m1209,2012-01-04
RO,-0.03361728474355749,RO205,RO209,2012-01-04
B,-0.032960399159904376,b1205,b1209,2012-01-04
Y,-0.027870140721277928,y1205,y1209,2012-01-04
ME,-0.017556706016332746,ME203,ME205,2012-01-04
C,-0.01713160816304148,c1205,c1209,2012-01-04
P,-0.014065417498677641,p1205,p1209,2012-01-04
ZN,-0.008119080147342517,ZN1203,ZN1204,2012-01-04
AU,0.0006111535570857047,AU1206,AU1212,2012-01-04
RB,0.006356088944384842,RB1205,RB1210,2012-01-04
SR,0.009923925688635357,SR205,SR209,2012-01-04
A,0.022099547450287662,a1209,a1301,2012-01-04
PB,0.023537111174615412,PB1202,PB1203,2012-01-04
WR,0.02589618556846161,WR1205,WR1206,2012-01-04
CU,0.03230729762633796,CU1203,CU1204,2012-01-04
AL,0.037759628386767365,AL1203,AL1204,2012-01-04
TA,0.11135585952495017,TA201,TA205,2012-01-04
RU,0.415225325724485,RU1203,RU1205,2012-01-04
FU,0.4852413108471518,FU1202,FU1203,2012-01-04
J,-0.39909380274852113,j1201,j1205,2012-01-05
WS,-0.20040021931415897,WS205,WS209,2012-01-05
V,-0.17096745546582381,v1201,v1205,2012-01-05
L,-0.15007077049822487,l1201,l1205,2012-01-05
CF,-0.06765865398741935,CF205,CF209,2012-01-05
IF,-0.059935351800758305,IF1201,IF1203,2012-01-05
ER,-0.0581864632592448,ER205,ER209,2012-01-05
ME,-0.05002747851666196,ME203,ME205,2012-01-05
WR,-0.04328488521454305,WR1205,WR1206,2012-01-05
RO,-0.03735263028822862,RO205,RO209,2012-01-05
M,-0.03462360223749522,m1205,m1209,2012-01-05
Y,-0.033120230412475846,y1205,y1209,2012-01-05
ZN,-0.02016468295028006,ZN1203,ZN1204,2012-01-05
P,-0.019943444122984967,p1205,p1209,2012-01-05
C,-0.018453485249861554,c1205,c1209,2012-01-05
B,-0.017061657361768727,b1205,b1209,2012-01-05
AU,-0.000963768352836662,AU1206,AU1212,2012-01-05
