,roll_yield,near_by,deferred,date
RI,-0.8113492387851341,RI407,RI409,2014-06-03
FU,-0.2865435912012001,FU1408,FU1409,2014-06-03
RU,-0.2751800961159489,RU1409,RU1501,2014-06-03
BU,-0.20247631255348308,BU1406,BU1409,2014-06-03
SR,-0.19045378549840836,SR409,SR501,2014-06-03
ME,-0.14516238720376354,ME409,ME501,2014-06-03
J,-0.1423996117167713,j1409,j1501,2014-06-03
JM,-0.12290875531273168,jm1409,jm1501,2014-06-03
WH,-0.11614353654207128,WH409,WH501,2014-06-03
WR,-0.10325816632222112,WR1409,WR1410,2014-06-03
TC,-0.08343527335272091,TC409,TC501,2014-06-03
FB,-0.07506646852647804,fb1409,fb1501,2014-06-03
P,-0.0612266148936211,p1409,p1501,2014-06-03
Y,-0.05587744685122666,y1409,y1501,2014-06-03
AL,-0.05353168728750274,AL1407,AL1408,2014-06-03
PB,-0.047050496918839946,PB1407,PB1408,2014-06-03
V,-0.02946013854292654,v1409,v1501,2014-06-03
A,-0.02842996483166646,a1409,a1501,2014-06-03
TF,-0.015100565223413583,TF1409,TF1412,2014-06-03
I,-0.00878477933726508,i1409,i1501,2014-06-03
ZN,-0.007905138625802095,ZN1407,ZN1408,2014-06-03
RB,-0.007843139767763381,RB1410,RB1501,2014-06-03
IF,-0.005979074356918019,IF1406,IF1409,2014-06-03
HC,-0.0,HC1410,HC1501,2014-06-03
AU,0.0007957032132009685,AU1406,AU1412,2014-06-03
BB,0.004519774866221248,bb1409,bb1501,2014-06-03
AG,0.03437354435133197,AG1406,AG1412,2014-06-03
OI,0.0440810417477077,OI409,OI501,2014-06-03
TA,0.054504963439458196,TA409,TA501,2014-06-03
FG,0.06660773145447994,FG409,FG501,2014-06-03
C,0.07395189583033054,c1409,c1501,2014-06-03
CU,0.08408937954367478,CU1408,CU1409,2014-06-03
L,0.08943932704741764,l1409,l1501,2014-06-03
PP,0.14060524192154145,pp1409,pp1501,2014-06-03
B,0.1778514394567862,b1409,b1501,2014-06-03
M,0.2542927942942371,m1409,m1501,2014-06-03
JD,0.26069951494043464,jd1409,jd1501,2014-06-03
CF,0.33143425754278794,CF409,CF501,2014-06-03
RM,0.4330511256868985,RM409,RM501,2014-06-03
RI,-0.73162235906162,RI407,RI409,2014-06-04
RU,-0.2732389766693848,RU1409,RU1501,2014-06-04
FU,-0.26498024308077983,FU1408,FU1409,2014-06-04
BU,-0.20407631730575915,BU1406,BU1409,2014-06-04
SR,-0.19459707822598354,SR409,SR501,2014-06-04
ME,-0.1565175036129289,ME409,ME501,2014-06-04
J,-0.13932431830674966,j1409,j1501,2014-06-04
WH,-0.11668452098901574,WH409,WH501,2014-06-04
JM,-0.11079281708186567,jm1409,jm1501,2014-06-04
WR,-0.10325816632222112,WR1409,WR1410,2014-06-04
TC,-0.09355907395822044,TC409,TC501,2014-06-04
FB,-0.08827875288172057,fb1409,fb1501,2014-06-04
P,-0.06027786641700434,p1409,p1501,2014-06-04
Y,-0.06023231553412836,y1409,y1501,2014-06-04
PB,-0.05576417541790192,PB1407,PB1408,2014-06-04
AL,-0.04497756389984104,AL1407,AL1408,2014-06-04
A,-0.04245979766215498,a1409,a1501,2014-06-04
V,-0.03187606613680808,v1409,v1501,2014-06-04
RB,-0.014348621288600767,RB1410,RB1501,2014-06-04
TF,-0.013455001544313085,TF1409,TF1412,2014-06-04
HC,-0.012243658166713592,HC1410,HC1501,2014-06-04
ZN,-0.011867480776036925,ZN1407,ZN1408,2014-06-04
IF,-0.004138644963105841,IF1406,IF1409,2014-06-04
AU,0.0039737744048351144,AU1406,AU1412,2014-06-04
I,0.004344678529094625,i1409,i1501,2014-06-04
BB,0.01704227268176843,bb1409,bb1501,2014-06-04
OI,0.028241543608131855,OI409,OI501,2014-06-04
AG,0.03048989465069085,AG1406,AG1412,2014-06-04
FG,0.061056686546695604,FG409,FG501,2014-06-04
TA,0.07200710257793522,TA409,TA501,2014-06-04
C,0.07269218554518267,c1409,c1501,2014-06-04
CU,0.09513924234952964,CU1408,CU1409,2014-06-04
L,0.10288249355749318,l1409,l1501,2014-06-04
PP,0.1316304416690937,pp1409,pp1501,2014-06-04
B,0.17126690095238117,b1409,b1501,2014-06-04
M,0.2449838733315636,m1409,m1501,2014-06-04
JD,0.2801738341167698,jd1409,jd1501,2014-06-04
CF,0.31850853521360384,CF409,CF501,2014-06-04
RM,0.41586423815986884,RM409,RM501,2014-06-04
RI,-0.7803886218097398,RI407,RI409,2014-06-05
RU,-0.27612629500077873,RU1409,RU1501,2014-06-05
BU,-0.21006284873000952,BU1406,BU1409,2014-06-05
SR,-0.1989008735788336,SR409,SR501,2014-06-05
ME,-0.1546968925244037,ME409,ME501,2014-06-05
WR,-0.13292443606688886,WR1409,WR1410,2014-06-05
J,-0.12725400434043316,j1409,j1501,2014-06-05
WH,-0.11580977027969114,WH409,WH501,2014-06-05
JM,-0.10194302457943223,jm1409,jm1501,2014-06-05
TC,-0.10123659979557778,TC409,TC501,2014-06-05
FB,-0.09730582725946187,fb1409,fb1501,2014-06-05
P,-0.05997150410228021,p1409,p1501,2014-06-05
Y,-0.059861140996713226,y1409,y1501,2014-06-05
PB,-0.05146541126661111,PB1407,PB1408,2014-06-05
AL,-0.04935508920453904,AL1407,AL1408,2014-06-05
A,-0.04161140537669226,a1409,a1501,2014-06-05
V,-0.034286087470868545,v1409,v1501,2014-06-05
TF,-0.01717013092869979,TF1409,TF1412,2014-06-05
HC,-0.014652031034948082,HC1410,HC1501,2014-06-05
ZN,-0.011851852815270491,ZN1407,ZN1408,2014-06-05
RB,-0.011720666045132267,RB1410,RB1501,2014-06-05
I,-0.004357299240944402,i1409,i1501,2014-06-05
IF,-0.003719892391224235,IF1406,IF1409,2014-06-05
AU,0.005169502828386289,AU1406,AU1412,2014-06-05
OI,0.010265193933483952,OI409,OI501,2014-06-05
AG,0.010366554123712747,AG1406,AG1412,2014-06-05
BB,0.01564249354050143,bb1409,bb1501,2014-06-05
FG,0.060775559140401156,FG409,FG501,2014-06-05
C,0.07275404413536263,c1409,c1501,2014-06-05
