,roll_yield,near_by,deferred,date
BU,-0.10829061323520006,BU1806,BU1812,2018-01-04
WH,-0.10746382935545201,WH801,WH805,2018-01-04
OI,-0.10449039546702966,OI805,OI809,2018-01-04
Y,-0.07427884953037768,y1805,y1809,2018-01-04
AL,-0.07154708177301629,AL1802,AL1803,2018-01-04
RU,-0.07036905855896569,RU1805,RU1809,2018-01-04
AG,-0.0682985652872555,AG1801,AG1806,2018-01-04
CF,-0.06719648516350667,CF805,CF809,2018-01-04
CS,-0.056749096989272406,cs1805,cs1809,2018-01-04
A,-0.0446376421250269,a1805,a1809,2018-01-04
SN,-0.04388141041817789,SN1801,SN1805,2018-01-04
IH,-0.04204813943092412,IH1801,IH1803,2018-01-04
B,-0.036496800491065115,b1805,b1809,2018-01-04
CU,-0.03040725608900957,CU1802,CU1803,2018-01-04
NI,-0.029570087510262237,NI1805,NI1807,2018-01-04
AU,-0.026702666349728392,AU1806,AU1812,2018-01-04
FG,-0.02639610937766501,FG805,FG809,2018-01-04
RM,-0.02616675987266922,RM805,RM809,2018-01-04
V,-0.017531094446732766,v1805,v1809,2018-01-04
TA,-0.012793181819044267,TA803,TA805,2018-01-04
P,-0.012297390053240504,p1805,p1809,2018-01-04
TF,-0.012240990906433429,TF1803,TF1806,2018-01-04
I,-0.011019296135583853,i1805,i1809,2018-01-04
IF,-0.008987897015209387,IF1801,IF1803,2018-01-04
T,-0.007563277151380808,T1803,T1806,2018-01-04
PB,-0.006182380353132583,PB1802,PB1803,2018-01-04
ZN,-0.004618048931345529,ZN1802,ZN1803,2018-01-04
WR,-0.0,WR1801,WR1802,2018-01-04
M,-0.0,m1805,m1809,2018-01-04
PP,0.03389508629007045,pp1805,pp1809,2018-01-04
IC,0.047197698598567976,IC1801,IC1803,2018-01-04
L,0.053018294796113266,l1805,l1809,2018-01-04
C,0.05736312434033519,c1805,c1809,2018-01-04
SF,0.07435674754400377,SF805,SF809,2018-01-04
HC,0.10243915324576708,HC1805,HC1810,2018-01-04
RB,0.11653086755387682,RB1805,RB1810,2018-01-04
MA,0.13386675306196294,MA805,MA809,2018-01-04
J,0.14031202084018615,j1805,j1809,2018-01-04
SR,0.1483695336926253,SR801,SR805,2018-01-04
JM,0.16464108498931107,jm1805,jm1809,2018-01-04
AP,0.2869836869888789,AP805,AP810,2018-01-04
FB,0.3438722245209493,fb1802,fb1808,2018-01-04
ZC,0.3727906866420371,ZC803,ZC805,2018-01-04
SM,0.44491304746823845,SM801,SM805,2018-01-04
FU,-1.6417542638578022,FU1803,FU1804,2018-01-05
JD,-0.329672678052478,jd1805,jd1809,2018-01-05
BB,-0.2214127126706706,bb1801,bb1804,2018-01-05
BU,-0.11101948953297092,BU1806,BU1812,2018-01-05
OI,-0.10146324519348669,OI805,OI809,2018-01-05
AL,-0.08312749719079457,AL1802,AL1803,2018-01-05
RU,-0.07049245945072338,RU1805,RU1809,2018-01-05
Y,-0.06824263019011717,y1805,y1809,2018-01-05
CF,-0.06456069169428046,CF805,CF809,2018-01-05
AG,-0.05744290857662597,AG1801,AG1806,2018-01-05
CS,-0.05395580069808431,cs1805,cs1809,2018-01-05
SN,-0.05111989035640262,SN1801,SN1805,2018-01-05
IH,-0.047116407838607585,IH1801,IH1803,2018-01-05
A,-0.043796398263457895,a1805,a1809,2018-01-05
CU,-0.03276601653491444,CU1802,CU1803,2018-01-05
FG,-0.030664662214614023,FG805,FG809,2018-01-05
NI,-0.02853823120396974,NI1805,NI1807,2018-01-05
AU,-0.02732719295487371,AU1806,AU1812,2018-01-05
V,-0.019700909909809092,v1805,v1809,2018-01-05
RM,-0.018260925947547448,RM805,RM809,2018-01-05
I,-0.01666670953380589,i1805,i1809,2018-01-05
B,-0.012818561262052795,b1805,b1807,2018-01-05
TF,-0.011825428078155072,TF1803,TF1806,2018-01-05
ZN,-0.011497557648762138,ZN1802,ZN1803,2018-01-05
P,-0.010054003079776204,p1805,p1809,2018-01-05
T,-0.0088598399313532,T1803,T1806,2018-01-05
IF,-0.007227697407123928,IF1801,IF1803,2018-01-05
TA,-0.0021318173967384366,TA803,TA805,2018-01-05
WR,-0.0,WR1801,WR1802,2018-01-05
M,0.004327443952669368,m1805,m1809,2018-01-05
PB,0.009243805823639437,PB1802,PB1803,2018-01-05
PP,0.03299525646037338,pp1805,pp1809,2018-01-05
IC,0.053102691039056835,IC1801,IC1803,2018-01-05
L,0.059227436187603455,l1805,l1809,2018-01-05
C,0.06712421904730545,c1805,c1809,2018-01-05
SF,0.0721553769555664,SF805,SF809,2018-01-05
SR,0.0896641623690993,SR801,SR805,2018-01-05
HC,0.09298058536062528,HC1805,HC1810,2018-01-05
RB,0.11188877780029437,RB1805,RB1810,2018-01-05
J,0.12025360525494996,j1805,j1809,2018-01-05
MA,0.13428815254790474,MA805,MA809,2018-01-05
JM,0.14570904393324294,jm1805,jm1809,2018-01-05
AP,0.2720718193776912,AP805,AP810,2018-01-05
FB,0.3438722245209493,fb1802,fb1808,2018-01-05
ZC,0.38651475168279237,ZC803,ZC805,2018-01-05
SM,0.497835768960286,SM801,SM805,2018-01-05
FU,-1.6417542638578022,FU1803,FU1804,2018-01-08
JD,-0.35146527645198966,jd1805,jd1809,2018-01-08
BB,-0.19554235427809424,bb1801,bb1804,2018-01-08
BU,-0.1099336721223225,BU1806,BU1812,2018-01-08
OI,-0.10835381597768419,OI805,OI809,2018-01-08
AL,-0.08407040224344789,AL1802,AL1803,2018-01-08
WH,-0.07960474739964306,WH801,WH805,2018-01-08
Y,-0.07514546248687874,y1805,y1809,2018-01-08
CS,-0.07144862567450701,cs1805,cs1809,2018-01-08
RU,-0.0695255835322135,RU1805,RU1809,2018-01-08
CF,-0.0693729006451011,CF805,CF809,2018-01-08
AG,-0.05490231613510549,AG1801,AG1806,2018-01-08
SN,-0.04514820804835045,SN1801,SN1805,2018-01-08
IH,-0.042153790899954406,IH1801,IH1803,2018-01-08
A,-0.04039921001707104,a1805,a1809,2018-01-08
I,-0.03756757499667151,i1805,i1809,2018-01-08
CU,-0.03515842104853347,CU1802,CU1803,2018-01-08
NI,-0.030988979717873337,NI1805,NI1807,2018-01-08
B,-0.030141827619898205,b1805,b1809,2018-01-08
V,-0.02623923432860536,v1805,v1809,2018-01-08
RM,-0.026201039906263893,RM805,RM809,2018-01-08
AU,-0.025532261646071502,AU1806,AU1812,2018-01-08
FG,-0.011881203648290744,FG805,FG809,2018-01-08
TF,-0.011808279544220979,TF1803,TF1806,2018-01-08
ZN,-0.009213052275967103,ZN1802,ZN1803,2018-01-08
P,-0.007902168256608787,p1805,p1809,2018-01-08
T,-0.006470399340358783,T1803,T1806,2018-01-08
IF,-0.003169343875463877,IF1801,IF1803,2018-01-08
TA,0.0,TA803,TA805,2018-01-08
WR,-0.0,WR1801,WR1802,2018-01-08
PB,-0.0,PB1802,PB1803,2018-01-08
M,0.006512303570314591,m1805,m1809,2018-01-08
PP,0.034832563576113335,pp1805,pp1809,2018-01-08
C,0.04304709619817635,c1805,c1809,2018-01-08
IC,0.04493701766616405,IC1801,IC1803,2018-01-08
L,0.051646845162263526,l1805,l1809,2018-01-08
SF,0.0776558509560467,SF805,SF809,2018-01-08
HC,0.09761049535422658,HC1805,HC1810,2018-01-08
J,0.11264121778575487,j1805,j1809,2018-01-08
SR,0.11325881520851175,SR801,SR805,2018-01-08
RB,0.12052471889125714,RB1805,RB1810,2018-01-08
JM,0.15041852982469522,jm1805,jm1809,2018-01-08
MA,0.16487665284227243,MA805,MA809,2018-01-08
FB,0.24147841612095508,fb1802,fb1808,2018-01-08
AP,0.28427556099166573,AP805,AP810,2018-01-08
ZC,0.4087700363245912,ZC803,ZC805,2018-01-08
SM,0.40938754030014435,SM801,SM805,2018-01-08
FU,-1.6417542638578022,FU1803,FU1804,2018-01-09
JD,-0.33537421796434985,jd1805,jd1809,2018-01-09
BB,-0.19554235427809424,bb1801,bb1804,2018-01-09
WH,-0.14493295354744334,WH801,WH805,2018-01-09
OI,-0.10994825021678609,OI805,OI809,2018-01-09
BU,-0.10487141885905296,BU1806,BU1812,2018-01-09
AL,-0.07586117429010883,AL1802,AL1803,2018-01-09
I,-0.07401256432978723,i1805,i1809,2018-01-09
Y,-0.07364843098322814,y1805,y1809,2018-01-09
CF,-0.07098046226136781,CF805,CF809,2018-01-09
RU,-0.0695255835322135,RU1805,RU1809,2018-01-09
CS,-0.0685184759094682,cs1805,cs1809,2018-01-09
AG,-0.05987836571507668,AG1801,AG1806,2018-01-09
A,-0.04374908748685098,a1805,a1809,2018-01-09
CU,-0.043707933952100486,CU1802,CU1803,2018-01-09
SN,-0.03799368852396531,SN1801,SN1805,2018-01-09
IH,-0.037735973445383514,IH1801,IH1803,2018-01-09
CY,-0.03344803087454448,CY805,CY809,2018-01-09
V,-0.028561182404060394,v1805,v1809,2018-01-09
NI,-0.025904955145923485,NI1805,NI1807,2018-01-09
AU,-0.025148653326322688,AU1806,AU1812,2018-01-09
RM,-0.020833417058432984,RM805,RM809,2018-01-09
FG,-0.01588355795092203,FG805,FG809,2018-01-09
B,-0.014705911800620062,b1805,b1809,2018-01-09
TF,-0.010565848432706033,TF1803,TF1806,2018-01-09
ZN,-0.009111617749839292,ZN1802,ZN1803,2018-01-09
P,-0.007816866510782035,p1805,p1809,2018-01-09
IF,-0.00685747014976812,IF1801,IF1803,2018-01-09
T,-0.00604001624769736,T1803,T1806,2018-01-09
WR,-0.0,WR1801,WR1802,2018-01-09
TA,0.0021078517694394063,TA803,TA805,2018-01-09
M,0.007574395367199699,m1805,m1809,2018-01-09
PB,0.009177820715064478,PB1802,PB1803,2018-01-09
SR,0.02259510852301168,SR805,SR809,2018-01-09
PP,0.03430423825670646,pp1805,pp1809,2018-01-09
C,0.044690481613142055,c1805,c1809,2018-01-09
IC,0.051314377322076866,IC1801,IC1803,2018-01-09
L,0.05180423289624045,l1805,l1809,2018-01-09
SF,0.07143194608115568,SF805,SF809,2018-01-09
HC,0.09184390245889823,HC1805,HC1810,2018-01-09
J,0.10535152524625188,j1805,j1809,2018-01-09
RB,0.11060087140040627,RB1805,RB1810,2018-01-09
JM,0.14539556968110598,jm1805,jm1809,2018-01-09
MA,0.14752843407179628,MA805,MA809,2018-01-09
FB,0.25174866910625926,fb1802,fb1808,2018-01-09
AP,0.25903266646366463,AP805,AP810,2018-01-09
SM,0.29946100584663293,SM801,SM805,2018-01-09
ZC,0.4366228954834669,ZC803,ZC805,2018-01-09
FU,-1.6417542638578022,FU1803,FU1804,2018-01-10
JD,-0.3316818716174865,jd1805,jd1809,2018-01-10
OI,-0.11352464304085978,OI805,OI809,2018-01-10
BU,-0.099030129054761,BU1806,BU1812,2018-01-10
Y,-0.07359823962285644,y1805,y1809,2018-01-10
AL,-0.0719282872825263,AL1802,AL1803,2018-01-10
RU,-0.07180913060870492,RU1805,RU1809,2018-01-10
I,-0.07178011896520925,i1805,i1809,2018-01-10
CS,-0.06842279368380044,cs1805,cs1809,2018-01-10
CF,-0.06807423360621201,CF805,CF809,2018-01-10
AG,-0.05801933573320556,AG1806,AG1812,2018-01-10
A,-0.043514058608644886,a1805,a1809,2018-01-10
SN,-0.03760567264776591,SN1801,SN1805,2018-01-10
CU,-0.03728413855612347,CU1802,CU1803,2018-01-10
IH,-0.03668272989139337,IH1801,IH1803,2018-01-10
V,-0.03090535058347791,v1805,v1809,2018-01-10
RM,-0.0274213008156274,RM805,RM809,2018-01-10
NI,-0.025042270278957345,NI1805,NI1807,2018-01-10
AU,-0.024849449950821036,AU1806,AU1812,2018-01-10
FG,-0.01785129234189267,FG805,FG809,2018-01-10
B,-0.016906744808683115,b1805,b1809,2018-01-10
TF,-0.012040073442526038,TF1803,TF1806,2018-01-10
P,-0.01123596819048634,p1805,p1809,2018-01-10
CY,-0.010353763512644897,CY805,CY809,2018-01-10
ZN,-0.009220131072111507,ZN1802,ZN1803,2018-01-10
T,-0.00757350581934665,T1803,T1806,2018-01-10
PB,-0.003089996154579768,PB1802,PB1803,2018-01-10
IF,-0.0019938759707815532,IF1801,IF1803,2018-01-10
WR,-0.0,WR1801,WR1802,2018-01-10
TA,0.006345849348812672,TA803,TA805,2018-01-10
M,0.007596314422217206,m1805,m1809,2018-01-10
SR,0.026147307279811502,SR805,SR809,2018-01-10
PP,0.032718445106936764,pp1805,pp1809,2018-01-10
IC,0.044934172128317004,IC1801,IC1803,2018-01-10
C,0.046281909644728905,c1805,c1809,2018-01-10
L,0.04981246515610578,l1805,l1809,2018-01-10
SF,0.07034869788829361,SF805,SF809,2018-01-10
J,0.08489360747054206,j1805,j1809,2018-01-10
HC,0.0901248075164045,HC1805,HC1810,2018-01-10
RB,0.11363824748858829,RB1805,RB1810,2018-01-10
JM,0.12527680620074721,jm1805,jm1809,2018-01-10
MA,0.14873958355577938,MA805,MA809,2018-01-10
FB,0.1907203121312221,fb1802,fb1808,2018-01-10
AP,0.25663068255593424,AP805,AP810,2018-01-10
SM,0.35196871767502136,SM801,SM805,2018-01-10
ZC,0.4827176657357253,ZC803,ZC805,2018-01-10
BB,0.5608295595787072,bb1802,bb1804,2018-01-10
FU,-1.6417542638578022,FU1803,FU1804,2018-01-11
JD,-0.3323190936472865,jd1805,jd1809,2018-01-11
WH,-0.14060458644738733,WH801,WH805,2018-01-11
OI,-0.11115702365757675,OI805,OI809,2018-01-11
BU,-0.09931118089172192,BU1806,BU1812,2018-01-11
I,-0.07460419973404057,i1805,i1809,2018-01-11
CS,-0.07158234338072009,cs1805,cs1809,2018-01-11
AL,-0.07121682623777494,AL1802,AL1803,2018-01-11
Y,-0.0696990693763683,y1805,y1809,2018-01-11
CF,-0.06792010670102062,CF805,CF809,2018-01-11
RU,-0.06595973255617404,RU1805,RU1809,2018-01-11
AG,-0.055841190797254636,AG1806,AG1812,2018-01-11
A,-0.04794900933649917,a1805,a1809,2018-01-11
IH,-0.04147022556816156,IH1801,IH1803,2018-01-11
CU,-0.03925848648737886,CU1802,CU1803,2018-01-11
SN,-0.03220810156954529,SN1801,SN1805,2018-01-11
V,-0.03099658571161624,v1805,v1809,2018-01-11
AU,-0.025473544436428894,AU1806,AU1812,2018-01-11
RM,-0.0236947260727204,RM805,RM809,2018-01-11
NI,-0.023615104774018306,NI1805,NI1807,2018-01-11
FG,-0.01804215260926756,FG805,FG809,2018-01-11
ZN,-0.016007625051226087,ZN1802,ZN1803,2018-01-11
TF,-0.012267078252798285,TF1803,TF1806,2018-01-11
P,-0.007872544349043204,p1805,p1809,2018-01-11
T,-0.005640220035335863,T1803,T1806,2018-01-11
IF,-0.003705727366770265,IF1801,IF1803,2018-01-11
B,-0.0018668326675841222,b1805,b1809,2018-01-11
WR,-0.0,WR1801,WR1802,2018-01-11
PB,-0.0,PB1802,PB1803,2018-01-11
TA,0.0063369131044486455,TA803,TA805,2018-01-11
M,0.010913071328473082,m1805,m1809,2018-01-11
SR,0.022049496746405328,SR805,SR809,2018-01-11
PP,0.036033646428776475,pp1805,pp1809,2018-01-11
C,0.036464537331224484,c1805,c1809,2018-01-11
IC,0.048959956523916076,IC1801,IC1803,2018-01-11
L,0.05251446919283555,l1805,l1809,2018-01-11
SF,0.07070240821173915,SF805,SF809,2018-01-11
J,0.07862673932500656,j1805,j1809,2018-01-11
HC,0.08641059475549759,HC1805,HC1810,2018-01-11
RB,0.11528363428040216,RB1805,RB1810,2018-01-11
JM,0.12228443495106969,jm1805,jm1809,2018-01-11
MA,0.13826380837662666,MA805,MA809,2018-01-11
FB,0.1907203121312221,fb1802,fb1808,2018-01-11
AP,0.24288390292280687,AP805,AP810,2018-01-11
BB,0.255262375042832,bb1802,bb1804,2018-01-11
SM,0.3809914035820676,SM801,SM805,2018-01-11
ZC,0.49243545857457616,ZC803,ZC805,2018-01-11
FU,-1.6417542638578022,FU1803,FU1804,2018-01-12
JD,-0.32870941928567265,jd1805,jd1809,2018-01-12
WH,-0.1417586545516365,WH801,WH805,2018-01-12
OI,-0.11744950671194931,OI805,OI809,2018-01-12
BU,-0.09924076845084201,BU1806,BU1812,2018-01-12
I,-0.07622914657610466,i1805,i1809,2018-01-12
Y,-0.0743583677178905,y1805,y1809,2018-01-12
CF,-0.06910094363287839,CF805,CF809,2018-01-12
CS,-0.06835915386267383,cs1805,cs1809,2018-01-12
AL,-0.06778552664912531,AL1802,AL1803,2018-01-12
RU,-0.06230753559540915,RU1805,RU1809,2018-01-12
AG,-0.05527034446865285,AG1806,AG1812,2018-01-12
CY,-0.050865045081093435,CY805,CY809,2018-01-12
A,-0.0441304607016636,a1805,a1809,2018-01-12
SN,-0.04134271307489407,SN1801,SN1805,2018-01-12
IH,-0.037548292892171105,IH1801,IH1803,2018-01-12
CU,-0.03728413855612347,CU1802,CU1803,2018-01-12
AU,-0.025059888435997657,AU1806,AU1812,2018-01-12
NI,-0.024055359474577993,NI1805,NI1807,2018-01-12
PB,-0.018686741383275644,PB1802,PB1803,2018-01-12
RM,-0.018641870903829218,RM805,RM809,2018-01-12
V,-0.017531094446732766,v1805,v1809,2018-01-12
P,-0.012516612125933859,p1805,p1809,2018-01-12
