,roll_yield,near_by,deferred,date
LH,-0.545078836641433,lh2303,lh2305,2023-01-03
JD,-0.41157343866389257,jd2303,jd2305,2023-01-03
FB,-0.39857855935728825,fb2302,fb2303,2023-01-03
CS,-0.22562024963310967,cs2303,cs2305,2023-01-03
FG,-0.22299246280603555,FG303,FG305,2023-01-03
WR,-0.12186260858831241,WR2302,WR2305,2023-01-03
SC,-0.10533775505400914,SC2302,SC2303,2023-01-03
EG,-0.09922335171019556,eg2303,eg2305,2023-01-03
CY,-0.08463085983072367,CY301,CY305,2023-01-03
P,-0.06997163848705784,p2303,p2305,2023-01-03
NR,-0.060913836382326815,NR2303,NR2304,2023-01-03
RM,-0.05800762475205684,RM303,RM305,2023-01-03
PF,-0.0563303533350745,PF302,PF303,2023-01-03
CJ,-0.052997319990832306,CJ305,CJ309,2023-01-03
BU,-0.0393072726071532,BU2303,BU2306,2023-01-03
BC,-0.03484501551628544,BC2302,BC2303,2023-01-03
IF,-0.029816398867994764,IF2301,IF2303,2023-01-03
EB,-0.02809976696712744,eb2302,eb2303,2023-01-03
PB,-0.02265576506822617,PB2302,PB2303,2023-01-03
IH,-0.01990201598606135,IH2301,IH2303,2023-01-03
SS,-0.01778041516586041,SS2302,SS2303,2023-01-03
PP,-0.017571795840607793,pp2303,pp2305,2023-01-03
AG,-0.016991437499245077,AG2303,AG2306,2023-01-03
CF,-0.016736412525471152,CF303,CF305,2023-01-03
V,-0.01329535206888879,v2303,v2305,2023-01-03
SN,-0.010901007180284531,SN2302,SN2303,2023-01-03
PK,-0.008714610737911252,PK304,PK310,2023-01-03
AU,-0.008457072045857633,AU2304,AU2306,2023-01-03
C,-0.006334682974488011,c2303,c2305,2023-01-03
TA,-0.002170374413247867,TA303,TA305,2023-01-03
FU,-0.0014627902887471454,FU2305,FU2308,2023-01-03
BB,-0.0,bb2301,bb2302,2023-01-03
CU,0.0018241240439478784,CU2302,CU2303,2023-01-03
RR,0.003556082408599701,rr2302,rr2303,2023-01-03
SR,0.004150813033064752,SR303,SR305,2023-01-03
L,0.004387568751276843,l2303,l2305,2023-01-03
AL,0.006569942677115694,AL2302,AL2303,2023-01-03
MA,0.006740311512072695,MA303,MA305,2023-01-03
IC,0.007657431769838624,IC2301,IC2303,2023-01-03
TS,0.009921132126100433,TS2303,TS2306,2023-01-03
RB,0.013624620078074396,RB2305,RB2310,2023-01-03
SM,0.015839502335218067,SM303,SM305,2023-01-03
ZN,0.01792000333020095,ZN2302,ZN2303,2023-01-03
TF,0.018048871580007418,TF2303,TF2306,2023-01-03
T,0.024384225815711542,T2303,T2306,2023-01-03
HC,0.025901649491578284,HC2305,HC2310,2023-01-03
RU,0.027671218471751323,RU2305,RU2309,2023-01-03
A,0.038901738107312824,a2303,a2305,2023-01-03
IM,0.05068073305181227,IM2301,IM2303,2023-01-03
SF,0.06174519011293358,SF303,SF305,2023-01-03
I,0.07672139793629806,i2305,i2309,2023-01-03
SI,0.0949157490813737,SI2308,SI2309,2023-01-03
J,0.11227679709422148,j2305,j2309,2023-01-03
SP,0.11817749985434464,SP2303,SP2305,2023-01-03
JM,0.13350460830384198,jm2305,jm2309,2023-01-03
LU,0.13496474787839519,LU2303,LU2304,2023-01-03
Y,0.1545035425002361,y2303,y2305,2023-01-03
OI,0.16011255566879024,OI303,OI305,2023-01-03
NI,0.16262128494381026,NI2302,NI2303,2023-01-03
AP,0.16651006578765915,AP303,AP305,2023-01-03
UR,0.19967419204380726,UR303,UR305,2023-01-03
SA,0.3472826131917914,SA303,SA305,2023-01-03
B,0.4388014542443963,b2302,b2303,2023-01-03
PG,0.4498935477402408,pg2302,pg2303,2023-01-03
M,0.5270116979052236,m2303,m2305,2023-01-03
SC_TAS,,SC_TAS2302,SC_TAS2303,2023-01-03
LH,-0.5954095333868618,lh2303,lh2305,2023-01-04
JD,-0.4416612723828178,jd2303,jd2305,2023-01-04
FB,-0.33832285166490916,fb2302,fb2303,2023-01-04
FG,-0.2243595745120729,FG303,FG305,2023-01-04
CS,-0.2186318652384283,cs2303,cs2305,2023-01-04
EG,-0.10560037921841081,eg2303,eg2305,2023-01-04
SC,-0.09110311325409738,SC2302,SC2303,2023-01-04
NR,-0.07302253770654676,NR2303,NR2304,2023-01-04
CJ,-0.06294937681050103,CJ305,CJ309,2023-01-04
RR,-0.06054323571167633,rr2302,rr2303,2023-01-04
P,-0.05862284055690778,p2303,p2305,2023-01-04
EB,-0.05432461029055799,eb2302,eb2303,2023-01-04
FU,-0.05129271760958759,FU2305,FU2308,2023-01-04
PF,-0.0505122115278385,PF302,PF303,2023-01-04
BU,-0.04031864374685395,BU2303,BU2306,2023-01-04
RM,-0.039703941951748714,RM303,RM305,2023-01-04
V,-0.029886781486390086,v2303,v2305,2023-01-04
PK,-0.028200248757563252,PK304,PK310,2023-01-04
PP,-0.027098568548554563,pp2303,pp2305,2023-01-04
PB,-0.02661176443076416,PB2302,PB2303,2023-01-04
IH,-0.02436459958077613,IH2301,IH2303,2023-01-04
SN,-0.023674910838350025,SN2302,SN2303,2023-01-04
IF,-0.023044452857437614,IF2301,IF2303,2023-01-04
SR,-0.01997373723670624,SR303,SR305,2023-01-04
AG,-0.016411809670067227,AG2303,AG2306,2023-01-04
L,-0.015631793470579525,l2303,l2305,2023-01-04
BC,-0.014617595125195386,BC2302,BC2303,2023-01-04
SS,-0.014159293678185235,SS2302,SS2303,2023-01-04
CF,-0.010495017543811585,CF303,CF305,2023-01-04
AL,-0.006715165256379308,AL2302,AL2303,2023-01-04
AU,-0.0040638608229926106,AU2304,AU2306,2023-01-04
BB,-0.0,bb2301,bb2302,2023-01-04
MA,0.006819474119233269,MA303,MA305,2023-01-04
WR,0.006907381387470592,WR2301,WR2305,2023-01-04
CU,0.007437248456222945,CU2302,CU2303,2023-01-04
TA,0.008820288247733824,TA303,TA305,2023-01-04
TS,0.008923484850000574,TS2303,TS2306,2023-01-04
C,0.012534823500516455,c2303,c2305,2023-01-04
RB,0.01674564481112588,RB2305,RB2310,2023-01-04
TF,0.018625881973129685,TF2303,TF2306,2023-01-04
SM,0.01905267544343267,SM303,SM305,2023-01-04
T,0.026948226786208077,T2303,T2306,2023-01-04
HC,0.02899801027449974,HC2305,HC2310,2023-01-04
ZN,0.03380650193447073,ZN2302,ZN2303,2023-01-04
A,0.03562205234986133,a2303,a2305,2023-01-04
SF,0.046818086854808406,SF303,SF305,2023-01-04
IC,0.04762444216479961,IC2303,IC2306,2023-01-04
IM,0.05204598372500828,IM2301,IM2303,2023-01-04
RU,0.052054515933599624,RU2305,RU2309,2023-01-04
I,0.07899917872060919,i2305,i2309,2023-01-04
SI,0.09561803579012214,SI2308,SI2309,2023-01-04
J,0.10998472564170353,j2305,j2309,2023-01-04
JM,0.1263526810009457,jm2305,jm2309,2023-01-04
SP,0.12703620513996927,SP2303,SP2305,2023-01-04
NI,0.15795243843789875,NI2302,NI2303,2023-01-04
OI,0.1634645207532654,OI303,OI305,2023-01-04
Y,0.17190074583195802,y2303,y2305,2023-01-04
AP,0.1937811545985517,AP303,AP305,2023-01-04
LU,0.19456493170237138,LU2303,LU2304,2023-01-04
UR,0.2176164451122054,UR303,UR305,2023-01-04
SA,0.38344341871388654,SA303,SA305,2023-01-04
PG,0.42678751376590573,pg2302,pg2303,2023-01-04
B,0.44436321476257734,b2302,b2303,2023-01-04
M,0.5469776839072711,m2303,m2305,2023-01-04
SC_TAS,,SC_TAS2302,SC_TAS2303,2023-01-04
LH,-0.6064314702504383,lh2303,lh2305,2023-01-05
JD,-0.44528068868454235,jd2303,jd2305,2023-01-05
FB,-0.3501058696071787,fb2302,fb2303,2023-01-05
CS,-0.19049218988748162,cs2303,cs2305,2023-01-05
CY,-0.1347521453255202,CY301,CY305,2023-01-05
EG,-0.10012502282961645,eg2303,eg2305,2023-01-05
CJ,-0.0743603369473675,CJ305,CJ309,2023-01-05
FG,-0.06753839739781654,FG305,FG309,2023-01-05
NR,-0.0673299394517486,NR2303,NR2304,2023-01-05
EB,-0.059575105713357814,eb2302,eb2303,2023-01-05
SC,-0.05710489504906016,SC2303,SC2304,2023-01-05
FU,-0.05065362505813878,FU2305,FU2308,2023-01-05
P,-0.04747799254395228,p2303,p2305,2023-01-05
BU,-0.03528019663900307,BU2303,BU2306,2023-01-05
BC,-0.03370197054634405,BC2302,BC2303,2023-01-05
PK,-0.02761977247914461,PK304,PK310,2023-01-05
PB,-0.026764388982545316,PB2302,PB2303,2023-01-05
SR,-0.026378306797217477,SR303,SR305,2023-01-05
IH,-0.023019063205625526,IH2301,IH2303,2023-01-05
RM,-0.0228426671841854,RM303,RM305,2023-01-05
SS,-0.021667174108063778,SS2302,SS2303,2023-01-05
SN,-0.02139089526510494,SN2302,SN2303,2023-01-05
IF,-0.018690664765177747,IF2301,IF2303,2023-01-05
L,-0.016506200231339224,l2303,l2305,2023-01-05
V,-0.01642645361292684,v2303,v2305,2023-01-05
PP,-0.013270024273419567,pp2303,pp2305,2023-01-05
CF,-0.010517092964486163,CF303,CF305,2023-01-05
AG,-0.009949301982093667,AG2303,AG2306,2023-01-05
TA,-0.009070296511931805,TA303,TA305,2023-01-05
RR,-0.00714498383716544,rr2302,rr2303,2023-01-05
PF,-0.006880734133474968,PF303,PF304,2023-01-05
AL,-0.006700167678253765,AL2302,AL2303,2023-01-05
AU,-0.0061059829359218255,AU2304,AU2306,2023-01-05
BB,-0.0,bb2301,bb2302,2023-01-05
WR,0.00565031034456436,WR2301,WR2305,2023-01-05
C,0.008344924850057119,c2303,c2305,2023-01-05
TS,0.008925697304381554,TS2303,TS2306,2023-01-05
MA,0.009118542788497304,MA303,MA305,2023-01-05
SM,0.009566836998944728,SM303,SM305,2023-01-05
CU,0.013072913906729891,CU2302,CU2303,2023-01-05
TF,0.01902689148969018,TF2303,TF2306,2023-01-05
ZN,0.025923535681297002,ZN2302,ZN2303,2023-01-05
T,0.02797633425593407,T2303,T2306,2023-01-05
RB,0.02945559829084521,RB2305,RB2310,2023-01-05
HC,0.03262934945647881,HC2305,HC2310,2023-01-05
RU,0.04647652984731326,RU2305,RU2309,2023-01-05
SF,0.046875238420761745,SF303,SF305,2023-01-05
IC,0.04875658932770646,IC2303,IC2306,2023-01-05
A,0.053097691661895596,a2303,a2305,2023-01-05
IM,0.05423178133231714,IM2301,IM2303,2023-01-05
I,0.08145296719785258,i2305,i2309,2023-01-05
SI,0.09935816934134603,SI2308,SI2309,2023-01-05
J,0.11803068416938756,j2305,j2309,2023-01-05
JM,0.13533553607707327,jm2305,jm2309,2023-01-05
AP,0.14174720460700563,AP303,AP305,2023-01-05
SP,0.15445330563941756,SP2303,SP2305,2023-01-05
OI,0.15820979931445278,OI303,OI305,2023-01-05
NI,0.17448867102579294,NI2302,NI2303,2023-01-05
LU,0.17645017823008285,LU2303,LU2304,2023-01-05
Y,0.1825081567732516,y2303,y2305,2023-01-05
UR,0.2248506669992776,UR303,UR305,2023-01-05
SA,0.40718351118510177,SA303,SA305,2023-01-05
B,0.4377238794618846,b2302,b2303,2023-01-05
PG,0.4970189749953823,pg2302,pg2303,2023-01-05
M,0.5073019990808872,m2303,m2305,2023-01-05
LH,-0.6395729652160038,lh2303,lh2305,2023-01-06
JD,-0.3738821430645415,jd2303,jd2305,2023-01-06
FB,-0.30969460747047106,fb2302,fb2303,2023-01-06
CS,-0.18950979119515232,cs2303,cs2305,2023-01-06
CY,-0.12116565468912549,CY301,CY305,2023-01-06
EG,-0.10168486035562807,eg2303,eg2305,2023-01-06
CJ,-0.08654446301297503,CJ305,CJ309,2023-01-06
FG,-0.07182824864831233,FG305,FG309,2023-01-06
NR,-0.0683054884361417,NR2303,NR2304,2023-01-06
P,-0.06803129330430158,p2303,p2305,2023-01-06
FU,-0.047226050347956176,FU2305,FU2308,2023-01-06
WR,-0.04544126717711205,WR2301,WR2305,2023-01-06
SC,-0.04530016704691141,SC2303,SC2304,2023-01-06
BU,-0.032956997071070124,BU2303,BU2306,2023-01-06
EB,-0.03278885318904186,eb2302,eb2303,2023-01-06
PB,-0.030690553813405446,PB2302,PB2303,2023-01-06
BC,-0.02891070061282107,BC2302,BC2303,2023-01-06
PK,-0.027167816869625175,PK304,PK310,2023-01-06
RR,-0.024929523730787523,rr2303,rr2304,2023-01-06
SN,-0.024385531906366175,SN2302,SN2303,2023-01-06
IH,-0.02246286345464538,IH2301,IH2303,2023-01-06
SR,-0.022192891880745896,SR303,SR305,2023-01-06
IF,-0.019513188589583296,IF2301,IF2303,2023-01-06
AL,-0.016794964253079164,AL2302,AL2303,2023-01-06
TA,-0.015792451305646257,TA303,TA305,2023-01-06
