,roll_yield,near_by,deferred,date
JD,-0.4310646455101263,jd1905,jd1909,2019-01-02
JM,-0.22082700381238196,jm1905,jm1909,2019-01-02
SC,-0.13512207110756094,SC1903,SC1904,2019-01-02
CF,-0.08736553856341515,CF905,CF909,2019-01-02
ZC,-0.08459780612640334,ZC905,ZC907,2019-01-02
OI,-0.08113530060308628,OI905,OI909,2019-01-02
B,-0.07826530825289363,b1905,b1909,2019-01-02
RU,-0.07479066543218119,RU1905,RU1909,2019-01-02
AL,-0.04917123661531164,AL1902,AL1903,2019-01-02
P,-0.046612936019448534,p1905,p1909,2019-01-02
Y,-0.045835740654094355,y1905,y1909,2019-01-02
M,-0.045012097224845574,m1905,m1909,2019-01-02
RM,-0.044881622503776114,RM905,RM909,2019-01-02
C,-0.04003261965345639,c1905,c1909,2019-01-02
A,-0.03815080315601965,a1905,a1909,2019-01-02
AG,-0.0363160845777826,AG1906,AG1912,2019-01-02
MA,-0.03485516386159517,MA905,MA909,2019-01-02
CY,-0.03224138080951772,CY901,CY905,2019-01-02
SN,-0.030810345213198767,SN1901,SN1905,2019-01-02
CS,-0.029582233267398856,cs1905,cs1909,2019-01-02
AU,-0.026071128184263798,AU1904,AU1906,2019-01-02
IH,-0.02541703562648204,IH1901,IH1903,2019-01-02
SR,-0.016592256717683634,SR905,SR909,2019-01-02
AP,-0.012111206974886544,AP905,AP907,2019-01-02
IF,-0.005264046229339248,IF1901,IF1903,2019-01-02
BU,-0.0031007758149104265,BU1906,BU1912,2019-01-02
TF,0.0012050007622383834,TF1903,TF1906,2019-01-02
T,0.0024471068823391584,T1903,T1906,2019-01-02
TS,0.009380071655367358,TS1903,TS1906,2019-01-02
WH,0.011182452375979686,WH901,WH905,2019-01-02
NI,0.014585872784789494,NI1903,NI1905,2019-01-02
CU,0.015110180380531218,CU1902,CU1903,2019-01-02
FG,0.018750061035513882,FG905,FG909,2019-01-02
V,0.02611809136200552,v1905,v1909,2019-01-02
SF,0.02930937478741509,SF901,SF905,2019-01-02
EG,0.05341384800305399,eg1906,eg1909,2019-01-02
IC,0.06301279881837132,IC1901,IC1903,2019-01-02
TA,0.0662046225818054,TA903,TA905,2019-01-02
FB,0.0702441030175261,fb1902,fb1903,2019-01-02
L,0.07695023718038792,l1905,l1909,2019-01-02
FU,0.0885625808907926,FU1905,FU1909,2019-01-02
PP,0.10486924450427465,pp1905,pp1909,2019-01-02
SP,0.10526923326949367,SP1906,SP1909,2019-01-02
HC,0.1279405282908168,HC1905,HC1910,2019-01-02
RB,0.1644680031430516,RB1905,RB1910,2019-01-02
J,0.17528637902160213,j1905,j1909,2019-01-02
PB,0.19829606798757174,PB1902,PB1903,2019-01-02
ZN,0.21921123032708345,ZN1902,ZN1903,2019-01-02
BB,0.2996280989245144,bb1901,bb1903,2019-01-02
SM,0.319164152740629,SM901,SM905,2019-01-02
I,0.34533339419410114,i1903,i1905,2019-01-02
WR,0.44385803015249303,WR1905,WR1907,2019-01-02
JD,-0.44230114944848115,jd1905,jd1909,2019-01-03
JM,-0.1939345596382253,jm1905,jm1909,2019-01-03
CY,-0.1567255866949116,CY901,CY905,2019-01-03
ZC,-0.08917361592744476,ZC905,ZC907,2019-01-03
CF,-0.08554956345841716,CF905,CF909,2019-01-03
B,-0.08035297885207185,b1905,b1909,2019-01-03
OI,-0.07806794528522044,OI905,OI909,2019-01-03
RU,-0.07375829790821442,RU1905,RU1909,2019-01-03
AP,-0.05540825720321606,AP905,AP907,2019-01-03
AL,-0.04954032181530467,AL1902,AL1903,2019-01-03
RM,-0.04592991591426153,RM905,RM909,2019-01-03
P,-0.04501692185361053,p1905,p1909,2019-01-03
A,-0.04497057398816048,a1905,a1909,2019-01-03
SC,-0.040409311595825205,SC1903,SC1904,2019-01-03
Y,-0.03993582988581613,y1905,y1909,2019-01-03
C,-0.039841223003683396,c1905,c1909,2019-01-03
SN,-0.035577675426430436,SN1901,SN1905,2019-01-03
AG,-0.03478348542373848,AG1906,AG1912,2019-01-03
M,-0.03474725936078796,m1905,m1909,2019-01-03
MA,-0.03181106478261083,MA905,MA909,2019-01-03
IH,-0.029030186388249158,IH1901,IH1903,2019-01-03
AU,-0.026891960204680453,AU1904,AU1906,2019-01-03
SR,-0.02622338411129454,SR905,SR909,2019-01-03
CS,-0.025542938470487962,cs1905,cs1909,2019-01-03
IF,-0.0032395222491767013,IF1901,IF1903,2019-01-03
NI,0.0013577732576618567,NI1903,NI1905,2019-01-03
LR,0.0022796356971241157,LR903,LR911,2019-01-03
TF,0.002410122587476003,TF1903,TF1906,2019-01-03
T,0.004281018679413061,T1903,T1906,2019-01-03
CU,0.005071851301198418,CU1902,CU1903,2019-01-03
SF,0.007313254535819656,SF901,SF905,2019-01-03
TS,0.009778736129709737,TS1903,TS1906,2019-01-03
FG,0.018475808973620937,FG905,FG909,2019-01-03
FB,0.02233944176040395,fb1902,fb1903,2019-01-03
BU,0.022944802324473615,BU1906,BU1912,2019-01-03
V,0.02382856054181031,v1905,v1909,2019-01-03
EG,0.04629772137068358,eg1906,eg1909,2019-01-03
TA,0.06736912882494848,TA903,TA905,2019-01-03
IC,0.06881181912079161,IC1901,IC1903,2019-01-03
L,0.07704215559247257,l1905,l1909,2019-01-03
FU,0.09106938744178186,FU1905,FU1909,2019-01-03
SP,0.09719657664454492,SP1906,SP1909,2019-01-03
PP,0.10801956309146152,pp1905,pp1909,2019-01-03
HC,0.13254901907468597,HC1905,HC1910,2019-01-03
PB,0.17002267989977504,PB1902,PB1903,2019-01-03
RB,0.1765236481865008,RB1905,RB1910,2019-01-03
J,0.19186078503247406,j1905,j1909,2019-01-03
ZN,0.1934325825585996,ZN1902,ZN1903,2019-01-03
SM,0.2921901671000641,SM901,SM905,2019-01-03
BB,0.2996280989245144,bb1901,bb1903,2019-01-03
I,0.34026711984648705,i1903,i1905,2019-01-03
WR,0.35156498559631694,WR1905,WR1907,2019-01-03
JD,-0.4248028076587048,jd1905,jd1909,2019-01-04
JM,-0.1947224869684812,jm1905,jm1909,2019-01-04
ZC,-0.0887965466756355,ZC905,ZC907,2019-01-04
CF,-0.08309136483201046,CF905,CF909,2019-01-04
OI,-0.07564377494547822,OI905,OI909,2019-01-04
RU,-0.06885342909125866,RU1905,RU1909,2019-01-04
B,-0.06773196063345863,b1905,b1909,2019-01-04
AP,-0.056015566072067084,AP905,AP907,2019-01-04
A,-0.0458949634867243,a1905,a1909,2019-01-04
C,-0.04475309417060731,c1905,c1909,2019-01-04
P,-0.03987196954683249,p1905,p1909,2019-01-04
IH,-0.03770186711185191,IH1901,IH1903,2019-01-04
Y,-0.03766865632623739,y1905,y1909,2019-01-04
SN,-0.0363919688463504,SN1901,SN1905,2019-01-04
SC,-0.03612646983445541,SC1903,SC1904,2019-01-04
AG,-0.03410813348138816,AG1906,AG1912,2019-01-04
MA,-0.03247175418303088,MA905,MA909,2019-01-04
AL,-0.03130242132706689,AL1902,AL1903,2019-01-04
RM,-0.028800221187057412,RM905,RM909,2019-01-04
CS,-0.02813319849940049,cs1905,cs1909,2019-01-04
AU,-0.024831903007600346,AU1904,AU1906,2019-01-04
M,-0.02436336756702519,m1905,m1909,2019-01-04
SR,-0.021564574882761797,SR905,SR909,2019-01-04
IF,-0.005521230835246527,IF1901,IF1903,2019-01-04
NI,0.0006670001674369402,NI1903,NI1905,2019-01-04
TF,0.0008039393052886234,TF1903,TF1906,2019-01-04
T,0.003064116790541605,T1903,T1906,2019-01-04
SF,0.004158004823631459,SF901,SF905,2019-01-04
TS,0.009778736129709737,TS1903,TS1906,2019-01-04
CU,0.010178117658527067,CU1902,CU1903,2019-01-04
FG,0.022883406146658382,FG905,FG909,2019-01-04
V,0.030600500698689068,v1905,v1909,2019-01-04
BU,0.03539915419880195,BU1906,BU1912,2019-01-04
EG,0.03979355944505199,eg1906,eg1909,2019-01-04
IC,0.0642238654556661,IC1901,IC1903,2019-01-04
TA,0.07359547125720714,TA903,TA905,2019-01-04
L,0.08624823985795782,l1905,l1909,2019-01-04
FU,0.09788796618080305,FU1905,FU1909,2019-01-04
PP,0.1051878230799563,pp1905,pp1909,2019-01-04
SP,0.11046066813189351,SP1906,SP1909,2019-01-04
HC,0.13051474496161408,HC1905,HC1910,2019-01-04
PB,0.15664240582747396,PB1902,PB1903,2019-01-04
J,0.16765914069636387,j1905,j1909,2019-01-04
RB,0.16897845698607827,RB1905,RB1910,2019-01-04
ZN,0.17105229412379186,ZN1902,ZN1903,2019-01-04
SM,0.2598824604679957,SM901,SM905,2019-01-04
I,0.2921818312022919,i1903,i1905,2019-01-04
BB,0.2996280989245144,bb1901,bb1903,2019-01-04
FB,0.3204462773691383,fb1902,fb1903,2019-01-04
WR,0.3995136285557759,WR1905,WR1907,2019-01-04
JD,-0.3940475889805779,jd1905,jd1909,2019-01-07
CY,-0.19773361484863,CY901,CY905,2019-01-07
JM,-0.19675199861737266,jm1905,jm1909,2019-01-07
ZC,-0.08786767912918639,ZC905,ZC907,2019-01-07
CF,-0.08354348212732525,CF905,CF909,2019-01-07
B,-0.08249650179195044,b1905,b1909,2019-01-07
OI,-0.0783027025770261,OI905,OI909,2019-01-07
RU,-0.07360775341612681,RU1905,RU1909,2019-01-07
C,-0.05931264530498495,c1905,c1909,2019-01-07
A,-0.05372760584514667,a1905,a1909,2019-01-07
SN,-0.036833258444869905,SN1901,SN1905,2019-01-07
Y,-0.036625230478176306,y1905,y1909,2019-01-07
P,-0.0360364693440103,p1905,p1909,2019-01-07
AP,-0.03550472953665022,AP905,AP907,2019-01-07
CS,-0.03481663836092367,cs1905,cs1909,2019-01-07
MA,-0.03374884928695083,MA905,MA909,2019-01-07
RM,-0.03290709411172181,RM905,RM909,2019-01-07
SC,-0.03234899643125228,SC1903,SC1904,2019-01-07
M,-0.03208586735024385,m1905,m1909,2019-01-07
AL,-0.031244205859840224,AL1902,AL1903,2019-01-07
IH,-0.03104258023923962,IH1901,IH1903,2019-01-07
AG,-0.03099208437099502,AG1906,AG1912,2019-01-07
SF,-0.029126442380882814,SF901,SF905,2019-01-07
AU,-0.02499569662585594,AU1904,AU1906,2019-01-07
SR,-0.020813706950323252,SR905,SR909,2019-01-07
IF,-0.007870918090562323,IF1901,IF1903,2019-01-07
LR,-0.003978028472837121,LR903,LR911,2019-01-07
NI,0.0,NI1903,NI1905,2019-01-07
TF,-0.0,TF1903,TF1906,2019-01-07
T,0.002247018928942766,T1903,T1906,2019-01-07
CU,0.00505902199735732,CU1902,CU1903,2019-01-07
TS,0.00957940885920562,TS1903,TS1906,2019-01-07
WH,0.017283998426041364,WH905,WH909,2019-01-07
BU,0.017404025706935673,BU1906,BU1912,2019-01-07
EG,0.02501473854950645,eg1906,eg1909,2019-01-07
FG,0.025181376385406205,FG905,FG909,2019-01-07
V,0.037500488292694485,v1905,v1909,2019-01-07
IC,0.06444077205314516,IC1901,IC1903,2019-01-07
L,0.09150269429600544,l1905,l1909,2019-01-07
TA,0.09577381139718102,TA903,TA905,2019-01-07
FU,0.09900294785685132,FU1905,FU1909,2019-01-07
SP,0.10027943901843864,SP1906,SP1909,2019-01-07
PP,0.11502894828386945,pp1905,pp1909,2019-01-07
HC,0.12640201017663216,HC1905,HC1910,2019-01-07
PB,0.1331639785407735,PB1902,PB1903,2019-01-07
ZN,0.15894272100024867,ZN1902,ZN1903,2019-01-07
RB,0.15998876691786829,RB1905,RB1910,2019-01-07
J,0.16080178680491894,j1905,j1909,2019-01-07
BB,0.20684274473902486,bb1901,bb1903,2019-01-07
SM,0.23556794973055956,SM901,SM905,2019-01-07
FB,0.27237484410805024,fb1902,fb1903,2019-01-07
I,0.2957944908309516,i1903,i1905,2019-01-07
WR,0.3321005704989897,WR1905,WR1907,2019-01-07
JD,-0.3859997865210064,jd1905,jd1909,2019-01-08
JM,-0.20799195681131008,jm1905,jm1909,2019-01-08
ZC,-0.09694626084320482,ZC905,ZC907,2019-01-08
CF,-0.08351611868365179,CF905,CF909,2019-01-08
B,-0.08127355316403312,b1905,b1909,2019-01-08
OI,-0.07366491976072737,OI905,OI909,2019-01-08
RU,-0.07360775341612681,RU1905,RU1909,2019-01-08
C,-0.05979190646663643,c1905,c1909,2019-01-08
FB,-0.05708471519351081,fb1902,fb1903,2019-01-08
A,-0.04665992675978693,a1905,a1909,2019-01-08
AL,-0.0359012982818707,AL1902,AL1903,2019-01-08
SC,-0.03545927229253533,SC1903,SC1904,2019-01-08
MA,-0.033980945834028956,MA905,MA909,2019-01-08
M,-0.032324295631142225,m1905,m1909,2019-01-08
P,-0.03197642722765897,p1905,p1909,2019-01-08
RM,-0.031615412870651255,RM905,RM909,2019-01-08
SN,-0.031566122601364266,SN1901,SN1905,2019-01-08
AU,-0.03141368432367031,AU1904,AU1906,2019-01-08
AG,-0.030745370901783503,AG1906,AG1912,2019-01-08
CS,-0.029915704215154146,cs1905,cs1909,2019-01-08
IH,-0.028008349615363866,IH1901,IH1903,2019-01-08
Y,-0.02561381621410761,y1905,y1909,2019-01-08
SR,-0.01690145315476819,SR905,SR909,2019-01-08
SF,-0.012474030445991031,SF901,SF905,2019-01-08
IF,-0.007862151423075022,IF1901,IF1903,2019-01-08
NI,0.0013210039683485815,NI1903,NI1905,2019-01-08
CU,0.002534586554993487,CU1902,CU1903,2019-01-08
T,0.002844950333299579,T1903,T1906,2019-01-08
TF,0.004208311803215121,TF1903,TF1906,2019-01-08
TS,0.013165780886665448,TS1903,TS1906,2019-01-08
