underlying_symbol_x,underlying_symbol_y,settle_price_m,delisted_date_x,settle_price_sm,delisted_date_y,date,price_div_log,date_minus,factor
CZCE.AP,CZCE.AP,6527.0,2021-05-19 00:00:00+08:00,7036.0,2021-10-21 00:00:00+08:00,2021-01-04,-0.07509240722223134,155,-0.1744081716129244
CZCE.CF,CZCE.CF,15260.0,2021-05-19 00:00:00+08:00,15190.0,2021-01-15 00:00:00+08:00,2021-01-04,0.004597709248629549,124,0.013348188141182563
CZCE.CJ,CZCE.CJ,10125.0,2021-05-19 00:00:00+08:00,10195.0,2021-09-14 00:00:00+08:00,2021-01-04,-0.006889791033815677,118,-0.021019701459098674
CZCE.CY,CZCE.CY,22140.0,2021-05-19 00:00:00+08:00,21170.0,2021-01-15 00:00:00+08:00,2021-01-04,0.04480084213371695,124,0.13006696103337176
CZCE.FG,CZCE.FG,1848.0,2021-05-19 00:00:00+08:00,1831.0,2021-09-14 00:00:00+08:00,2021-01-04,0.009241707527118745,118,0.028195039913243625
CZCE.JR,CZCE.JR,2638.0,2021-05-19 00:00:00+08:00,2460.0,2021-01-15 00:00:00+08:00,2021-01-04,0.06985970435085134,124,0.20281849650247163
CZCE.LR,CZCE.LR,3069.0,2021-05-19 00:00:00+08:00,3011.0,2021-01-15 00:00:00+08:00,2021-01-04,0.019079526138002303,124,0.05539217265871636
CZCE.MA,CZCE.MA,2392.0,2021-05-19 00:00:00+08:00,2467.0,2021-03-12 00:00:00+08:00,2021-01-04,-0.030873001458834367,68,-0.16344530184088785
CZCE.OI,CZCE.OI,9858.0,2021-05-19 00:00:00+08:00,9456.0,2021-09-14 00:00:00+08:00,2021-01-04,0.041633847619443595,118,0.12701851816101437
CZCE.PF,CZCE.PF,6492.0,2021-05-19 00:00:00+08:00,6518.0,2021-09-14 00:00:00+08:00,2021-01-04,-0.003996930763025063,118,-0.012194026056686633
CZCE.PM,CZCE.PM,2379.0,2021-05-19 00:00:00+08:00,2351.0,2021-07-14 00:00:00+08:00,2021-01-04,0.011839461762888082,56,0.07611082561856623
CZCE.RI,CZCE.RI,2801.0,2021-11-12 00:00:00+08:00,2801.0,2021-09-14 00:00:00+08:00,2021-01-04,0.0,59,0.0
CZCE.RM,CZCE.RM,2886.0,2021-05-19 00:00:00+08:00,2893.0,2021-09-14 00:00:00+08:00,2021-01-04,-0.0024225656423189448,118,-0.007390878230803561
CZCE.RS,CZCE.RS,5176.0,2021-07-14 00:00:00+08:00,5227.0,2021-09-14 00:00:00+08:00,2021-01-04,-0.009804942532185367,62,-0.05693192438043117
CZCE.SA,CZCE.SA,1606.0,2021-05-19 00:00:00+08:00,1470.0,2021-03-12 00:00:00+08:00,2021-01-04,0.08848421473392493,68,0.4684458427090143
CZCE.SF,CZCE.SF,6646.0,2021-05-19 00:00:00+08:00,6650.0,2021-04-15 00:00:00+08:00,2021-01-04,-0.0006016847353602301,34,-0.006370779550873024
CZCE.SM,CZCE.SM,6846.0,2021-05-19 00:00:00+08:00,6824.0,2021-04-15 00:00:00+08:00,2021-01-04,0.003218729918615628,34,0.03408066972651841
CZCE.SR,CZCE.SR,5287.0,2021-05-19 00:00:00+08:00,5334.0,2021-09-14 00:00:00+08:00,2021-01-04,-0.008850448506509359,118,-0.027001368324943806
CZCE.TA,CZCE.TA,3876.0,2021-05-19 00:00:00+08:00,3976.0,2021-09-14 00:00:00+08:00,2021-01-04,-0.025472594765807804,118,-0.07771300098043059
CZCE.UR,CZCE.UR,1829.0,2021-05-19 00:00:00+08:00,1750.0,2021-01-15 00:00:00+08:00,2021-01-04,0.04415358147330597,124,0.1281878171805657
CZCE.WH,CZCE.WH,2601.0,2021-01-15 00:00:00+08:00,2691.0,2021-09-14 00:00:00+08:00,2021-01-04,-0.03401688527825424,242,-0.050603630992444325
CZCE.ZC,CZCE.ZC,669.0,2021-05-12 00:00:00+08:00,694.8,2021-03-05 00:00:00+08:00,2021-01-04,-0.03783997423872137,68,-0.20032927538146605
DCE.A,DCE.A,5759.0,2021-05-19 00:00:00+08:00,5756.0,2021-03-12 00:00:00+08:00,2021-01-04,0.0005210594994138829,68,0.002758550291014674
DCE.B,DCE.B,4213.0,2021-02-19 00:00:00+08:00,4204.0,2021-03-12 00:00:00+08:00,2021-01-04,0.002138529982174703,21,0.03666051398013776
DCE.BB,DCE.BB,280.5,2021-05-19 00:00:00+08:00,377.9,2021-04-15 00:00:00+08:00,2021-01-04,-0.29805588539269223,34,-3.1558858453343883
