underlying_symbol_x,underlying_symbol_y,settle_price_m,delisted_date_x,settle_price_sm,delisted_date_y,date,price_div_log,date_minus,factor
DCE.I,DCE.I,849.5,2023-05-17 00:00:00+08:00,827.0,2023-09-14 00:00:00+08:00,2023-01-03,0.026843246088295362,120,0.08052973826488609
DCE.J,DCE.J,2610.0,2023-05-17 00:00:00+08:00,2515.5,2023-09-14 00:00:00+08:00,2023-01-03,0.03687863038536578,120,0.11063589115609733
DCE.JD,DCE.JD,4330.0,2023-05-26 00:00:00+08:00,4031.0,2023-03-28 00:00:00+08:00,2023-01-03,0.07155305787936965,59,0.4365949294334419
DCE.JM,DCE.JM,1812.0,2023-05-17 00:00:00+08:00,1735.0,2023-09-14 00:00:00+08:00,2023-01-03,0.04342379422196497,120,0.1302713826658949
DCE.L,DCE.L,8159.0,2023-05-17 00:00:00+08:00,8157.0,2023-03-14 00:00:00+08:00,2023-01-03,0.00024515812821980894,64,0.0013790144712364253
DCE.LH,DCE.LH,15640.0,2023-03-28 00:00:00+08:00,17085.0,2023-05-26 00:00:00+08:00,2023-01-03,-0.08836915045009007,59,-0.5392015959666513
DCE.M,DCE.M,3942.0,2023-05-17 00:00:00+08:00,4293.0,2023-03-14 00:00:00+08:00,2023-01-03,-0.08529758051189507,64,-0.47979889037940976
DCE.P,DCE.P,8224.0,2023-05-17 00:00:00+08:00,8134.0,2023-03-14 00:00:00+08:00,2023-01-03,0.011003901227776445,64,0.06189694440624251
DCE.PG,DCE.PG,4276.0,2023-02-23 00:00:00+08:00,4126.0,2023-03-28 00:00:00+08:00,2023-01-03,0.035709578513738814,33,0.3895590383316962
DCE.PP,DCE.PP,7817.0,2023-05-17 00:00:00+08:00,7792.0,2023-03-14 00:00:00+08:00,2023-01-03,0.003203282897959481,64,0.018018466301022083
DCE.RR,DCE.RR,3377.0,2023-02-14 00:00:00+08:00,3363.0,2023-03-14 00:00:00+08:00,2023-01-03,0.004154308645298127,28,0.05341253972526163
DCE.V,DCE.V,6239.0,2023-05-17 00:00:00+08:00,6222.0,2023-03-14 00:00:00+08:00,2023-01-03,0.002728514653203914,64,0.015347894924272017
DCE.Y,DCE.Y,8844.0,2023-05-17 00:00:00+08:00,9064.0,2023-03-14 00:00:00+08:00,2023-01-03,-0.024571260730505317,64,-0.1382133416090924
INE.BC,INE.BC,58510.0,2023-03-15 00:00:00+08:00,58280.0,2023-02-15 00:00:00+08:00,2023-01-03,0.0039386984731406526,28,0.050640408940379814
INE.LU,INE.LU,4049.0,2023-03-31 00:00:00+08:00,4104.0,2023-02-28 00:00:00+08:00,2023-01-03,-0.013492170818444388,31,-0.1566832740206445
INE.NR,INE.NR,9680.0,2023-03-15 00:00:00+08:00,9725.0,2023-04-17 00:00:00+08:00,2023-01-03,-0.004637988216024365,33,-0.050596235083902166
INE.SC,INE.SC,572.0,2023-02-28 00:00:00+08:00,566.6,2023-01-16 00:00:00+08:00,2023-01-03,0.009485403983381758,43,0.07941268451203333
SHFE.AG,SHFE.AG,5392.0,2023-06-15 00:00:00+08:00,5368.0,2023-03-15 00:00:00+08:00,2023-01-03,0.004460973940625266,92,0.01745598498505539
SHFE.AL,SHFE.AL,18330.0,2023-02-15 00:00:00+08:00,18315.0,2023-03-15 00:00:00+08:00,2023-01-03,0.0008186656208359037,28,0.010525700839318763
SHFE.AU,SHFE.AU,410.98,2023-04-17 00:00:00+08:00,411.32,2023-06-15 00:00:00+08:00,2023-01-03,-0.0008269488492656306,59,-0.00504578958873944
SHFE.BU,SHFE.BU,3885.0,2023-06-15 00:00:00+08:00,3850.0,2023-03-15 00:00:00+08:00,2023-01-03,0.009049835519917856,92,0.03541239986054813
SHFE.CU,SHFE.CU,65610.0,2023-03-15 00:00:00+08:00,65670.0,2023-02-15 00:00:00+08:00,2023-01-03,-0.0009140768460951542,28,-0.011752416592651983
SHFE.FU,SHFE.FU,2728.0,2023-04-28 00:00:00+08:00,2749.0,2023-07-31 00:00:00+08:00,2023-01-03,-0.0076684692018930125,94,-0.029368605454058345
SHFE.HC,SHFE.HC,4077.0,2023-05-15 00:00:00+08:00,4034.0,2023-10-16 00:00:00+08:00,2023-01-03,0.01060298430509635,154,0.02478619707684861
