,underlying_symbol_y,settle_price_m,delisted_date_x,settle_price_sm,delisted_date_y,date,price_div_log,date_minus,factor
CZCE.AP,CZCE.AP,11095.0,2019-05-17 00:00:00+08:00,11144.0,2019-07-12 00:00:00+08:00,2019-01-02,-0.004406680092947368,56.0,-0.028722111320103383
CZCE.CF,CZCE.CF,14900.0,2019-05-17 00:00:00+08:00,15340.0,2019-09-16 00:00:00+08:00,2019-01-02,-0.029102582987696697,122.0,-0.08706920320089585
CZCE.CY,CZCE.CY,23900.0,2019-05-17 00:00:00+08:00,23600.0,2019-01-15 00:00:00+08:00,2019-01-02,0.012631746905900564,122.0,0.03779170180863693
CZCE.FG,CZCE.FG,1290.0,2019-05-17 00:00:00+08:00,1282.0,2019-09-16 00:00:00+08:00,2019-01-02,0.0062208598751025326,122.0,0.018611588970593642
CZCE.JR,CZCE.JR,2864.0,2019-07-12 00:00:00+08:00,3011.0,2019-05-17 00:00:00+08:00,2019-01-02,-0.05005300040119763,56.0,-0.32623830618637745
CZCE.LR,CZCE.LR,2631.0,2019-03-14 00:00:00+08:00,2606.0,2019-11-14 00:00:00+08:00,2019-01-02,0.009547523355502406,245.0,0.014223861325544401
CZCE.MA,CZCE.MA,2402.0,2019-05-17 00:00:00+08:00,2431.0,2019-09-16 00:00:00+08:00,2019-01-02,-0.012000971676194497,122.0,-0.03590454640828682
CZCE.OI,CZCE.OI,6477.0,2019-05-17 00:00:00+08:00,6654.0,2019-09-16 00:00:00+08:00,2019-01-02,-0.02696073739550494,122.0,-0.08066122253573199
CZCE.PM,CZCE.PM,2286.0,2019-05-17 00:00:00+08:00,2216.0,2019-01-15 00:00:00+08:00,2019-01-02,0.031099796487581544,122.0,0.09304447309809233
CZCE.RI,CZCE.RI,2430.0,2019-09-16 00:00:00+08:00,2198.0,2019-01-15 00:00:00+08:00,2019-01-02,0.10034340137102747,244.0,0.1501038586082993
CZCE.RM,CZCE.RM,2116.0,2019-05-17 00:00:00+08:00,2151.0,2019-09-16 00:00:00+08:00,2019-01-02,-0.016405336289540072,122.0,-0.04908153889903382
CZCE.RS,CZCE.RS,5411.0,2019-09-16 00:00:00+08:00,5399.0,2019-08-14 00:00:00+08:00,2019-01-02,0.0022201674244483214,33.0,0.02455639727041325
CZCE.SF,CZCE.SF,5678.0,2019-05-17 00:00:00+08:00,5742.0,2019-01-15 00:00:00+08:00,2019-01-02,-0.0112085236480928,122.0,-0.0335336977996219
CZCE.SM,CZCE.SM,7234.0,2019-05-17 00:00:00+08:00,8022.0,2019-01-15 00:00:00+08:00,2019-01-02,-0.10339563381795494,122.0,-0.3093393962586357
CZCE.SR,CZCE.SR,4697.0,2019-05-17 00:00:00+08:00,4719.0,2019-09-16 00:00:00+08:00,2019-01-02,-0.00467290569939237,122.0,-0.013980414592444385
CZCE.TA,CZCE.TA,5602.0,2019-05-17 00:00:00+08:00,5654.0,2019-03-14 00:00:00+08:00,2019-01-02,-0.009239582433481806,64.0,-0.05269449356595092
CZCE.WH,CZCE.WH,2418.0,2019-05-17 00:00:00+08:00,2416.0,2019-01-15 00:00:00+08:00,2019-01-02,0.0008274721200323929,122.0,0.0024756338017362573
CZCE.ZC,CZCE.ZC,562.8,2019-05-10 00:00:00+08:00,570.2,2019-07-05 00:00:00+08:00,2019-01-02,-0.013062851238337832,56.0,-0.08514179824988052
DCE.A,DCE.A,3434.0,2019-05-17 00:00:00+08:00,3488.0,2019-09-16 00:00:00+08:00,2019-01-02,-0.015602743571449383,122.0,-0.04668033937359856
DCE.B,DCE.B,2946.0,2019-05-17 00:00:00+08:00,3046.0,2019-09-16 00:00:00+08:00,2019-01-02,-0.03338093643253153,122.0,-0.09986919506454106
DCE.BB,DCE.BB,134.75,2019-03-14 00:00:00+08:00,141.65,2019-01-15 00:00:00+08:00,2019-01-02,-0.049938016487419065,58.0,-0.31426510375703376
DCE.C,DCE.C,1860.0,2019-05-17 00:00:00+08:00,1883.0,2019-09-16 00:00:00+08:00,2019-01-02,-0.012289761949905505,122.0,-0.036768550096028765
DCE.CS,DCE.CS,2323.0,2019-05-17 00:00:00+08:00,2345.0,2019-09-16 00:00:00+08:00,2019-01-02,-0.009425948109970567,122.0,-0.028200582460157844
DCE.EG,DCE.EG,5084.0,2019-06-25 00:00:00+08:00,5006.0,2019-09-25 00:00:00+08:00,2019-01-02,0.015461160317625088,92.0,0.06134047299927345
DCE.FB,DCE.FB,76.7,2019-03-14 00:00:00+08:00,77.65,2019-02-21 00:00:00+08:00,2019-01-02,-0.012309841221485563,21.0,-0.21395676408772527
DCE.I,DCE.I,491.5,2019-05-17 00:00:00+08:00,521.0,2019-03-14 00:00:00+08:00,2019-01-02,-0.058288102166145696,64.0,-0.33242433266629967
DCE.J,DCE.J,1885.0,2019-05-17 00:00:00+08:00,1778.0,2019-09-16 00:00:00+08:00,2019-01-02,0.05843868380826133,122.0,0.17483704581979825
DCE.JD,DCE.JD,3426.0,2019-05-28 00:00:00+08:00,3930.0,2019-09-25 00:00:00+08:00,2019-01-02,-0.13724602597924174,120.0,-0.41745666235352696
DCE.JM,DCE.JM,1159.5,2019-05-17 00:00:00+08:00,1244.5,2019-09-16 00:00:00+08:00,2019-01-02,-0.07074496511206034,122.0,-0.21165501857296742
DCE.L,DCE.L,8530.0,2019-05-17 00:00:00+08:00,8305.0,2019-09-16 00:00:00+08:00,2019-01-02,0.02673161843832965,122.0,0.07997574368844526
DCE.M,DCE.M,2639.0,2019-05-17 00:00:00+08:00,2681.0,2019-09-16 00:00:00+08:00,2019-01-02,-0.015789801732635195,122.0,-0.04723998059353972
DCE.P,DCE.P,4558.0,2019-05-17 00:00:00+08:00,4636.0,2019-09-16 00:00:00+08:00,2019-01-02,-0.01696799465401271,122.0,-0.05076490203864458
DCE.PP,DCE.PP,8532.0,2019-05-17 00:00:00+08:00,8241.0,2019-09-16 00:00:00+08:00,2019-01-02,0.034702104827857565,122.0,0.10382187100137713
DCE.V,DCE.V,6380.0,2019-05-17 00:00:00+08:00,6305.0,2019-09-16 00:00:00+08:00,2019-01-02,0.01182512793981559,122.0,0.03537845654125156
DCE.Y,DCE.Y,5422.0,2019-05-17 00:00:00+08:00,5512.0,2019-09-16 00:00:00+08:00,2019-01-02,-0.016462782634883665,122.0,-0.04925340706338146
INE.SC,INE.SC,374.6,2019-02-28 00:00:00+08:00,377.3,2019-03-29 00:00:00+08:00,2019-01-02,-0.007181836960276555,29.0,-0.09039208587934286
SHFE.AG,SHFE.AG,3703.0,2019-06-17 00:00:00+08:00,3774.0,2019-12-16 00:00:00+08:00,2019-01-02,-0.018992145014882823,182.0,-0.038088642474902366
SHFE.AL,SHFE.AL,13440.0,2019-02-15 00:00:00+08:00,13505.0,2019-03-15 00:00:00+08:00,2019-01-02,-0.004824652149575427,28.0,-0.06289278694982253
SHFE.AU,SHFE.AU,287.9,2019-06-17 00:00:00+08:00,286.55,2019-04-15 00:00:00+08:00,2019-01-02,0.004700156620383649,63.0,0.027231066133968758
SHFE.BU,SHFE.BU,2598.0,2019-06-17 00:00:00+08:00,2598.0,2019-12-16 00:00:00+08:00,2019-01-02,0.0,182.0,0.0
SHFE.CU,SHFE.CU,47860.0,2019-03-15 00:00:00+08:00,47900.0,2019-02-15 00:00:00+08:00,2019-01-02,-0.0008354219366422798,28.0,-0.010890321674086862
SHFE.FU,SHFE.FU,2384.0,2019-04-30 00:00:00+08:00,2312.0,2019-08-30 00:00:00+08:00,2019-01-02,0.030666798392972323,122.0,0.09174902797897456
SHFE.HC,SHFE.HC,3306.0,2019-05-15 00:00:00+08:00,3137.0,2019-10-15 00:00:00+08:00,2019-01-02,0.052472070190291244,153.0,0.1251784681010216
SHFE.NI,SHFE.NI,87170.0,2019-05-15 00:00:00+08:00,87140.0,2019-03-15 00:00:00+08:00,2019-01-02,0.00034421433418855966,61.0,0.0020596431471938408
SHFE.PB,SHFE.PB,18020.0,2019-02-15 00:00:00+08:00,17750.0,2019-03-15 00:00:00+08:00,2019-01-02,0.01509673625876699,28.0,0.1967967405160697
SHFE.RB,SHFE.RB,3389.0,2019-05-15 00:00:00+08:00,3168.0,2019-10-15 00:00:00+08:00,2019-01-02,0.06743441867273485,153.0,0.16087295957874653
SHFE.RU,SHFE.RU,11280.0,2019-05-15 00:00:00+08:00,11570.0,2019-09-16 00:00:00+08:00,2019-01-02,-0.025384295135672343,124.0,-0.07471990100419681
SHFE.SN,SHFE.SN,143540.0,2019-05-15 00:00:00+08:00,141910.0,2019-01-15 00:00:00+08:00,2019-01-02,0.011420688155479645,120.0,0.034737926472917256
SHFE.SP,SHFE.SP,5062.0,2019-06-17 00:00:00+08:00,4918.0,2019-09-16 00:00:00+08:00,2019-01-02,0.028859718328931465,91.0,0.11575601307758225
SHFE.WR,SHFE.WR,3513.0,2019-05-15 00:00:00+08:00,3256.0,2019-07-15 00:00:00+08:00,2019-01-02,0.07597092514339619,61.0,0.4545801258580264
SHFE.ZN,SHFE.ZN,20600.0,2019-02-15 00:00:00+08:00,20270.0,2019-03-15 00:00:00+08:00,2019-01-02,0.016149115331626645,28.0,0.21051525343013305
CZCE.AP,CZCE.AP,10800.0,2019-05-17 00:00:00+08:00,10881.0,2019-07-12 00:00:00+08:00,2019-01-03,-0.007472014838700954,56.0,-0.048701525287961574
CZCE.CF,CZCE.CF,14810.0,2019-05-17 00:00:00+08:00,15245.0,2019-09-16 00:00:00+08:00,2019-01-03,-0.02894895216051064,122.0,-0.08660956998841299
CZCE.CY,CZCE.CY,23835.0,2019-05-17 00:00:00+08:00,22655.0,2019-01-15 00:00:00+08:00,2019-01-03,0.05077451053768744,122.0,0.1519073471004583
CZCE.FG,CZCE.FG,1295.0,2019-05-17 00:00:00+08:00,1285.0,2019-09-16 00:00:00+08:00,2019-01-03,0.007751976804317924,122.0,0.023192389619475756
CZCE.JR,CZCE.JR,2856.0,2019-07-12 00:00:00+08:00,2780.0,2019-01-15 00:00:00+08:00,2019-01-03,0.026971116774792175,178.0,0.055305941701118785
CZCE.LR,CZCE.LR,2637.0,2019-03-14 00:00:00+08:00,2634.0,2019-11-14 00:00:00+08:00,2019-01-03,0.0011383040500602814,245.0,0.0016958407276408273
CZCE.MA,CZCE.MA,2424.0,2019-05-17 00:00:00+08:00,2444.0,2019-09-16 00:00:00+08:00,2019-01-03,-0.008216973102280823,122.0,-0.024583567068299183
CZCE.OI,CZCE.OI,6510.0,2019-05-17 00:00:00+08:00,6682.0,2019-09-16 00:00:00+08:00,2019-01-03,-0.026077887714086936,122.0,-0.07801990996427649
CZCE.PM,CZCE.PM,2286.0,2019-05-17 00:00:00+08:00,2216.0,2019-01-15 00:00:00+08:00,2019-01-03,0.031099796487581544,122.0,0.09304447309809233
CZCE.RI,CZCE.RI,2430.0,2019-09-16 00:00:00+08:00,2430.0,2019-11-14 00:00:00+08:00,2019-01-03,0.0,59.0,0.0
CZCE.RM,CZCE.RM,2131.0,2019-05-17 00:00:00+08:00,2164.0,2019-09-16 00:00:00+08:00,2019-01-03,-0.015367007867755028,122.0,-0.04597506452238184
CZCE.RS,CZCE.RS,5411.0,2019-09-16 00:00:00+08:00,5399.0,2019-08-14 00:00:00+08:00,2019-01-03,0.0022201674244483214,33.0,0.02455639727041325
CZCE.SF,CZCE.SF,5742.0,2019-05-17 00:00:00+08:00,5776.0,2019-01-15 00:00:00+08:00,2019-01-03,-0.005903819891652921,122.0,-0.01766306770863374
CZCE.SM,CZCE.SM,7264.0,2019-05-17 00:00:00+08:00,8042.0,2019-01-15 00:00:00+08:00,2019-01-03,-0.10174716717609007,122.0,-0.3044075083546957
CZCE.SR,CZCE.SR,4685.0,2019-05-17 00:00:00+08:00,4719.0,2019-09-16 00:00:00+08:00,2019-01-03,-0.007230997053864992,122.0,-0.02163372069394034
CZCE.TA,CZCE.TA,5636.0,2019-05-17 00:00:00+08:00,5700.0,2019-03-14 00:00:00+08:00,2019-01-03,-0.011291580804070674,64.0,-0.06439729677321555
CZCE.WH,CZCE.WH,2420.0,2019-05-17 00:00:00+08:00,2416.0,2019-01-15 00:00:00+08:00,2019-01-03,0.001654260096026468,122.0,0.00494922077909558
CZCE.ZC,CZCE.ZC,559.2,2019-05-10 00:00:00+08:00,567.8,2019-07-05 00:00:00+08:00,2019-01-03,-0.015262053119270116,56.0,-0.09947588193809986
DCE.A,DCE.A,3439.0,2019-05-17 00:00:00+08:00,3489.0,2019-09-16 00:00:00+08:00,2019-01-03,-0.014434430754507963,122.0,-0.0431849772573394
DCE.B,DCE.B,2939.0,2019-05-17 00:00:00+08:00,3022.0,2019-09-16 00:00:00+08:00,2019-01-03,-0.027849476413767477,122.0,-0.08332015484446828
DCE.BB,DCE.BB,134.75,2019-03-14 00:00:00+08:00,135.7,2019-04-15 00:00:00+08:00,2019-01-03,-0.0070253570517167865,32.0,-0.0801329788711446
