,roll_yield,near_by,deferred,date
FU,-0.7209990941066347,FU1709,FU1711,2017-06-01
RU,-0.477865671607703,RU1709,RU1801,2017-06-01
JD,-0.24019245721530819,jd1709,jd1801,2017-06-01
BB,-0.23170452225196078,bb1706,bb1804,2017-06-01
BU,-0.13830245403896269,BU1706,BU1709,2017-06-01
TA,-0.11293991400876566,TA709,TA801,2017-06-01
Y,-0.09189719569846277,y1709,y1801,2017-06-01
OI,-0.08721829364871415,OI709,OI801,2017-06-01
C,-0.08364178130335871,c1709,c1801,2017-06-01
ZC,-0.08157602308575194,ZC709,ZC801,2017-06-01
SR,-0.07645444497414301,SR709,SR801,2017-06-01
PB,-0.06731086517412713,PB1706,PB1707,2017-06-01
NI,-0.062493805848320094,NI1709,NI1801,2017-06-01
AG,-0.06000202081327176,AG1706,AG1712,2017-06-01
WH,-0.057144584912083234,WH709,WH801,2017-06-01
AL,-0.056368667335469566,AL1707,AL1708,2017-06-01
M,-0.040801535610191335,m1709,m1801,2017-06-01
MA,-0.024972761946260632,MA709,MA801,2017-06-01
AU,-0.021043439788281746,AU1706,AU1712,2017-06-01
CF,-0.019556783729451015,CF709,CF801,2017-06-01
SN,-0.01479015598520297,SN1709,SN1801,2017-06-01
TF,-0.01435530892211372,TF1706,TF1709,2017-06-01
PP,-0.009853470202270669,pp1709,pp1801,2017-06-01
A,-0.008791800617595727,a1709,a1801,2017-06-01
CU,-0.002646377781152191,CU1707,CU1708,2017-06-01
WR,-0.0,WR1706,WR1707,2017-06-01
T,0.004643554951340794,T1709,T1712,2017-06-01
L,0.031071414299841896,l1709,l1801,2017-06-01
CS,0.03249967301120956,cs1709,cs1801,2017-06-01
I,0.06498449034353826,i1709,i1801,2017-06-01
IF,0.06775315900138376,IF1706,IF1709,2017-06-01
IC,0.07998983337757633,IC1706,IC1709,2017-06-01
V,0.08660395200255638,v1709,v1801,2017-06-01
IH,0.08926406053771162,IH1706,IH1709,2017-06-01
HC,0.10463373261279671,HC1710,HC1801,2017-06-01
SM,0.11311424707271833,SM709,SM801,2017-06-01
JM,0.1289827882824638,jm1709,jm1801,2017-06-01
P,0.16277577155346534,p1709,p1801,2017-06-01
J,0.2196633054212713,j1709,j1801,2017-06-01
FG,0.23088312340838496,FG709,FG801,2017-06-01
ZN,0.23339471539029344,ZN1707,ZN1708,2017-06-01
RM,0.2480751475353402,RM709,RM801,2017-06-01
B,0.29206311077750813,b1711,b1805,2017-06-01
RB,0.34710477418184055,RB1710,RB1801,2017-06-01
FB,0.9015647557463338,fb1706,fb1709,2017-06-01
RU,-0.4702153492569964,RU1709,RU1801,2017-06-02
FU,-0.4298554300839309,FU1709,FU1711,2017-06-02
BB,-0.2901490072289409,bb1706,bb1804,2017-06-02
JD,-0.18625563159285924,jd1709,jd1801,2017-06-02
BU,-0.1326088292676022,BU1709,BU1712,2017-06-02
TA,-0.10964675559033951,TA709,TA801,2017-06-02
Y,-0.09289314065049409,y1709,y1801,2017-06-02
ZC,-0.08580184449964603,ZC709,ZC801,2017-06-02
C,-0.08497103108434112,c1709,c1801,2017-06-02
OI,-0.08412680362156874,OI709,OI801,2017-06-02
SR,-0.08046028752326878,SR709,SR801,2017-06-02
NI,-0.06667855768562544,NI1709,NI1801,2017-06-02
AL,-0.060759623478559614,AL1707,AL1708,2017-06-02
WH,-0.05697094867994136,WH709,WH801,2017-06-02
AG,-0.05433355948942707,AG1706,AG1712,2017-06-02
M,-0.03970562780855114,m1709,m1801,2017-06-02
MA,-0.037584384194664644,MA709,MA801,2017-06-02
PB,-0.03341069443685984,PB1706,PB1707,2017-06-02
AU,-0.021118764459967812,AU1706,AU1712,2017-06-02
CF,-0.018467578162727732,CF709,CF801,2017-06-02
PP,-0.016763086952115758,pp1709,pp1801,2017-06-02
SN,-0.015306690553732865,SN1709,SN1801,2017-06-02
CU,-0.01322897278725313,CU1707,CU1708,2017-06-02
TF,-0.012717307261221937,TF1706,TF1709,2017-06-02
A,-0.004775803608750956,a1709,a1801,2017-06-02
WR,-0.0,WR1706,WR1707,2017-06-02
T,0.0038000741761339708,T1709,T1712,2017-06-02
L,0.02360889081425431,l1709,l1801,2017-06-02
CS,0.02601393499826313,cs1709,cs1801,2017-06-02
IF,0.059973915774200096,IF1706,IF1709,2017-06-02
V,0.061911053569130035,v1709,v1801,2017-06-02
IH,0.07520862446846222,IH1706,IH1709,2017-06-02
IC,0.07877946795903205,IC1706,IC1709,2017-06-02
SM,0.0998835977995158,SM709,SM801,2017-06-02
I,0.10302966358083529,i1709,i1801,2017-06-02
HC,0.11723931701530921,HC1710,HC1801,2017-06-02
JM,0.1404720396157605,jm1709,jm1801,2017-06-02
P,0.1515889323067597,p1709,p1801,2017-06-02
J,0.2145366533694143,j1709,j1801,2017-06-02
FG,0.24204738608907653,FG709,FG801,2017-06-02
RM,0.25227319929276515,RM709,RM801,2017-06-02
ZN,0.2590930595349679,ZN1707,ZN1708,2017-06-02
RB,0.33772416045734566,RB1710,RB1801,2017-06-02
B,0.7200500970559877,b1803,b1805,2017-06-02
FB,0.8515805472913671,fb1706,fb1709,2017-06-02
RU,-0.4730364697407401,RU1709,RU1801,2017-06-05
FU,-0.4298554300839309,FU1709,FU1711,2017-06-05
BB,-0.2901490072289409,bb1706,bb1804,2017-06-05
JD,-0.22610940592243206,jd1709,jd1801,2017-06-05
BU,-0.12422315974924548,BU1709,BU1712,2017-06-05
TA,-0.10262694510851028,TA709,TA801,2017-06-05
C,-0.09547488426701695,c1709,c1801,2017-06-05
Y,-0.090022274321993,y1709,y1801,2017-06-05
SR,-0.08518562256247049,SR709,SR801,2017-06-05
OI,-0.08267665391580967,OI709,OI801,2017-06-05
NI,-0.06735473611979886,NI1709,NI1801,2017-06-05
ZC,-0.061719027353143774,ZC709,ZC801,2017-06-05
WH,-0.06044682729406097,WH709,WH801,2017-06-05
AL,-0.05661414964789996,AL1707,AL1708,2017-06-05
AG,-0.055429666688879206,AG1706,AG1712,2017-06-05
M,-0.037127794336068796,m1709,m1801,2017-06-05
PB,-0.03630865099844268,PB1707,PB1708,2017-06-05
MA,-0.03573834454872588,MA709,MA801,2017-06-05
AU,-0.021197866697010806,AU1706,AU1712,2017-06-05
CF,-0.020484553658383406,CF709,CF801,2017-06-05
SN,-0.01595748443280008,SN1709,SN1801,2017-06-05
PP,-0.013674569486164766,pp1709,pp1801,2017-06-05
CU,-0.010605391764093542,CU1707,CU1708,2017-06-05
WR,-0.0,WR1706,WR1707,2017-06-05
A,0.003921056629296148,a1709,a1801,2017-06-05
T,0.004001579904611716,T1709,T1712,2017-06-05
CS,0.004572010028925343,cs1709,cs1801,2017-06-05
TF,0.005116529644392393,TF1709,TF1712,2017-06-05
L,0.02878938266478185,l1709,l1801,2017-06-05
IF,0.055231149272999394,IF1706,IF1709,2017-06-05
IH,0.07478708918487272,IH1706,IH1709,2017-06-05
V,0.07536126025058196,v1709,v1801,2017-06-05
IC,0.07636061557166302,IC1706,IC1709,2017-06-05
SM,0.10186454843147891,SM709,SM801,2017-06-05
HC,0.11470815408362464,HC1710,HC1801,2017-06-05
I,0.12318446039332177,i1709,i1801,2017-06-05
P,0.15304077261435653,p1709,p1801,2017-06-05
JM,0.15577488892441035,jm1709,jm1801,2017-06-05
J,0.2178152877383025,j1709,j1801,2017-06-05
FG,0.2456675852929972,FG709,FG801,2017-06-05
RM,0.24791198434491568,RM709,RM801,2017-06-05
ZN,0.2575266855865892,ZN1707,ZN1708,2017-06-05
RB,0.3377892505052073,RB1710,RB1801,2017-06-05
B,0.7219300908047231,b1803,b1805,2017-06-05
FB,0.8515805472913671,fb1706,fb1709,2017-06-05
RU,-0.4684676821631887,RU1709,RU1801,2017-06-06
FU,-0.4298554300839309,FU1709,FU1711,2017-06-06
BB,-0.3483514327272017,bb1706,bb1804,2017-06-06
JD,-0.2083161089101151,jd1709,jd1801,2017-06-06
BU,-0.10649547484868616,BU1709,BU1712,2017-06-06
TA,-0.10182944444491931,TA709,TA801,2017-06-06
C,-0.09020523222866275,c1709,c1801,2017-06-06
Y,-0.08651474915740387,y1709,y1801,2017-06-06
SR,-0.08236958798402987,SR709,SR801,2017-06-06
OI,-0.07800150517543991,OI709,OI801,2017-06-06
NI,-0.06827712743440872,NI1709,NI1801,2017-06-06
WH,-0.06282354075198775,WH709,WH801,2017-06-06
ZC,-0.058189067814785736,ZC709,ZC801,2017-06-06
AG,-0.057989200484534806,AG1706,AG1712,2017-06-06
AL,-0.05253565487030657,AL1707,AL1708,2017-06-06
M,-0.03936326388809183,m1709,m1801,2017-06-06
MA,-0.033737379774825646,MA709,MA801,2017-06-06
CF,-0.022457387213422497,CF709,CF801,2017-06-06
PB,-0.021660655700762886,PB1707,PB1708,2017-06-06
AU,-0.020714658976882162,AU1706,AU1712,2017-06-06
