,roll_yield,near_by,deferred,date
JD,-0.5046756187418916,jd2203,jd2205,2022-01-04
LH,-0.462472170695459,lh2203,lh2205,2022-01-04
FB,-0.4178371819107351,fb2201,fb2202,2022-01-04
JM,-0.3200779317882637,jm2201,jm2205,2022-01-04
RR,-0.18002137792684986,rr2202,rr2203,2022-01-04
CS,-0.1595891157227898,cs2203,cs2205,2022-01-04
SA,-0.1295355400833124,SA205,SA209,2022-01-04
FG,-0.11574881703418473,FG205,FG208,2022-01-04
PK,-0.09823190026187725,PK204,PK210,2022-01-04
C,-0.08948711739052317,c2203,c2205,2022-01-04
BU,-0.06804538330614625,BU2203,BU2206,2022-01-04
NR,-0.06708252257821526,NR2203,NR2204,2022-01-04
CY,-0.05245739783267141,CY201,CY205,2022-01-04
CJ,-0.04435878482917885,CJ205,CJ209,2022-01-04
TA,-0.04295961073255557,TA203,TA205,2022-01-04
PF,-0.03895567671726148,PF203,PF205,2022-01-04
PB,-0.0389357901614094,PB2202,PB2203,2022-01-04
MA,-0.0371662047856405,MA203,MA205,2022-01-04
RU,-0.03551538180354878,RU2205,RU2209,2022-01-04
EG,-0.03096473724465669,eg2203,eg2205,2022-01-04
A,-0.030706310621879496,a2203,a2205,2022-01-04
AG,-0.0296813283166172,AG2202,AG2206,2022-01-04
SR,-0.027976909336877645,SR203,SR205,2022-01-04
ZN,-0.02741149566978529,ZN2202,ZN2203,2022-01-04
SM,-0.02691257938491659,SM203,SM205,2022-01-04
WR,-0.021510246772405983,WR2202,WR2205,2022-01-04
AL,-0.017799756044822264,AL2202,AL2203,2022-01-04
CU,-0.013759496992689347,CU2202,CU2203,2022-01-04
AU,-0.013366637782245913,AU2202,AU2206,2022-01-04
IH,-0.013197292545014502,IH2201,IH2203,2022-01-04
EB,-0.0069698555714442015,eb2202,eb2203,2022-01-04
RM,-0.0060412826047026354,RM203,RM205,2022-01-04
BC,-0.005783597188025824,BC2203,BC2204,2022-01-04
IF,-0.00048723050089721873,IF2201,IF2203,2022-01-04
BB,-0.0,bb2201,bb2202,2022-01-04
PP,0.0021716836817888513,pp2203,pp2205,2022-01-04
TS,0.002572920105533943,TS2203,TS2206,2022-01-04
FU,0.005258546482243082,FU2205,FU2209,2022-01-04
V,0.006291873573953516,v2203,v2205,2022-01-04
TF,0.006887901138667496,TF2203,TF2206,2022-01-04
T,0.0091419526056037,T2203,T2206,2022-01-04
SP,0.009863556388700883,SP2203,SP2205,2022-01-04
SF,0.014499765394016678,SF203,SF205,2022-01-04
L,0.017145808090065846,l2203,l2205,2022-01-04
LU,0.023010553551262254,LU2203,LU2204,2022-01-04
NI,0.03702369431836307,NI2202,NI2203,2022-01-04
ZC,0.03806620930227063,ZC205,ZC209,2022-01-04
SC,0.0511105123127548,SC2202,SC2203,2022-01-04
IC,0.05150246214834861,IC2201,IC2203,2022-01-04
HC,0.08027867068918132,HC2205,HC2210,2022-01-04
RB,0.10891921403476246,RB2205,RB2210,2022-01-04
UR,0.12323833657278832,UR205,UR208,2022-01-04
OI,0.14670898281862924,OI203,OI205,2022-01-04
I,0.15869621384814578,i2205,i2209,2022-01-04
Y,0.16726746937541,y2203,y2205,2022-01-04
CF,0.18014219413021487,CF203,CF205,2022-01-04
J,0.19000762551543227,j2205,j2209,2022-01-04
SS,0.19661060056054774,SS2202,SS2203,2022-01-04
SN,0.20663176864558858,SN2202,SN2203,2022-01-04
AP,0.24514866024674822,AP205,AP210,2022-01-04
M,0.25127937769960845,m2203,m2205,2022-01-04
P,0.38199455909137814,p2202,p2205,2022-01-04
B,0.40729153583071515,b2202,b2203,2022-01-04
PG,0.4463531688594301,pg2202,pg2203,2022-01-04
SC_TAS,,SC_TAS2202,SC_TAS2203,2022-01-04
JD,-0.5088436588321377,jd2203,jd2205,2022-01-05
LH,-0.5085395076152442,lh2203,lh2205,2022-01-05
FB,-0.4230323106691656,fb2201,fb2202,2022-01-05
JM,-0.2580233614260338,jm2201,jm2205,2022-01-05
RR,-0.16497570062350292,rr2202,rr2203,2022-01-05
CS,-0.1593275063351697,cs2203,cs2205,2022-01-05
FG,-0.11601609369739475,FG205,FG208,2022-01-05
SA,-0.11124502471359535,SA205,SA209,2022-01-05
C,-0.10268107739232396,c2203,c2205,2022-01-05
PK,-0.09634671585190552,PK204,PK210,2022-01-05
CJ,-0.08515235795230496,CJ205,CJ209,2022-01-05
NR,-0.07661230534162286,NR2203,NR2204,2022-01-05
BU,-0.06069919207694046,BU2203,BU2206,2022-01-05
PB,-0.04727517604896372,PB2202,PB2203,2022-01-05
TA,-0.046893556402608734,TA203,TA205,2022-01-05
PF,-0.04688832123278146,PF203,PF205,2022-01-05
MA,-0.03968114054799102,MA203,MA205,2022-01-05
RU,-0.0383972907565273,RU2205,RU2209,2022-01-05
RM,-0.034142351542966624,RM203,RM205,2022-01-05
A,-0.032564530412190096,a2203,a2205,2022-01-05
AG,-0.03032243123416042,AG2202,AG2206,2022-01-05
ZN,-0.029453890835405602,ZN2202,ZN2203,2022-01-05
EB,-0.028422561842761145,eb2202,eb2203,2022-01-05
SR,-0.02599432191658267,SR203,SR205,2022-01-05
BC,-0.02485462531176679,BC2203,BC2204,2022-01-05
EG,-0.02140311425352788,eg2203,eg2205,2022-01-05
AL,-0.020590763723522726,AL2202,AL2203,2022-01-05
IH,-0.01725457792671567,IH2201,IH2203,2022-01-05
CU,-0.013684962281445952,CU2202,CU2203,2022-01-05
AU,-0.012997800546721068,AU2202,AU2206,2022-01-05
SM,-0.008946323725080939,SM203,SM205,2022-01-05
SP,-0.001982488040504783,SP2203,SP2205,2022-01-05
BB,-0.0,bb2201,bb2202,2022-01-05
PP,0.002187784892060714,pp2203,pp2205,2022-01-05
IF,0.002953361559280972,IF2201,IF2203,2022-01-05
TS,0.003167846525025727,TS2203,TS2206,2022-01-05
FU,0.00629150877217061,FU2205,FU2209,2022-01-05
TF,0.006894345882291987,TF2203,TF2206,2022-01-05
T,0.009354867050995584,T2203,T2206,2022-01-05
SF,0.013054519836229152,SF203,SF205,2022-01-05
L,0.016738357943841053,l2203,l2205,2022-01-05
V,0.019197741092309383,v2203,v2205,2022-01-05
WR,0.028425613741185213,WR2202,WR2205,2022-01-05
ZC,0.03262768280080374,ZC205,ZC209,2022-01-05
NI,0.033168826645816524,NI2202,NI2203,2022-01-05
IC,0.04603731129212829,IC2201,IC2203,2022-01-05
SC,0.05501853552980579,SC2202,SC2203,2022-01-05
HC,0.07850293802304703,HC2205,HC2210,2022-01-05
LU,0.08155529556417906,LU2204,LU2205,2022-01-05
RB,0.10261273273462988,RB2205,RB2210,2022-01-05
OI,0.1113615843121841,OI203,OI205,2022-01-05
UR,0.13938692532067276,UR205,UR208,2022-01-05
I,0.15524527801289184,i2205,i2209,2022-01-05
CF,0.16435535410511437,CF203,CF205,2022-01-05
Y,0.1648958741629926,y2203,y2205,2022-01-05
J,0.1765215000688004,j2205,j2209,2022-01-05
AP,0.19153255370464073,AP205,AP210,2022-01-05
SN,0.19651094163682592,SN2202,SN2203,2022-01-05
SS,0.22271960572554675,SS2202,SS2203,2022-01-05
M,0.28292861896172544,m2203,m2205,2022-01-05
B,0.35264245585385673,b2202,b2203,2022-01-05
P,0.44581442938084886,p2203,p2205,2022-01-05
PG,0.4739580165853997,pg2202,pg2203,2022-01-05
SC_TAS,,SC_TAS2202,SC_TAS2203,2022-01-05
LH,-0.5436988518376213,lh2203,lh2205,2022-01-06
JD,-0.48037799064134235,jd2203,jd2205,2022-01-06
JM,-0.1985896933650322,jm2201,jm2205,2022-01-06
FG,-0.18819366892956824,FG205,FG208,2022-01-06
CS,-0.16254710632806624,cs2203,cs2205,2022-01-06
RR,-0.13153738576964108,rr2203,rr2204,2022-01-06
SA,-0.11706319758849049,SA205,SA209,2022-01-06
PK,-0.11668770476843471,PK204,PK210,2022-01-06
CJ,-0.0926627335440909,CJ205,CJ209,2022-01-06
NR,-0.08859975102077694,NR2203,NR2204,2022-01-06
C,-0.08581252782515476,c2203,c2205,2022-01-06
BU,-0.06788041687384636,BU2203,BU2206,2022-01-06
PF,-0.04854259983207544,PF203,PF205,2022-01-06
EG,-0.04447932972303632,eg2203,eg2205,2022-01-06
TA,-0.04238636151904884,TA203,TA205,2022-01-06
EB,-0.03979631741688162,eb2202,eb2203,2022-01-06
PB,-0.039774646954808146,PB2202,PB2203,2022-01-06
RU,-0.03689831277145647,RU2205,RU2209,2022-01-06
RM,-0.032989773831587105,RM203,RM205,2022-01-06
ZN,-0.02949008242311668,ZN2202,ZN2203,2022-01-06
AG,-0.02907859716510889,AG2203,AG2206,2022-01-06
A,-0.028654327017747876,a2203,a2205,2022-01-06
MA,-0.02770301189281768,MA203,MA205,2022-01-06
SM,-0.021831437063449748,SM203,SM205,2022-01-06
SR,-0.02104896037043432,SR203,SR205,2022-01-06
IH,-0.020507741432852906,IH2201,IH2203,2022-01-06
AL,-0.01739130739188259,AL2202,AL2203,2022-01-06
CU,-0.017256258366272818,CU2202,CU2203,2022-01-06
BC,-0.011603546431926081,BC2203,BC2204,2022-01-06
AU,-0.010181279467894091,AU2202,AU2206,2022-01-06
PP,-0.00652449771293848,pp2203,pp2205,2022-01-06
BB,-0.0,bb2201,bb2202,2022-01-06
TS,0.00237729688538894,TS2203,TS2206,2022-01-06
FU,0.00316066754433199,FU2205,FU2209,2022-01-06
ZC,0.004306014805582086,ZC205,ZC209,2022-01-06
