,roll_yield,near_by,deferred,date
L,-0.336813632035805,l1101,l1105,2011-01-04
ER,-0.23739819108052457,ER105,ER109,2011-01-04
WS,-0.22507739674735638,WS105,WS109,2011-01-04
FU,-0.21923621172451263,FU1103,FU1105,2011-01-04
V,-0.213528835403685,v1101,v1105,2011-01-04
C,-0.19045618531890182,c1105,c1109,2011-01-04
WT,-0.16083585454526056,WT105,WT109,2011-01-04
AL,-0.13770932353495385,AL1103,AL1104,2011-01-04
RO,-0.13596732564011654,RO105,RO109,2011-01-04
ZN,-0.1313491540811635,ZN1103,ZN1104,2011-01-04
IF,-0.12279498355374624,IF1101,IF1103,2011-01-04
TA,-0.12138045490433763,TA101,TA105,2011-01-04
CU,-0.0998618800499066,CU1103,CU1104,2011-01-04
Y,-0.07675103595558602,y1105,y1109,2011-01-04
SR,-0.06601990445113609,SR105,SR109,2011-01-04
RB,-0.04731159368405185,RB1105,RB1110,2011-01-04
M,-0.046690121680689,m1105,m1109,2011-01-04
B,-0.017895238405424715,b1105,b1109,2011-01-04
CF,-0.008004985626596284,CF105,CF109,2011-01-04
AU,0.0018512204026795605,AU1102,AU1106,2011-01-04
A,0.008608327283858217,a1109,a1201,2011-01-04
P,0.015076923883128718,p1105,p1109,2011-01-04
RU,0.021614503106005566,RU1105,RU1109,2011-01-04
WR,0.05561496795770117,WR1105,WR1108,2011-01-04
L,-0.327735132740685,l1101,l1105,2011-01-05
ER,-0.2416922523573966,ER105,ER109,2011-01-05
WS,-0.22500652995238613,WS105,WS109,2011-01-05
FU,-0.21653117062724347,FU1103,FU1105,2011-01-05
C,-0.18735331902740757,c1105,c1109,2011-01-05
V,-0.17987037782243614,v1101,v1105,2011-01-05
WT,-0.17444452114097964,WT105,WT109,2011-01-05
RO,-0.13561631030414034,RO105,RO109,2011-01-05
AL,-0.12405958966426064,AL1103,AL1104,2011-01-05
ZN,-0.11764800115945026,ZN1103,ZN1104,2011-01-05
IF,-0.1122852875798092,IF1101,IF1103,2011-01-05
TA,-0.10897643296589576,TA101,TA105,2011-01-05
CU,-0.08955895967048179,CU1103,CU1104,2011-01-05
Y,-0.07923352112058943,y1105,y1109,2011-01-05
SR,-0.06881326110450939,SR105,SR109,2011-01-05
RB,-0.060812811663105884,RB1105,RB1110,2011-01-05
M,-0.03834202881894612,m1105,m1109,2011-01-05
A,0.0013404825960295597,a1109,a1201,2011-01-05
AU,0.0021995601865164678,AU1102,AU1106,2011-01-05
B,0.003224073389296078,b1105,b1109,2011-01-05
RU,0.028878709187470576,RU1105,RU1109,2011-01-05
P,0.041371574330866676,p1105,p1109,2011-01-05
WR,0.093145614428885,WR1105,WR1108,2011-01-05
CF,0.4619784896933905,CF109,CF111,2011-01-05
L,-0.3244724273671403,l1101,l1105,2011-01-06
ER,-0.2404213351598255,ER105,ER109,2011-01-06
WS,-0.22550055453767368,WS105,WS109,2011-01-06
FU,-0.2242904411475442,FU1103,FU1105,2011-01-06
V,-0.20949328351002,v1101,v1105,2011-01-06
C,-0.18710462362474933,c1105,c1109,2011-01-06
WT,-0.1797742126138594,WT105,WT109,2011-01-06
RO,-0.13301176034035572,RO105,RO109,2011-01-06
IF,-0.1220406436167393,IF1101,IF1103,2011-01-06
ZN,-0.11852698615564443,ZN1103,ZN1104,2011-01-06
AL,-0.1092358152373049,AL1103,AL1104,2011-01-06
TA,-0.09510144343330994,TA101,TA105,2011-01-06
Y,-0.07823349246467555,y1105,y1109,2011-01-06
CU,-0.06850955042256864,CU1103,CU1104,2011-01-06
SR,-0.06589958018195179,SR105,SR109,2011-01-06
RB,-0.06498858616340947,RB1105,RB1110,2011-01-06
M,-0.03968895164202826,m1105,m1109,2011-01-06
B,-0.02311160585187178,b1105,b1109,2011-01-06
A,-0.007277542437539352,a1109,a1201,2011-01-06
AU,0.002006621926924377,AU1102,AU1106,2011-01-06
P,0.02428683419355036,p1105,p1109,2011-01-06
RU,0.03104763415775277,RU1105,RU1109,2011-01-06
WR,0.08268592252637914,WR1105,WR1108,2011-01-06
CF,0.5121996855358054,CF109,CF111,2011-01-06
L,-0.3268447456936376,l1101,l1105,2011-01-07
ER,-0.22600670602260453,ER105,ER109,2011-01-07
FU,-0.2164664294141433,FU1103,FU1105,2011-01-07
WS,-0.21212271649285902,WS105,WS109,2011-01-07
WT,-0.19814071365863384,WT105,WT109,2011-01-07
C,-0.18106052668873085,c1105,c1109,2011-01-07
RO,-0.14019129361926458,RO105,RO109,2011-01-07
ZN,-0.13880280938154482,ZN1103,ZN1104,2011-01-07
V,-0.1316825806716758,v1101,v1105,2011-01-07
AL,-0.11693581385398027,AL1103,AL1104,2011-01-07
IF,-0.10986777000230263,IF1101,IF1103,2011-01-07
WR,-0.09885610438348091,WR1105,WR1108,2011-01-07
RB,-0.06568987085004478,RB1105,RB1110,2011-01-07
Y,-0.06474040981337648,y1105,y1109,2011-01-07
TA,-0.06327123797298001,TA101,TA105,2011-01-07
SR,-0.06128510569594463,SR105,SR109,2011-01-07
CU,-0.04824819825457943,CU1103,CU1104,2011-01-07
M,-0.026897968594278114,m1105,m1109,2011-01-07
A,-0.010154584895593552,a1109,a1201,2011-01-07
B,-0.006518197273325111,b1107,b1109,2011-01-07
AU,0.025947194938046956,AU1102,AU1106,2011-01-07
P,0.027884621850355777,p1105,p1109,2011-01-07
RU,0.040230487942271326,RU1105,RU1109,2011-01-07
CF,0.4940058177641895,CF109,CF111,2011-01-07
L,-0.28838653627548244,l1101,l1105,2011-01-10
FU,-0.22450105525672964,FU1103,FU1105,2011-01-10
ER,-0.22379884274456202,ER105,ER109,2011-01-10
WS,-0.20856928257871452,WS105,WS109,2011-01-10
C,-0.1782171617177239,c1105,c1109,2011-01-10
WT,-0.175281904985552,WT105,WT109,2011-01-10
RO,-0.1415169078870876,RO105,RO109,2011-01-10
AL,-0.12376712043357616,AL1103,AL1104,2011-01-10
V,-0.12061926143412144,v1101,v1105,2011-01-10
ZN,-0.11670482312573593,ZN1103,ZN1104,2011-01-10
IF,-0.11459375639027172,IF1101,IF1103,2011-01-10
RB,-0.07526578928759689,RB1105,RB1110,2011-01-10
TA,-0.07478478776609022,TA101,TA105,2011-01-10
Y,-0.05860010140274476,y1105,y1109,2011-01-10
SR,-0.049544802715003916,SR105,SR109,2011-01-10
CU,-0.048068733803123556,CU1103,CU1104,2011-01-10
B,-0.03787149367366586,b1107,b1109,2011-01-10
M,-0.031134452906141266,m1105,m1109,2011-01-10
WR,-0.026290776296587347,WR1105,WR1108,2011-01-10
A,-0.0040522293419091426,a1109,a1201,2011-01-10
AU,0.013405384450421689,AU1102,AU1106,2011-01-10
RU,0.019396619293925582,RU1105,RU1109,2011-01-10
P,0.03404291849261225,p1105,p1109,2011-01-10
CF,0.42218576712972,CF109,CF111,2011-01-10
L,-0.3144439923476663,l1101,l1105,2011-01-11
FU,-0.22554336427812877,FU1103,FU1105,2011-01-11
ER,-0.2150920929511037,ER105,ER109,2011-01-11
WS,-0.21168925695422602,WS105,WS109,2011-01-11
C,-0.18512801480840263,c1105,c1109,2011-01-11
WT,-0.16087452377591252,WT105,WT109,2011-01-11
RO,-0.13538676311773512,RO105,RO109,2011-01-11
V,-0.1298415250753872,v1101,v1105,2011-01-11
ZN,-0.11924784322869239,ZN1103,ZN1104,2011-01-11
AL,-0.11340899531279641,AL1103,AL1104,2011-01-11
IF,-0.10869107777095582,IF1101,IF1103,2011-01-11
RB,-0.07608846962481891,RB1105,RB1110,2011-01-11
CU,-0.0695752497006949,CU1103,CU1104,2011-01-11
TA,-0.06702561451350256,TA101,TA105,2011-01-11
Y,-0.058819815118459885,y1105,y1109,2011-01-11
SR,-0.050965809679227335,SR105,SR109,2011-01-11
M,-0.030106510048656075,m1105,m1109,2011-01-11
WR,-0.026290776296587347,WR1105,WR1108,2011-01-11
A,-0.006735521464304591,a1109,a1201,2011-01-11
B,-0.002614948956150252,b1105,b1109,2011-01-11
AU,0.0005005255529901434,AU1102,AU1106,2011-01-11
RU,0.009579571737464727,RU1105,RU1109,2011-01-11
P,0.033182842078274925,p1105,p1109,2011-01-11
CF,0.39932244115683063,CF109,CF111,2011-01-11
L,-0.3087555360068237,l1101,l1105,2011-01-12
FU,-0.22620610864213114,FU1103,FU1105,2011-01-12
WS,-0.21831988343695577,WS105,WS109,2011-01-12
ER,-0.2136177882800813,ER105,ER109,2011-01-12
WT,-0.18815797556913944,WT105,WT109,2011-01-12
C,-0.18203620750405336,c1105,c1109,2011-01-12
RO,-0.1282368270764657,RO105,RO109,2011-01-12
ZN,-0.12509886555597693,ZN1103,ZN1104,2011-01-12
V,-0.12170155496700014,v1101,v1105,2011-01-12
AL,-0.10613276730478705,AL1103,AL1104,2011-01-12
IF,-0.09700459773788775,IF1101,IF1103,2011-01-12
RB,-0.07410704536366652,RB1105,RB1110,2011-01-12
TA,-0.06904727038356977,TA101,TA105,2011-01-12
Y,-0.06486739203949697,y1105,y1109,2011-01-12
CU,-0.0623815946455132,CU1103,CU1104,2011-01-12
SR,-0.05179129617963936,SR105,SR109,2011-01-12
M,-0.032796899250463356,m1105,m1109,2011-01-12
WR,-0.014396120122878199,WR1105,WR1108,2011-01-12
A,-0.010805954952087285,a1109,a1201,2011-01-12
B,-0.008490263640043178,b1105,b1109,2011-01-12
RU,0.015321188280006063,RU1105,RU1109,2011-01-12
AU,0.016297906785945348,AU1102,AU1106,2011-01-12
P,0.036817807168310616,p1105,p1109,2011-01-12
CF,0.399864444991176,CF109,CF111,2011-01-12
L,-0.2944792934167322,l1101,l1105,2011-01-13
FU,-0.22771707150404874,FU1103,FU1105,2011-01-13
WS,-0.22104356135658793,WS105,WS109,2011-01-13
ER,-0.21410991677494956,ER105,ER109,2011-01-13
C,-0.19473501460758502,c1105,c1109,2011-01-13
WT,-0.17692200737865374,WT105,WT109,2011-01-13
RO,-0.12585311971707133,RO105,RO109,2011-01-13
V,-0.12170155496700014,v1101,v1105,2011-01-13
ZN,-0.11798283914988585,ZN1103,ZN1104,2011-01-13
AL,-0.10625807327106565,AL1103,AL1104,2011-01-13
IF,-0.10095710346937278,IF1101,IF1103,2011-01-13
RB,-0.08011262653939694,RB1105,RB1110,2011-01-13
TA,-0.06705134026946366,TA101,TA105,2011-01-13
CU,-0.06545928533436768,CU1103,CU1104,2011-01-13
Y,-0.0591236967890986,y1105,y1109,2011-01-13
SR,-0.050164127574277406,SR105,SR109,2011-01-13
B,-0.04736769756755875,b1105,b1109,2011-01-13
M,-0.026155353119643142,m1105,m1109,2011-01-13
A,-0.016032102282814632,a1109,a1201,2011-01-13
WR,-0.014396120122878199,WR1105,WR1108,2011-01-13
RU,0.022946175430913884,RU1105,RU1109,2011-01-13
AU,0.03343096415447808,AU1102,AU1106,2011-01-13
P,0.04078382786140646,p1105,p1109,2011-01-13
CF,0.39005208221799903,CF109,CF111,2011-01-13
L,-0.2993533805977377,l1101,l1105,2011-01-14
WS,-0.24482663611884403,WS105,WS109,2011-01-14
ER,-0.22836437123077433,ER105,ER109,2011-01-14
FU,-0.22359715251971646,FU1103,FU1105,2011-01-14
C,-0.19344448189232255,c1105,c1109,2011-01-14
WT,-0.18979191420730124,WT105,WT109,2011-01-14
V,-0.17774574003681992,v1101,v1105,2011-01-14
RO,-0.13300450136604294,RO105,RO109,2011-01-14
ZN,-0.11528064771926884,ZN1103,ZN1104,2011-01-14
IF,-0.09875026785516183,IF1101,IF1103,2011-01-14
AL,-0.09595786361071654,AL1103,AL1104,2011-01-14
WR,-0.08661591815401568,WR1105,WR1108,2011-01-14
CU,-0.06727417759918186,CU1103,CU1104,2011-01-14
Y,-0.06649106716232936,y1105,y1109,2011-01-14
RB,-0.06423564843121066,RB1105,RB1110,2011-01-14
TA,-0.05978806528227547,TA105,TA109,2011-01-14
B,-0.05251349642782377,b1105,b1109,2011-01-14
SR,-0.04833052625594948,SR105,SR109,2011-01-14
M,-0.024117270280878428,m1105,m1109,2011-01-14
A,-0.021262547477897582,a1109,a1201,2011-01-14
P,0.020668774764882707,p1105,p1109,2011-01-14
AU,0.03808938569905171,AU1102,AU1106,2011-01-14
RU,0.04861580513549234,RU1105,RU1109,2011-01-14
CF,0.3724447955399901,CF109,CF111,2011-01-14
L,-0.42527398342598355,l1103,l1105,2011-01-17
WS,-0.25468471551242833,WS105,WS109,2011-01-17
ER,-0.23321089606854134,ER105,ER109,2011-01-17
FU,-0.22539634880079756,FU1103,FU1105,2011-01-17
WT,-0.21893802398556864,WT105,WT109,2011-01-17
C,-0.1849176806251122,c1105,c1109,2011-01-17
RO,-0.1335068347552613,RO105,RO109,2011-01-17
ZN,-0.1250011302990686,ZN1103,ZN1104,2011-01-17
V,-0.11501256357777932,v1105,v1109,2011-01-17
IF,-0.10645956985616817,IF1101,IF1103,2011-01-17
AL,-0.08571465014856136,AL1103,AL1104,2011-01-17
CU,-0.07090622768846958,CU1103,CU1104,2011-01-17
Y,-0.05990982501803259,y1105,y1109,2011-01-17
TA,-0.05840404839914409,TA105,TA109,2011-01-17
SR,-0.053864456827294696,SR105,SR109,2011-01-17
RB,-0.05164603513967431,RB1105,RB1110,2011-01-17
WR,-0.04224079010220429,WR1105,WR1108,2011-01-17
A,-0.025847945165520726,a1109,a1201,2011-01-17
M,-0.022171789379087956,m1105,m1109,2011-01-17
B,0.0006424670760178153,b1105,b1109,2011-01-17
P,0.029960505813662212,p1105,p1109,2011-01-17
AU,0.05885526154552439,AU1102,AU1106,2011-01-17
RU,0.0601920931072249,RU1105,RU1109,2011-01-17
CF,0.4203803824172459,CF109,CF111,2011-01-17
L,-0.41520320546029493,l1103,l1105,2011-01-18
WS,-0.2506606089707981,WS105,WS109,2011-01-18
ER,-0.24071826760793588,ER105,ER109,2011-01-18
FU,-0.22582293255993255,FU1103,FU1105,2011-01-18
WT,-0.2078114465579998,WT105,WT109,2011-01-18
C,-0.19066467439519458,c1105,c1109,2011-01-18
RO,-0.1350783771578031,RO105,RO109,2011-01-18
ZN,-0.11927903595865291,ZN1103,ZN1104,2011-01-18
V,-0.10673419966157194,v1105,v1109,2011-01-18
AL,-0.0895392902218709,AL1103,AL1104,2011-01-18
IF,-0.08443660235339158,IF1101,IF1102,2011-01-18
CU,-0.08026785780955982,CU1103,CU1104,2011-01-18
Y,-0.0625384545628101,y1105,y1109,2011-01-18
RB,-0.05314226779535142,RB1105,RB1110,2011-01-18
TA,-0.048711154954984265,TA105,TA109,2011-01-18
SR,-0.04508804563056599,SR105,SR109,2011-01-18
A,-0.04268431424364168,a1109,a1201,2011-01-18
WR,-0.027943405196265397,WR1105,WR1108,2011-01-18
M,-0.02383667477945717,m1105,m1109,2011-01-18
B,0.0012770033037454369,b1109,b1111,2011-01-18
AU,0.03465786417600153,AU1102,AU1106,2011-01-18
P,0.036810277775443205,p1105,p1109,2011-01-18
RU,0.05559391386565103,RU1105,RU1109,2011-01-18
CF,0.4146911289898978,CF109,CF111,2011-01-18
L,-0.4406817646937524,l1103,l1105,2011-01-19
WS,-0.25947609406033045,WS105,WS109,2011-01-19
ER,-0.2405212305360772,ER105,ER109,2011-01-19
FU,-0.2241730007227961,FU1103,FU1105,2011-01-19
WT,-0.2170904671475146,WT105,WT109,2011-01-19
C,-0.1913312027117892,c1105,c1109,2011-01-19
RO,-0.14376697988685933,RO105,RO109,2011-01-19
ZN,-0.12691979529927655,ZN1103,ZN1104,2011-01-19
V,-0.10024799075953206,v1105,v1109,2011-01-19
CU,-0.09585507516829708,CU1103,CU1104,2011-01-19
IF,-0.09187624634391779,IF1101,IF1102,2011-01-19
WR,-0.08525930641796801,WR1105,WR1108,2011-01-19
AL,-0.0783153180153077,AL1103,AL1104,2011-01-19
Y,-0.06235327899848334,y1105,y1109,2011-01-19
RB,-0.04913860932536147,RB1105,RB1110,2011-01-19
SR,-0.04754991191242218,SR105,SR109,2011-01-19
TA,-0.03661208398147931,TA105,TA109,2011-01-19
A,-0.03206487063622965,a1109,a1201,2011-01-19
M,-0.017064892429907226,m1105,m1109,2011-01-19
B,0.0006349878317706339,b1109,b1201,2011-01-19
AU,0.01859969567292257,AU1102,AU1106,2011-01-19
P,0.02244021379775157,p1105,p1109,2011-01-19
RU,0.07649301309573504,RU1105,RU1109,2011-01-19
CF,0.4773093531997619,CF109,CF111,2011-01-19
L,-0.4192505684798554,l1103,l1105,2011-01-20
