,roll_yield,near_by,deferred,date
Y,-0.04187088205205561,y1505,y1509,2015-01-07
AG,-0.04155063337863517,AG1501,AG1506,2015-01-07
C,-0.03731391387665116,c1505,c1509,2015-01-07
P,-0.0344217426174215,p1505,p1509,2015-01-07
OI,-0.03257146652085889,OI505,OI509,2015-01-07
JM,-0.03225837532878509,jm1505,jm1509,2015-01-07
RB,-0.0221795956660776,RB1505,RB1510,2015-01-07
TF,-0.02155938682666301,TF1503,TF1506,2015-01-07
AU,-0.020251687829191574,AU1502,AU1506,2015-01-07
LR,-0.012738872644353291,LR501,LR505,2015-01-07
PB,0.004845548218472898,PB1502,PB1503,2015-01-07
B,0.014571956160760215,b1503,b1505,2015-01-07
M,0.016842149498300464,m1505,m1509,2015-01-07
WR,0.02531649325624974,WR1502,WR1504,2015-01-07
A,0.04292494425100794,a1505,a1509,2015-01-07
ZN,0.043217333626889634,ZN1502,ZN1503,2015-01-07
FG,0.05068705627528979,FG506,FG509,2015-01-07
RM,0.05259743628492158,RM505,RM509,2015-01-07
I,0.06502717643712118,i1505,i1509,2015-01-07
V,0.0682493889029428,v1505,v1509,2015-01-07
RU,0.09938087489536428,RU1505,RU1509,2015-01-07
HC,0.09963640261834085,HC1501,HC1505,2015-01-07
CU,0.11069940130114456,CU1503,CU1504,2015-01-07
L,0.12239140214893532,l1505,l1509,2015-01-07
PP,0.12487208812813805,pp1505,pp1509,2015-01-07
BB,0.14518666926558893,bb1502,bb1505,2015-01-07
TC,0.23148341432059819,TC501,TC505,2015-01-07
J,0.30782374668570467,j1501,j1505,2015-01-07
FU,-0.274986694259845,FU1503,FU1506,2015-01-08
ME,-0.25153064529957836,ME501,ME505,2015-01-08
JD,-0.20749343103921156,jd1505,jd1509,2015-01-08
CS,-0.173611233066115,cs1505,cs1509,2015-01-08
BU,-0.1656360849873117,BU1506,BU1509,2015-01-08
IF,-0.15792572579864536,IF1501,IF1503,2015-01-08
MA,-0.13934645648926053,MA506,MA509,2015-01-08
WH,-0.11243347902211345,WH501,WH505,2015-01-08
TA,-0.08898957547067657,TA505,TA509,2015-01-08
SR,-0.08356733611190026,SR505,SR509,2015-01-08
CF,-0.07772163611345977,CF505,CF509,2015-01-08
AL,-0.05609671298662831,AL1503,AL1504,2015-01-08
Y,-0.04567562279119679,y1505,y1509,2015-01-08
AG,-0.04162151220916545,AG1501,AG1506,2015-01-08
JM,-0.04010754924640325,jm1505,jm1509,2015-01-08
C,-0.03717519688549037,c1505,c1509,2015-01-08
OI,-0.036056955080328884,OI505,OI509,2015-01-08
P,-0.03300622684399433,p1505,p1509,2015-01-08
TF,-0.021456622524444743,TF1503,TF1506,2015-01-08
RB,-0.021308767658654172,RB1505,RB1510,2015-01-08
AU,-0.020931749188750324,AU1502,AU1506,2015-01-08
B,-0.0027343158508401954,b1505,b1509,2015-01-08
SM,-0.0,SM501,SM505,2015-01-08
PB,0.0048377343932787,PB1502,PB1503,2015-01-08
M,0.012596239639049149,m1505,m1509,2015-01-08
WR,0.02531649325624974,WR1502,WR1504,2015-01-08
ZN,0.04001822717405363,ZN1502,ZN1503,2015-01-08
A,0.04429610676798635,a1505,a1509,2015-01-08
FG,0.04683395705960067,FG506,FG509,2015-01-08
RM,0.05770699064686051,RM505,RM509,2015-01-08
V,0.06268034276483235,v1505,v1509,2015-01-08
RU,0.08178659709143471,RU1505,RU1509,2015-01-08
CU,0.09166524015401437,CU1503,CU1504,2015-01-08
BB,0.09253500291097312,bb1502,bb1505,2015-01-08
I,0.0952460949437409,i1505,i1509,2015-01-08
PP,0.10578151353182841,pp1505,pp1509,2015-01-08
L,0.10870086858385816,l1505,l1509,2015-01-08
HC,0.11453333681225716,HC1501,HC1505,2015-01-08
FB,0.1386701032612498,fb1501,fb1505,2015-01-08
J,0.3056211867549862,j1501,j1505,2015-01-08
ME,-0.35220078159627777,ME501,ME505,2015-01-09
BU,-0.35174521532879505,BU1506,BU1509,2015-01-09
FU,-0.274986694259845,FU1503,FU1506,2015-01-09
JD,-0.22785461338685603,jd1505,jd1509,2015-01-09
CS,-0.17386603081652202,cs1505,cs1509,2015-01-09
WR,-0.1737386801771473,WR1502,WR1504,2015-01-09
