,roll_yield,near_by,deferred,date
JD,-0.4266422230757219,jd2207,jd2209,2022-06-01
RU,-0.24428324833859444,RU2209,RU2301,2022-06-01
CS,-0.2176645442020738,cs2207,cs2209,2022-06-01
CJ,-0.20715087480369987,CJ209,CJ301,2022-06-01
LH,-0.19460484619166973,lh2209,lh2301,2022-06-01
FG,-0.10271572058736402,FG209,FG301,2022-06-01
RR,-0.08861360604272485,rr2207,rr2208,2022-06-01
C,-0.08829872040560569,c2207,c2209,2022-06-01
EG,-0.08549412770827727,eg2208,eg2209,2022-06-01
MA,-0.058516312401323156,MA208,MA209,2022-06-01
AP,-0.042471877618128547,AP210,AP301,2022-06-01
PK,-0.02948035066520769,PK210,PK301,2022-06-01
SR,-0.025611596925327232,SR209,SR211,2022-06-01
AG,-0.015447363029524177,AG2208,AG2212,2022-06-01
PB,-0.011894929108769804,PB2207,PB2208,2022-06-01
SM,-0.011387901210519611,SM208,SM209,2022-06-01
NR,-0.010260795836801718,NR2208,NR2209,2022-06-01
AU,-0.008314232728319406,AU2208,AU2212,2022-06-01
SP,-0.003431022182058349,SP2209,SP2210,2022-06-01
PF,-0.0028975009195465833,PF208,PF209,2022-06-01
BB,-0.0,bb2206,bb2207,2022-06-01
PP,0.0026939050511619106,pp2208,pp2209,2022-06-01
AL,0.0029589446580692335,AL2207,AL2208,2022-06-01
ZN,0.009170806713070872,ZN2207,ZN2208,2022-06-01
BC,0.009405126275006809,BC2208,BC2209,2022-06-01
TF,0.010660881884467135,TF2209,TF2212,2022-06-01
TS,0.010874138620033563,TS2206,TS2209,2022-06-01
T,0.014361240120063921,T2209,T2212,2022-06-01
CY,0.021957496914486847,CY209,CY301,2022-06-01
L,0.022607642304964648,l2208,l2209,2022-06-01
SF,0.038473902787594806,SF208,SF209,2022-06-01
CF,0.039148653538473466,CF209,CF301,2022-06-01
CU,0.043654728430253725,CU2207,CU2208,2022-06-01
PG,0.052112993209642945,pg2207,pg2208,2022-06-01
IF,0.05656679975021696,IF2206,IF2209,2022-06-01
RB,0.061592320444486884,RB2210,RB2301,2022-06-01
IH,0.06779332259534004,IH2206,IH2209,2022-06-01
HC,0.0712284454300355,HC2210,HC2301,2022-06-01
A,0.08082226121250444,a2207,a2209,2022-06-01
OI,0.08382125792148085,OI209,OI211,2022-06-01
SC,0.09014588592294853,SC2207,SC2208,2022-06-01
EB,0.09413613758641322,eb2207,eb2208,2022-06-01
IC,0.0969785569742942,IC2206,IC2209,2022-06-01
FU,0.09824924967074389,FU2209,FU2301,2022-06-01
B,0.11646543691613986,b2207,b2209,2022-06-01
Y,0.1176006331708237,y2209,y2301,2022-06-01
WR,0.12824578217375968,WR2210,WR2303,2022-06-01
V,0.13048231621173426,v2208,v2209,2022-06-01
TA,0.1319282341774462,TA208,TA209,2022-06-01
BU,0.1352465591570775,BU2209,BU2212,2022-06-01
J,0.14932297041979906,j2209,j2301,2022-06-01
UR,0.14981404946225718,UR209,UR301,2022-06-01
SS,0.1714314869697185,SS2207,SS2208,2022-06-01
JM,0.18470793750154663,jm2209,jm2301,2022-06-01
M,0.19264766535624522,m2209,m2301,2022-06-01
SA,0.19510123958720896,SA209,SA301,2022-06-01
SN,0.20015147461277683,SN2207,SN2208,2022-06-01
I,0.22347097342439315,i2209,i2301,2022-06-01
P,0.22660190886345738,p2209,p2301,2022-06-01
NI,0.2517275458068843,NI2207,NI2208,2022-06-01
FB,0.28789399850035696,fb2206,fb2209,2022-06-01
LU,0.49833446421048644,LU2208,LU2209,2022-06-01
RM,0.5344058676878145,RM209,RM301,2022-06-01
SC_TAS,,SC_TAS2207,SC_TAS2208,2022-06-01
JD,-0.41022455500818267,jd2207,jd2209,2022-06-02
RU,-0.245297864089703,RU2209,RU2301,2022-06-02
CJ,-0.21780243858945175,CJ209,CJ301,2022-06-02
CS,-0.2096443724462158,cs2207,cs2209,2022-06-02
LH,-0.17239518457819925,lh2209,lh2301,2022-06-02
RR,-0.10300492429669722,rr2207,rr2208,2022-06-02
MA,-0.09692765604352482,MA208,MA209,2022-06-02
FG,-0.08965802859083813,FG209,FG301,2022-06-02
EG,-0.08568064960171898,eg2208,eg2209,2022-06-02
C,-0.07771857306877739,c2207,c2209,2022-06-02
AP,-0.040887747201748544,AP210,AP301,2022-06-02
SR,-0.030464400882762824,SR209,SR211,2022-06-02
SM,-0.022529929171525145,SM208,SM209,2022-06-02
AG,-0.018399127144515717,AG2208,AG2212,2022-06-02
PB,-0.01595744916001978,PB2207,PB2208,2022-06-02
PK,-0.011649362665495303,PK210,PK301,2022-06-02
PF,-0.011627907886575082,PF208,PF209,2022-06-02
AU,-0.00915939548810462,AU2208,AU2212,2022-06-02
NR,-0.00513149462598283,NR2208,NR2209,2022-06-02
BB,-0.0,bb2206,bb2207,2022-06-02
PP,0.006747259103824206,pp2208,pp2209,2022-06-02
ZN,0.009104704533888288,ZN2207,ZN2208,2022-06-02
TF,0.010270089086272067,TF2209,TF2212,2022-06-02
AL,0.011619463507705206,AL2207,AL2208,2022-06-02
TS,0.012259636864688483,TS2206,TS2209,2022-06-02
T,0.014370555848971713,T2209,T2212,2022-06-02
SP,0.016567723189530568,SP2209,SP2210,2022-06-02
L,0.017229005113250328,l2208,l2209,2022-06-02
BC,0.02236372754744955,BC2208,BC2209,2022-06-02
CY,0.030139576790013174,CY209,CY301,2022-06-02
CU,0.04166381520267548,CU2207,CU2208,2022-06-02
SC,0.04543229152595854,SC2207,SC2208,2022-06-02
CF,0.046963314623393294,CF209,CF301,2022-06-02
PG,0.0474268166102873,pg2207,pg2208,2022-06-02
SF,0.051009641102334816,SF208,SF209,2022-06-02
IF,0.05660658546544546,IF2206,IF2209,2022-06-02
RB,0.060607220082408875,RB2210,RB2301,2022-06-02
A,0.0664984640915646,a2207,a2209,2022-06-02
HC,0.06779823325509328,HC2210,HC2301,2022-06-02
OI,0.07132010377302092,OI209,OI211,2022-06-02
IH,0.07136829878960825,IH2206,IH2209,2022-06-02
FU,0.07859391548433381,FU2209,FU2301,2022-06-02
EB,0.08435486432016004,eb2207,eb2208,2022-06-02
IC,0.09148146896263587,IC2206,IC2209,2022-06-02
TA,0.10331071677065137,TA208,TA209,2022-06-02
V,0.11659442031810549,v2208,v2209,2022-06-02
B,0.1183121352794385,b2207,b2209,2022-06-02
Y,0.12278460710734479,y2209,y2301,2022-06-02
BU,0.14045770460198118,BU2209,BU2212,2022-06-02
WR,0.145757380602197,WR2210,WR2303,2022-06-02
SS,0.1468806587340234,SS2207,SS2208,2022-06-02
UR,0.16288363698948594,UR209,UR301,2022-06-02
J,0.16297399906916848,j2209,j2301,2022-06-02
SN,0.16812412107571373,SN2207,SN2208,2022-06-02
SA,0.1839732567115389,SA209,SA301,2022-06-02
FB,0.1854008185365131,fb2206,fb2209,2022-06-02
M,0.20284567080736265,m2209,m2301,2022-06-02
JM,0.2063692608813461,jm2209,jm2301,2022-06-02
I,0.2160401595177019,i2209,i2301,2022-06-02
NI,0.23915822880891946,NI2207,NI2208,2022-06-02
P,0.24232591012708077,p2209,p2301,2022-06-02
LU,0.5140146762855847,LU2208,LU2209,2022-06-02
RM,0.5651327804129883,RM209,RM301,2022-06-02
SC_TAS,,SC_TAS2207,SC_TAS2208,2022-06-02
JD,-0.43596406522498043,jd2207,jd2209,2022-06-06
ZC,-0.36685198206727626,ZC207,ZC209,2022-06-06
RU,-0.24375600633393552,RU2209,RU2301,2022-06-06
CJ,-0.23313906937199166,CJ209,CJ301,2022-06-06
CS,-0.23090428246351508,cs2207,cs2209,2022-06-06
WH,-0.17235539248210455,WH209,WH303,2022-06-06
LH,-0.15563261780305038,lh2209,lh2301,2022-06-06
RR,-0.11384609552419732,rr2207,rr2208,2022-06-06
EG,-0.10791861591038161,eg2208,eg2209,2022-06-06
C,-0.09623637273548874,c2207,c2209,2022-06-06
MA,-0.09256707892712582,MA208,MA209,2022-06-06
FG,-0.06597297196136373,FG209,FG301,2022-06-06
AP,-0.058497168266103766,AP210,AP301,2022-06-06
