,roll_yield,near_by,deferred,date
FB,-0.5153829992075484,fb1906,fb1907,2019-06-03
RU,-0.23041623367123512,RU1909,RU2001,2019-06-03
P,-0.11296717898904099,p1909,p2001,2019-06-03
C,-0.09920743664806088,c1909,c2001,2019-06-03
Y,-0.08883851485079294,y1909,y2001,2019-06-03
MA,-0.08268864721805691,MA909,MA911,2019-06-03
EG,-0.07714231631705769,eg1909,eg2001,2019-06-03
CS,-0.05906671526076614,cs1909,cs2001,2019-06-03
AG,-0.03092990083910195,AG1906,AG1912,2019-06-03
M,-0.022222323833585453,m1909,m2001,2019-06-03
SN,-0.02131076584397802,SN1909,SN2001,2019-06-03
AU,-0.019242146629679525,AU1910,AU1912,2019-06-03
CU,-0.012999676279442072,CU1907,CU1908,2019-06-03
SP,-0.0102345515040064,SP1909,SP2001,2019-06-03
RM,-0.00803968290828565,RM001,RM909,2019-06-03
FG,-0.00429498560755133,FG001,FG909,2019-06-03
TA,-0.003940976370461998,TA001,TA909,2019-06-03
AP,-0.0030697544396363833,AP001,AP910,2019-06-03
SM,-0.0020963171574904294,SM001,SM909,2019-06-03
OI,-0.0010187666771608677,OI001,OI909,2019-06-03
SF,-0.00017969133554390993,SF001,SF909,2019-06-03
CY,0.0001226708027797535,CY001,CY909,2019-06-03
SR,0.0002499758184443362,SR001,SR909,2019-06-03
CJ,0.00029922970364389996,CJ001,CJ912,2019-06-03
CF,0.0040296917062275905,CF001,CF909,2019-06-03
WH,0.004871545606950061,WH001,WH909,2019-06-03
TS,0.009015104109011787,TS1909,TS1912,2019-06-03
NI,0.009898948798086754,NI1907,NI1908,2019-06-03
TF,0.011715405031792461,TF1909,TF1912,2019-06-03
T,0.019595243519267086,T1909,T1912,2019-06-03
A,0.02091766946120578,a1909,a2001,2019-06-03
AL,0.021257755780584052,AL1907,AL1908,2019-06-03
IH,0.026196789614140653,IH1906,IH1909,2019-06-03
B,0.02656967715226977,b1908,b1909,2019-06-03
L,0.037414334623260284,l1909,l2001,2019-06-03
IF,0.04877701801618276,IF1906,IF1909,2019-06-03
PB,0.056523891602198895,PB1907,PB1908,2019-06-03
J,0.06795471267421441,j1909,j2001,2019-06-03
JM,0.07657156933161022,jm1909,jm2001,2019-06-03
V,0.09009686129662527,v1909,v2001,2019-06-03
WR,0.10047314733754475,WR1907,WR1910,2019-06-03
SC,0.10098236310341502,SC1907,SC1908,2019-06-03
ZC,0.10348652538419292,ZC907,ZC909,2019-06-03
PP,0.10572612918450991,pp1909,pp2001,2019-06-03
IC,0.14391142640065216,IC1906,IC1909,2019-06-03
BU,0.17348316771730243,BU1909,BU1912,2019-06-03
JD,0.18799016034551003,jd1909,jd2001,2019-06-03
HC,0.1982929982630121,HC1910,HC2001,2019-06-03
ZN,0.21281345927722295,ZN1907,ZN1908,2019-06-03
FU,0.27223943059269207,FU1909,FU2001,2019-06-03
I,0.27684698496064586,i1909,i2001,2019-06-03
RB,0.2792870529164309,RB1910,RB2001,2019-06-03
BB,0.6903644488023482,bb1906,bb1910,2019-06-03
FB,-0.39347787387589006,fb1906,fb1907,2019-06-04
RU,-0.23139618709949655,RU1909,RU2001,2019-06-04
C,-0.1045401939905043,c1909,c2001,2019-06-04
P,-0.1027451985329482,p1909,p2001,2019-06-04
MA,-0.09481299149548016,MA909,MA911,2019-06-04
Y,-0.08353459592667628,y1909,y2001,2019-06-04
EG,-0.0799159352431919,eg1909,eg2001,2019-06-04
ZC,-0.055775922398309,ZC909,ZC911,2019-06-04
CS,-0.05522757724895749,cs1909,cs2001,2019-06-04
SC,-0.042528101216751976,SC1907,SC1908,2019-06-04
AG,-0.03345492000728558,AG1906,AG1912,2019-06-04
SN,-0.02916082114316699,SN1909,SN2001,2019-06-04
M,-0.029034099471150113,m1909,m2001,2019-06-04
AU,-0.018042111824162085,AU1910,AU1912,2019-06-04
RM,-0.007945387367973625,RM001,RM909,2019-06-04
SP,-0.007646563188184755,SP1909,SP2001,2019-06-04
FG,-0.004084522076191693,FG001,FG909,2019-06-04
TA,-0.00377842496714196,TA001,TA909,2019-06-04
AP,-0.0031183552127653936,AP001,AP910,2019-06-04
SM,-0.0023802039324167562,SM001,SM909,2019-06-04
OI,-0.0011732280655286657,OI001,OI909,2019-06-04
SF,-0.00035561491142725493,SF001,SF909,2019-06-04
CU,-0.0,CU1907,CU1908,2019-06-04
CY,2.447610939185659e-05,CY001,CY909,2019-06-04
CJ,0.00029761065222658683,CJ001,CJ912,2019-06-04
SR,0.0005338747800802922,SR001,SR909,2019-06-04
B,0.0037482430415632815,b1908,b1909,2019-06-04
CF,0.004079962275240325,CF001,CF909,2019-06-04
WH,0.004993565127116664,WH001,WH909,2019-06-04
TS,0.009610576252035853,TS1909,TS1912,2019-06-04
TF,0.013117743397918661,TF1909,TF1912,2019-06-04
AL,0.01711840518544749,AL1907,AL1908,2019-06-04
T,0.020183340114701222,T1909,T1912,2019-06-04
A,0.024944711344675408,a1909,a2001,2019-06-04
IH,0.02725734567892111,IH1906,IH1909,2019-06-04
NI,0.027329204358953127,NI1907,NI1908,2019-06-04
L,0.02957631579500468,l1909,l2001,2019-06-04
PB,0.04925026644883944,PB1907,PB1908,2019-06-04
IF,0.04983229433425885,IF1906,IF1909,2019-06-04
J,0.06415069807596889,j1909,j2001,2019-06-04
JM,0.07481135735566649,jm1909,jm2001,2019-06-04
V,0.07994382444867493,v1909,v2001,2019-06-04
PP,0.11706384459821075,pp1909,pp2001,2019-06-04
WR,0.1399502194933979,WR1907,WR1910,2019-06-04
IC,0.1439602925355542,IC1906,IC1909,2019-06-04
BU,0.17501975558835556,BU1909,BU1912,2019-06-04
HC,0.1871885563806686,HC1910,HC2001,2019-06-04
JD,0.19007743104670505,jd1909,jd2001,2019-06-04
ZN,0.21466410937069463,ZN1907,ZN1908,2019-06-04
FU,0.26684245804948853,FU1909,FU2001,2019-06-04
RB,0.2752086367035752,RB1910,RB2001,2019-06-04
I,0.2974028287281848,i1909,i2001,2019-06-04
BB,0.6903644488023482,bb1906,bb1910,2019-06-04
FB,-0.36117637388735296,fb1906,fb1907,2019-06-05
RU,-0.22285406107421407,RU1909,RU2001,2019-06-05
P,-0.10536757632230487,p1909,p2001,2019-06-05
C,-0.09915774936426555,c1909,c2001,2019-06-05
MA,-0.09096990375068463,MA909,MA911,2019-06-05
EG,-0.08445506645189067,eg1909,eg2001,2019-06-05
Y,-0.07925193995312035,y1909,y2001,2019-06-05
CS,-0.06155324669196849,cs1909,cs2001,2019-06-05
