,roll_yield,near_by,deferred,date
SA,-0.5380225583456741,SA103,SA105,2021-01-04
BB,-0.3951076443523873,bb2101,bb2102,2021-01-04
JR,-0.22771975789723312,JR101,JR105,2021-01-04
JD,-0.21051420893867773,jd2105,jd2109,2021-01-04
SC,-0.208119183676444,SC2102,SC2103,2021-01-04
JM,-0.20791794544430947,jm2102,jm2105,2021-01-04
AP,-0.19538623906118208,AP105,AP110,2021-01-04
UR,-0.15207934294655429,UR101,UR105,2021-01-04
NR,-0.15101574274886728,NR2103,NR2104,2021-01-04
BU,-0.12404094697024129,BU2103,BU2106,2021-01-04
CY,-0.12283019213132057,CY101,CY105,2021-01-04
CS,-0.11768929134806616,cs2103,cs2105,2021-01-04
EB,-0.11156595529962224,eb2102,eb2105,2021-01-04
LU,-0.11003194641916489,LU2104,LU2105,2021-01-04
FU,-0.08897779172595963,FU2105,FU2109,2021-01-04
SP,-0.08336261381844454,SP2103,SP2104,2021-01-04
TA,-0.0814939445533114,TA105,TA109,2021-01-04
RR,-0.06269779146847115,rr2102,rr2103,2021-01-04
WH,-0.054922156978574624,WH101,WH109,2021-01-04
PB,-0.051732794431676735,PB2102,PB2103,2021-01-04
EG,-0.04681776067488173,eg2103,eg2105,2021-01-04
SM,-0.045315957992338896,SM104,SM105,2021-01-04
AG,-0.035546678294272674,AG2102,AG2106,2021-01-04
M,-0.034256723925709644,m2105,m2109,2021-01-04
SR,-0.02745373534005721,SR105,SR109,2021-01-04
SN,-0.026404359604862336,SN2103,SN2104,2021-01-04
BC,-0.02083534814931726,BC2103,BC2104,2021-01-04
PG,-0.01847101442169504,pg2102,pg2103,2021-01-04
AU,-0.01749712095832446,AU2102,AU2106,2021-01-04
V,-0.016689890055986145,v2101,v2105,2021-01-04
CJ,-0.016212272322035412,CJ105,CJ109,2021-01-04
L,-0.015493886383187102,l2102,l2105,2021-01-04
RU,-0.014705911800620062,RU2105,RU2109,2021-01-04
CF,-0.014669955882575376,CF101,CF105,2021-01-04
SS,-0.013098054784118053,SS2103,SS2104,2021-01-04
CU,-0.012373261106558522,CU2102,CU2103,2021-01-04
PF,-0.010992378710673035,PF105,PF109,2021-01-04
RM,-0.010427539174057632,RM105,RM109,2021-01-04
NI,-0.008420724683776123,NI2103,NI2104,2021-01-04
PP,-0.007474773609073854,pp2103,pp2105,2021-01-04
TF,0.002807862128937123,TF2103,TF2106,2021-01-04
IF,0.002966512696633747,IF2101,IF2103,2021-01-04
TS,0.003389746221156038,TS2103,TS2106,2021-01-04
SF,0.0036052276071095986,SF104,SF105,2021-01-04
ZN,0.005741626903795641,ZN2102,ZN2103,2021-01-04
IH,0.0059321107765288456,IH2101,IH2103,2021-01-04
T,0.007160944087927109,T2103,T2106,2021-01-04
C,0.009848631861711957,c2105,c2109,2021-01-04
A,0.013571123663139135,a2103,a2105,2021-01-04
B,0.01718787593919671,b2102,b2103,2021-01-04
FG,0.03229309976147529,FG105,FG109,2021-01-04
RB,0.06493632333003194,RB2105,RB2110,2021-01-04
AL,0.07802368189616021,AL2102,AL2103,2021-01-04
IC,0.10839927242438682,IC2101,IC2103,2021-01-04
OI,0.12351499427852489,OI105,OI109,2021-01-04
WR,0.12976133104866197,WR2105,WR2110,2021-01-04
FB,0.13105006916595696,fb2101,fb2102,2021-01-04
HC,0.1532450533758476,HC2105,HC2106,2021-01-04
Y,0.19401639179195895,y2105,y2109,2021-01-04
MA,0.21321418420489358,MA103,MA105,2021-01-04
I,0.22288985809539713,i2105,i2109,2021-01-04
P,0.23438591419133165,p2102,p2105,2021-01-04
ZC,0.23999696228380113,ZC103,ZC105,2021-01-04
J,0.29155241108972485,j2102,j2105,2021-01-04
SC_TAS,,SC_TAS2102,SC_TAS2103,2021-01-04
SA,-0.5046961983670338,SA103,SA105,2021-01-05
FB,-0.48622149985479757,fb2101,fb2102,2021-01-05
BB,-0.3951076443523873,bb2101,bb2102,2021-01-05
SC,-0.22166235351940233,SC2102,SC2103,2021-01-05
JD,-0.20388373685312958,jd2105,jd2109,2021-01-05
JM,-0.17088072770824195,jm2103,jm2105,2021-01-05
LU,-0.16463672876976268,LU2104,LU2105,2021-01-05
CS,-0.16099236397604094,cs2103,cs2105,2021-01-05
UR,-0.15473348965582007,UR101,UR105,2021-01-05
NR,-0.12846294430875593,NR2103,NR2104,2021-01-05
AP,-0.12363406731615766,AP105,AP110,2021-01-05
BU,-0.12083589761358726,BU2103,BU2106,2021-01-05
EB,-0.1150052312050779,eb2102,eb2105,2021-01-05
CY,-0.10800203343269846,CY101,CY105,2021-01-05
FU,-0.10053597561997782,FU2105,FU2109,2021-01-05
TA,-0.08065410946785617,TA105,TA109,2021-01-05
EG,-0.06275637020717052,eg2103,eg2105,2021-01-05
RR,-0.05947148736427492,rr2102,rr2103,2021-01-05
SP,-0.05287248004452398,SP2103,SP2104,2021-01-05
WH,-0.04544080918096149,WH101,WH109,2021-01-05
AG,-0.039025786650380215,AG2102,AG2106,2021-01-05
SM,-0.037569405954137394,SM104,SM105,2021-01-05
CF,-0.036056955080328884,CF105,CF109,2021-01-05
M,-0.030848600866752167,m2105,m2109,2021-01-05
SR,-0.02795919584640668,SR105,SR109,2021-01-05
V,-0.025210232389138512,v2101,v2105,2021-01-05
A,-0.022876977454822332,a2103,a2105,2021-01-05
CJ,-0.01769046895209013,CJ105,CJ109,2021-01-05
AU,-0.015470085847820982,AU2102,AU2106,2021-01-05
CU,-0.014446643760497107,CU2102,CU2103,2021-01-05
PF,-0.013617817300258054,PF105,PF109,2021-01-05
L,-0.012991242338715705,l2102,l2105,2021-01-05
PG,-0.012161136080097529,pg2102,pg2103,2021-01-05
RU,-0.011424628659080909,RU2105,RU2109,2021-01-05
NI,-0.007406264700461545,NI2103,NI2104,2021-01-05
RM,-0.006258694898658834,RM105,RM109,2021-01-05
PB,-0.003996669479075055,PB2102,PB2103,2021-01-05
PP,-0.0030026273615506075,pp2103,pp2105,2021-01-05
BC,0.002319961341204313,BC2103,BC2104,2021-01-05
TF,0.003004732594905757,TF2103,TF2106,2021-01-05
TS,0.004583157399808447,TS2103,TS2106,2021-01-05
T,0.008370125798966996,T2103,T2106,2021-01-05
ZN,0.008513657682404288,ZN2102,ZN2103,2021-01-05
SF,0.010537100047748535,SF104,SF105,2021-01-05
SN,0.010567367647297815,SN2103,SN2104,2021-01-05
IF,0.011429215176477216,IF2101,IF2103,2021-01-05
IH,0.016662593409190074,IH2101,IH2103,2021-01-05
C,0.01847497235318272,c2105,c2109,2021-01-05
SS,0.021509236803778885,SS2103,SS2104,2021-01-05
FG,0.024623941253488865,FG105,FG109,2021-01-05
HC,0.029408503078019715,HC2105,HC2106,2021-01-05
B,0.04022992273681841,b2102,b2103,2021-01-05
AL,0.0469361745709455,AL2102,AL2103,2021-01-05
RB,0.0709029178148353,RB2105,RB2110,2021-01-05
IC,0.118823175077706,IC2101,IC2103,2021-01-05
OI,0.12823124951329182,OI105,OI109,2021-01-05
WR,0.131575690085201,WR2105,WR2110,2021-01-05
Y,0.1913556763001985,y2105,y2109,2021-01-05
I,0.2030625684237074,i2105,i2109,2021-01-05
P,0.2323019297887548,p2102,p2105,2021-01-05
MA,0.2409571408748038,MA103,MA105,2021-01-05
ZC,0.27896180543431026,ZC103,ZC105,2021-01-05
J,0.3296207862989299,j2102,j2105,2021-01-05
SC_TAS,,SC_TAS2102,SC_TAS2103,2021-01-05
SA,-0.543926209608785,SA103,SA105,2021-01-06
FB,-0.45188063325606065,fb2101,fb2102,2021-01-06
BB,-0.3951076443523873,bb2101,bb2102,2021-01-06
SC,-0.20217969444859235,SC2102,SC2103,2021-01-06
JM,-0.18479559032924187,jm2103,jm2105,2021-01-06
UR,-0.15626801088300724,UR101,UR105,2021-01-06
NR,-0.139374389048317,NR2103,NR2104,2021-01-06
JD,-0.13174679808615647,jd2105,jd2109,2021-01-06
BU,-0.12005518321460704,BU2103,BU2106,2021-01-06
CY,-0.10783690546043474,CY101,CY105,2021-01-06
FU,-0.09030549860300675,FU2105,FU2109,2021-01-06
EB,-0.08334625080027332,eb2102,eb2103,2021-01-06
TA,-0.07792645920978221,TA105,TA109,2021-01-06
EG,-0.07461939024605094,eg2103,eg2105,2021-01-06
AP,-0.05538995262933363,AP105,AP110,2021-01-06
WH,-0.05158263797395031,WH101,WH109,2021-01-06
CS,-0.05120941469902504,cs2105,cs2107,2021-01-06
SP,-0.04830600283655685,SP2103,SP2104,2021-01-06
AG,-0.040717520818060245,AG2102,AG2106,2021-01-06
SM,-0.04014500538103227,SM104,SM105,2021-01-06
PB,-0.035862553671811015,PB2102,PB2103,2021-01-06
CF,-0.03479420445681398,CF105,CF109,2021-01-06
BC,-0.034204298692279395,BC2103,BC2104,2021-01-06
M,-0.03207683907821031,m2105,m2109,2021-01-06
L,-0.027550064803037913,l2103,l2105,2021-01-06
SR,-0.02677095288664979,SR105,SR109,2021-01-06
A,-0.02468292819373636,a2103,a2105,2021-01-06
CJ,-0.02365709646955455,CJ105,CJ109,2021-01-06
RR,-0.023111851964781927,rr2102,rr2103,2021-01-06
AU,-0.02256646397469043,AU2104,AU2106,2021-01-06
SN,-0.021909534842586495,SN2103,SN2104,2021-01-06
V,-0.020935186144386775,v2101,v2105,2021-01-06
RU,-0.01976086187993477,RU2105,RU2109,2021-01-06
LU,-0.017341043480168555,LU2104,LU2105,2021-01-06
PF,-0.011595079099117387,PF105,PF109,2021-01-06
NI,-0.01019108341506394,NI2103,NI2104,2021-01-06
CU,-0.01016002092697296,CU2102,CU2103,2021-01-06
FG,-0.006648202166733661,FG105,FG109,2021-01-06
RM,-0.003090129028580763,RM105,RM109,2021-01-06
TF,0.001401576788210581,TF2103,TF2106,2021-01-06
ZN,0.00280734590121134,ZN2102,ZN2103,2021-01-06
TS,0.0037855206670667496,TS2103,TS2106,2021-01-06
B,0.005663048712934658,b2102,b2103,2021-01-06
SF,0.006700168200450926,SF103,SF105,2021-01-06
T,0.006733149591574752,T2103,T2106,2021-01-06
PG,0.012164217970153445,pg2102,pg2103,2021-01-06
AL,0.015594544105026042,AL2102,AL2103,2021-01-06
IF,0.015996454709565545,IF2101,IF2103,2021-01-06
C,0.02269872114994744,c2105,c2109,2021-01-06
IH,0.023506080994434856,IH2101,IH2103,2021-01-06
PP,0.04368037366367994,pp2103,pp2105,2021-01-06
SS,0.04713450087847994,SS2103,SS2104,2021-01-06
RB,0.07292686782646556,RB2105,RB2110,2021-01-06
HC,0.08262109262358318,HC2105,HC2106,2021-01-06
WR,0.1145714069247077,WR2105,WR2110,2021-01-06
OI,0.121644464741606,OI105,OI109,2021-01-06
IC,0.12301029051648302,IC2101,IC2103,2021-01-06
Y,0.19110862001714202,y2105,y2109,2021-01-06
I,0.1948736888243171,i2105,i2109,2021-01-06
J,0.19589538819187474,j2103,j2105,2021-01-06
MA,0.2124552955183202,MA103,MA105,2021-01-06
P,0.21830934445474265,p2105,p2109,2021-01-06
ZC,0.32264919809593073,ZC103,ZC105,2021-01-06
SC_TAS,,SC_TAS2102,SC_TAS2103,2021-01-06
SA,-0.5444345492780889,SA103,SA105,2021-01-07
BB,-0.3951076443523873,bb2101,bb2102,2021-01-07
FB,-0.22832250065632914,fb2101,fb2102,2021-01-07
SC,-0.21986430646394237,SC2102,SC2103,2021-01-07
JM,-0.20107701824903965,jm2103,jm2105,2021-01-07
CY,-0.13776026471906144,CY101,CY105,2021-01-07
JD,-0.1345029425843998,jd2105,jd2109,2021-01-07
NR,-0.10305148076678745,NR2103,NR2104,2021-01-07
BU,-0.10218436971078626,BU2103,BU2106,2021-01-07
EB,-0.09332981535128823,eb2102,eb2103,2021-01-07
LU,-0.0782611469566467,LU2104,LU2105,2021-01-07
FU,-0.06760087742223428,FU2105,FU2109,2021-01-07
TA,-0.06564813374852277,TA105,TA109,2021-01-07
AP,-0.064974190122321,AP105,AP110,2021-01-07
EG,-0.05159570151712024,eg2103,eg2105,2021-01-07
FG,-0.04331002482486738,FG105,FG109,2021-01-07
CS,-0.039517157117139934,cs2105,cs2107,2021-01-07
AG,-0.03780239027543878,AG2102,AG2106,2021-01-07
M,-0.03308389247943852,m2105,m2109,2021-01-07
SM,-0.032310255785326265,SM103,SM105,2021-01-07
CF,-0.030739942346718223,CF105,CF109,2021-01-07
SR,-0.02964506270729415,SR105,SR109,2021-01-07
CU,-0.028259054270671824,CU2102,CU2103,2021-01-07
L,-0.02376240729658143,l2103,l2105,2021-01-07
A,-0.022676543055222938,a2103,a2105,2021-01-07
V,-0.020993787562933665,v2101,v2105,2021-01-07
CJ,-0.020558083386121584,CJ105,CJ109,2021-01-07
SN,-0.020404955006324534,SN2103,SN2104,2021-01-07
AU,-0.019767401696579857,AU2104,AU2106,2021-01-07
NI,-0.017995054733095178,NI2103,NI2104,2021-01-07
PB,-0.015748033756201072,PB2102,PB2103,2021-01-07
RU,-0.010067123540916946,RU2105,RU2109,2021-01-07
PF,-0.007875168588177725,PF105,PF109,2021-01-07
SP,-0.007825236664649111,SP2103,SP2104,2021-01-07
BC,-0.006799509106279607,BC2103,BC2104,2021-01-07
B,-0.005673758970945726,b2102,b2103,2021-01-07
RM,-0.004142216743679822,RM105,RM109,2021-01-07
RR,0.0,rr2102,rr2103,2021-01-07
ZN,-0.0,ZN2102,ZN2103,2021-01-07
TF,0.0004002801964716205,TF2103,TF2106,2021-01-07
SF,0.0032876713151352753,SF103,SF105,2021-01-07
