,roll_yield,near_by,deferred,date
PB,-0.1066322632728694,PB1302,PB1303,2013-01-09
FG,-0.0960081932585212,FG305,FG309,2013-01-09
AG,-0.09557858559158332,AG1301,AG1306,2013-01-09
J,-0.08965622410181036,j1305,j1309,2013-01-09
ZN,-0.07026695419006306,ZN1303,ZN1304,2013-01-09
V,-0.06861235985207231,v1305,v1309,2013-01-09
AL,-0.06709440271191036,AL1302,AL1303,2013-01-09
IF,-0.062397158898377894,IF1301,IF1303,2013-01-09
ME,-0.060368547958551136,ME301,ME305,2013-01-09
C,-0.055940007501802134,c1305,c1309,2013-01-09
AU,-0.04296151110201578,AU1301,AU1306,2013-01-09
CU,-0.0370815745717377,CU1303,CU1304,2013-01-09
RU,-0.026386403373187595,RU1305,RU1309,2013-01-09
RB,-0.02210895754488927,RB1305,RB1310,2013-01-09
B,-0.019912288069720556,b1305,b1309,2013-01-09
A,-0.010747034989162425,a1305,a1309,2013-01-09
Y,-0.002789400479899582,y1305,y1309,2013-01-09
CF,0.010141733751655377,CF305,CF309,2013-01-09
SR,0.016514291901568782,SR305,SR309,2013-01-09
L,0.02248254082001947,l1305,l1309,2013-01-09
RO,0.025459841631956175,RO301,RO305,2013-01-09
TA,0.041574358823546376,TA305,TA309,2013-01-09
FU,0.05030740206082692,FU1303,FU1305,2013-01-09
M,0.08084738914912196,m1305,m1309,2013-01-09
RS,0.12256693614058875,RS309,RS311,2013-01-09
RM,0.20731616511988354,RM305,RM311,2013-01-09
WS,-0.13089126492594425,WS301,WS305,2013-01-10
P,-0.12920239328448807,p1305,p1309,2013-01-10
WH,-0.12226838192087318,WH307,WH309,2013-01-10
WR,-0.11595014749300919,WR1302,WR1305,2013-01-10
PB,-0.11002041704255408,PB1302,PB1303,2013-01-10
FG,-0.10081593830469479,FG305,FG309,2013-01-10
AG,-0.09680575546164882,AG1301,AG1306,2013-01-10
AL,-0.0946750473019552,AL1302,AL1303,2013-01-10
J,-0.09146054004786258,j1305,j1309,2013-01-10
ZN,-0.08532679777714602,ZN1303,ZN1304,2013-01-10
ME,-0.07524579333277077,ME301,ME305,2013-01-10
V,-0.06856177501245597,v1305,v1309,2013-01-10
IF,-0.06115781349131984,IF1301,IF1303,2013-01-10
PM,-0.0582057919575457,PM307,PM309,2013-01-10
CU,-0.04909655672437865,CU1303,CU1304,2013-01-10
AU,-0.04809894970519026,AU1301,AU1306,2013-01-10
C,-0.04747512343319067,c1305,c1309,2013-01-10
RU,-0.033017411071787524,RU1305,RU1309,2013-01-10
B,-0.028314238491920843,b1305,b1309,2013-01-10
RB,-0.019621068036580466,RB1305,RB1310,2013-01-10
A,-0.008199311316520465,a1305,a1309,2013-01-10
Y,0.002103049507785558,y1305,y1309,2013-01-10
CF,0.015612837736807586,CF305,CF309,2013-01-10
SR,0.020212842421346588,SR305,SR309,2013-01-10
L,0.022440497340491777,l1305,l1309,2013-01-10
TA,0.03381111158764875,TA305,TA309,2013-01-10
FU,0.059713635615756655,FU1303,FU1305,2013-01-10
OI,0.07291652645020857,OI307,OI309,2013-01-10
M,0.08377832664969674,m1305,m1309,2013-01-10
RS,0.10893222511454626,RS309,RS311,2013-01-10
RM,0.19794488458046866,RM305,RM311,2013-01-10
P,-0.12824354914040842,p1305,p1309,2013-01-11
PB,-0.12182845756821489,PB1302,PB1303,2013-01-11
WS,-0.12159838823973322,WS301,WS305,2013-01-11
FG,-0.09843671871836177,FG305,FG309,2013-01-11
AG,-0.09227542730658506,AG1301,AG1306,2013-01-11
J,-0.08058682645662939,j1305,j1309,2013-01-11
AL,-0.07498791052384973,AL1302,AL1303,2013-01-11
ZN,-0.07008456001957926,ZN1303,ZN1304,2013-01-11
V,-0.06917376005055738,v1305,v1309,2013-01-11
ME,-0.06510201219935395,ME301,ME305,2013-01-11
IF,-0.05830856785997407,IF1301,IF1303,2013-01-11
C,-0.05245102095175238,c1305,c1309,2013-01-11
CU,-0.03907793324026563,CU1303,CU1304,2013-01-11
WR,-0.024477383878371554,WR1302,WR1305,2013-01-11
AU,-0.017266126426865674,AU1306,AU1312,2013-01-11
RB,-0.015238146428780986,RB1305,RB1310,2013-01-11
RU,-0.01048341194932067,RU1305,RU1309,2013-01-11
A,-0.010077691609849187,a1305,a1309,2013-01-11
B,-0.007061092379308928,b1305,b1309,2013-01-11
Y,0.005660379037729934,y1305,y1309,2013-01-11
RO,0.007849456022840158,RO301,RO305,2013-01-11
SR,0.012375589247445602,SR305,SR309,2013-01-11
L,0.012799260941103424,l1305,l1309,2013-01-11
CF,0.03278721159657095,CF305,CF309,2013-01-11
TA,0.04439221811876127,TA305,TA309,2013-01-11
M,0.08403910868302202,m1305,m1309,2013-01-11
FU,0.10578138825762301,FU1303,FU1305,2013-01-11
RS,0.12500452141705215,RS309,RS311,2013-01-11
OI,0.12544010891588186,OI307,OI309,2013-01-11
RM,0.22324855944767064,RM305,RM311,2013-01-11
ME,-0.1737385384963015,ME301,ME305,2013-01-14
WH,-0.13202353599865935,WH307,WH309,2013-01-14
PB,-0.12640011535071416,PB1302,PB1303,2013-01-14
WS,-0.1255611605183247,WS301,WS305,2013-01-14
P,-0.12371982720680474,p1305,p1309,2013-01-14
RI,-0.10985294041689511,RI307,RI309,2013-01-14
FG,-0.10403397686776338,FG305,FG309,2013-01-14
AG,-0.09020638820756133,AG1301,AG1306,2013-01-14
AL,-0.08695690224920638,AL1302,AL1303,2013-01-14
J,-0.07944263174879239,j1305,j1309,2013-01-14
ZN,-0.06618021640290132,ZN1303,ZN1304,2013-01-14
V,-0.06451861566289105,v1305,v1309,2013-01-14
IF,-0.060928287236812,IF1301,IF1303,2013-01-14
C,-0.04404646822365087,c1305,c1309,2013-01-14
CU,-0.04108186141824967,CU1303,CU1304,2013-01-14
PM,-0.02434080417368658,PM307,PM309,2013-01-14
B,-0.023101718436121136,b1305,b1309,2013-01-14
AU,-0.016969089508240068,AU1306,AU1312,2013-01-14
RB,-0.01493842741496664,RB1305,RB1310,2013-01-14
RO,-0.010223523976519279,RO301,RO305,2013-01-14
A,-0.009970927334106656,a1305,a1309,2013-01-14
RU,-0.009273577709018639,RU1305,RU1309,2013-01-14
SR,-0.0005377789742825633,SR305,SR309,2013-01-14
Y,0.000703482240297014,y1305,y1309,2013-01-14
L,0.011288818588627153,l1305,l1309,2013-01-14
WR,0.022569949596326994,WR1302,WR1305,2013-01-14
CF,0.03503348493002367,CF305,CF309,2013-01-14
TA,0.045380208243051154,TA305,TA309,2013-01-14
FU,0.07975097866603503,FU1303,FU1305,2013-01-14
M,0.10352116686677897,m1305,m1309,2013-01-14
RS,0.12760536432352013,RS309,RS311,2013-01-14
RM,0.2282006656252703,RM305,RM311,2013-01-14
WS,-0.1275782784171982,WS301,WS305,2013-01-15
PB,-0.1275759524247301,PB1302,PB1303,2013-01-15
P,-0.11635807510546935,p1305,p1309,2013-01-15
FG,-0.10050200919013198,FG305,FG309,2013-01-15
AG,-0.09156423831450311,AG1301,AG1306,2013-01-15
J,-0.07860711718207235,j1305,j1309,2013-01-15
IF,-0.07647739633558685,IF1301,IF1302,2013-01-15
V,-0.0714851394568084,v1305,v1309,2013-01-15
ME,-0.06951795491370519,ME301,ME305,2013-01-15
AL,-0.06760581261907224,AL1302,AL1303,2013-01-15
WR,-0.06594949643608326,WR1302,WR1305,2013-01-15
ZN,-0.06342928544111853,ZN1303,ZN1304,2013-01-15
C,-0.0404005289456529,c1305,c1309,2013-01-15
