,roll_yield,near_by,deferred,date
FB,-0.7481541866883739,fb1601,fb1604,2016-01-04
JD,-0.4199403844836609,jd1605,jd1609,2016-01-04
BU,-0.2513923931017521,BU1601,BU1606,2016-01-04
TA,-0.08497598714473563,TA601,TA605,2016-01-04
AG,-0.06327773036874848,AG1601,AG1606,2016-01-04
BB,-0.05540535946302679,bb1601,bb1609,2016-01-04
P,-0.05200295295467132,p1605,p1609,2016-01-04
B,-0.050055379136267744,b1605,b1611,2016-01-04
NI,-0.05003041636405875,NI1601,NI1605,2016-01-04
SR,-0.04824704145579764,SR605,SR609,2016-01-04
FG,-0.02540850034072135,FG605,FG609,2016-01-04
AU,-0.02265819441193846,AU1606,AU1612,2016-01-04
MA,-0.019124956106131484,MA605,MA609,2016-01-04
RB,-0.018834177374545152,RB1605,RB1610,2016-01-04
ZN,-0.018244017197137908,ZN1602,ZN1603,2016-01-04
OI,-0.01058949211057398,OI605,OI609,2016-01-04
HC,-0.009932761203040555,HC1605,HC1610,2016-01-04
M,-0.006441917871442151,m1605,m1609,2016-01-04
TF,0.004973516667906599,TF1603,TF1606,2016-01-04
T,0.007416875511967801,T1603,T1606,2016-01-04
Y,0.018081955113035102,y1605,y1609,2016-01-04
RU,0.022227812232482175,RU1605,RU1609,2016-01-04
WH,0.022541089653587584,WH601,WH605,2016-01-04
V,0.025000144677432896,v1605,v1609,2016-01-04
CF,0.025372953383459698,CF605,CF609,2016-01-04
SN,0.041904205747209225,SN1601,SN1605,2016-01-04
CU,0.04329129157563071,CU1602,CU1603,2016-01-04
J,0.049941700299468844,j1605,j1609,2016-01-04
ZC,0.0516911396616257,ZC605,ZC609,2016-01-04
RM,0.05341387390052012,RM605,RM609,2016-01-04
A,0.07503552600315225,a1605,a1609,2016-01-04
PB,0.08703989295770581,PB1602,PB1603,2016-01-04
JM,0.09332866075395034,jm1605,jm1609,2016-01-04
SF,0.10192062997404344,SF601,SF605,2016-01-04
FU,0.1030853664604576,FU1604,FU1605,2016-01-04
PP,0.11455601321169845,pp1605,pp1609,2016-01-04
IH,0.1182834005275385,IH1601,IH1603,2016-01-04
I,0.12382710099669467,i1605,i1609,2016-01-04
AL,0.134706746637782,AL1602,AL1603,2016-01-04
IF,0.1759865456607162,IF1601,IF1603,2016-01-04
L,0.18094001330168605,l1605,l1609,2016-01-04
CS,0.23586286384778127,cs1605,cs1609,2016-01-04
TC,0.29835542796429054,TC601,TC604,2016-01-04
IC,0.3189126127919397,IC1601,IC1603,2016-01-04
C,0.3314403941843167,c1605,c1609,2016-01-04
WR,1.787821638316354,WR1601,WR1602,2016-01-04
FB,-0.7564049751173337,fb1601,fb1604,2016-01-05
JD,-0.38830810421685413,jd1605,jd1609,2016-01-05
BU,-0.24758470739573737,BU1601,BU1606,2016-01-05
BB,-0.1034200055602443,bb1601,bb1609,2016-01-05
TA,-0.09093661622411862,TA601,TA605,2016-01-05
AG,-0.06386674467538003,AG1601,AG1606,2016-01-05
P,-0.05775316590615755,p1605,p1609,2016-01-05
NI,-0.05268258160695036,NI1601,NI1605,2016-01-05
SR,-0.05152849122875519,SR605,SR609,2016-01-05
B,-0.05006519242523502,b1605,b1611,2016-01-05
ZN,-0.02702703845190158,ZN1602,ZN1603,2016-01-05
FG,-0.021634709146681207,FG605,FG609,2016-01-05
AU,-0.021593818061286577,AU1606,AU1612,2016-01-05
RB,-0.009372396848221635,RB1605,RB1610,2016-01-05
HC,-0.008564882910974344,HC1605,HC1610,2016-01-05
OI,-0.008415152782826046,OI605,OI609,2016-01-05
MA,-0.0034403673495198013,MA605,MA609,2016-01-05
M,0.0012806830503991563,m1605,m1609,2016-01-05
TF,0.004387933623771016,TF1603,TF1606,2016-01-05
T,0.004822424856979828,T1603,T1606,2016-01-05
CF,0.020156850746234942,CF605,CF609,2016-01-05
Y,0.02323955283331435,y1605,y1609,2016-01-05
RU,0.023645442606760103,RU1605,RU1609,2016-01-05
V,0.02505233765225989,v1605,v1609,2016-01-05
CU,0.02626540036283906,CU1602,CU1603,2016-01-05
SN,0.04100875474402303,SN1601,SN1605,2016-01-05
WH,0.04602101496740768,WH601,WH605,2016-01-05
RM,0.056286829366568675,RM605,RM609,2016-01-05
J,0.059173516043335775,j1605,j1609,2016-01-05
AL,0.06703928050367788,AL1603,AL1604,2016-01-05
ZC,0.06878781545061766,ZC605,ZC609,2016-01-05
PB,0.0723984096500137,PB1602,PB1603,2016-01-05
A,0.08076763756401109,a1605,a1609,2016-01-05
FU,0.0984188293610116,FU1604,FU1605,2016-01-05
JM,0.11167880533029992,jm1605,jm1609,2016-01-05
IH,0.11250329607225551,IH1601,IH1603,2016-01-05
PP,0.12106906034839102,pp1605,pp1609,2016-01-05
I,0.1419823320584816,i1605,i1609,2016-01-05
IF,0.17284852008331203,IF1601,IF1603,2016-01-05
L,0.18443707194334366,l1605,l1609,2016-01-05
CS,0.22810983918038238,cs1605,cs1609,2016-01-05
IC,0.3072412510071737,IC1601,IC1603,2016-01-05
C,0.3455141586662565,c1605,c1609,2016-01-05
WR,1.787821638316354,WR1601,WR1602,2016-01-05
FB,-0.5264110068724688,fb1601,fb1604,2016-01-06
JD,-0.37820731272249203,jd1605,jd1609,2016-01-06
BU,-0.23194301041341797,BU1601,BU1606,2016-01-06
BB,-0.1034200055602443,bb1601,bb1609,2016-01-06
P,-0.06781368689219361,p1605,p1609,2016-01-06
AG,-0.06384721424291145,AG1601,AG1606,2016-01-06
SR,-0.05627677306805753,SR605,SR609,2016-01-06
NI,-0.05144113725761191,NI1601,NI1605,2016-01-06
TA,-0.04663651545208692,TA605,TA609,2016-01-06
B,-0.03555371967667948,b1605,b1611,2016-01-06
FG,-0.02540850034072135,FG605,FG609,2016-01-06
AU,-0.025335819218277683,AU1606,AU1612,2016-01-06
HC,-0.018532910625384764,HC1605,HC1610,2016-01-06
ZN,-0.013779905820460688,ZN1602,ZN1603,2016-01-06
RB,-0.01079259828869826,RB1605,RB1610,2016-01-06
RU,-0.004465394027112558,RU1605,RU1609,2016-01-06
OI,-0.0042583399626788775,OI605,OI609,2016-01-06
TF,0.004176299879715213,TF1603,TF1606,2016-01-06
T,0.0056028023167405,T1603,T1606,2016-01-06
M,0.011526161457029309,m1605,m1609,2016-01-06
MA,0.01555751109709624,MA605,MA609,2016-01-06
CU,0.023156451017591156,CU1602,CU1603,2016-01-06
Y,0.023579971342130898,y1605,y1609,2016-01-06
V,0.028346667593797524,v1605,v1609,2016-01-06
SN,0.0318621243127077,SN1601,SN1605,2016-01-06
CF,0.049433316197117806,CF605,CF609,2016-01-06
RM,0.059888689646600254,RM605,RM609,2016-01-06
J,0.060559181912263144,j1605,j1609,2016-01-06
ZC,0.06710806135686352,ZC605,ZC609,2016-01-06
AL,0.06757408752756516,AL1603,AL1604,2016-01-06
PB,0.07283785640490867,PB1602,PB1603,2016-01-06
A,0.09578437567652917,a1605,a1609,2016-01-06
PP,0.11808130950384019,pp1605,pp1609,2016-01-06
WH,0.13478632941872593,WH601,WH605,2016-01-06
I,0.13978432081798892,i1605,i1609,2016-01-06
IH,0.145992603957184,IH1601,IH1603,2016-01-06
JM,0.15072937449561707,jm1605,jm1609,2016-01-06
FU,0.15894272100024814,FU1604,FU1605,2016-01-06
IF,0.1782048219915646,IF1601,IF1603,2016-01-06
L,0.18835042479159603,l1605,l1609,2016-01-06
CS,0.22287843486351344,cs1605,cs1609,2016-01-06
IC,0.31302647083170937,IC1601,IC1603,2016-01-06
C,0.35490633513803693,c1605,c1609,2016-01-06
WR,1.787821638316354,WR1601,WR1602,2016-01-06
FB,-0.5264110068724688,fb1601,fb1604,2016-01-07
JD,-0.3445264763926622,jd1605,jd1609,2016-01-07
BU,-0.18416110615533465,BU1601,BU1606,2016-01-07
BB,-0.1034200055602443,bb1601,bb1609,2016-01-07
TA,-0.08528772456155073,TA601,TA605,2016-01-07
B,-0.07044286992672642,b1605,b1611,2016-01-07
