,roll_yield,near_by,deferred,date
WT,-0.193443303069868,WT109,WT201,2011-06-01
WS,-0.1381372111828214,WS109,WS201,2011-06-01
L,-0.13072464772747228,l1109,l1201,2011-06-01
ER,-0.12723970104671817,ER109,ER201,2011-06-01
RO,-0.10757551747260272,RO109,RO201,2011-06-01
V,-0.08451263090008868,v1109,v1201,2011-06-01
J,-0.07906753411608737,j1109,j1201,2011-06-01
RU,-0.07096615971367826,RU1109,RU1201,2011-06-01
Y,-0.06833203323876771,y1109,y1201,2011-06-01
A,-0.06273866020525652,a1201,a1205,2011-06-01
ZN,-0.05581405410877013,ZN1107,ZN1108,2011-06-01
RB,-0.050643927479551445,RB1110,RB1201,2011-06-01
IF,-0.050571582103698,IF1106,IF1109,2011-06-01
C,-0.04635715542748849,c1109,c1201,2011-06-01
AL,-0.03566124466988976,AL1107,AL1108,2011-06-01
P,-0.031575847292821126,p1201,p1205,2011-06-01
PB,-0.024745921274863733,PB1109,PB1110,2011-06-01
B,-0.011178970214505438,b1201,b1203,2011-06-01
TA,0.0012325390477396705,TA109,TA201,2011-06-01
AU,0.0029581614443641158,AU1106,AU1112,2011-06-01
FU,0.00557380402720133,FU1109,FU1112,2011-06-01
WR,0.024149131328829187,WR1108,WR1111,2011-06-01
M,0.0698022122129462,m1201,m1205,2011-06-01
CU,0.07180930718690397,CU1107,CU1108,2011-06-01
SR,0.10453380270991564,SR109,SR201,2011-06-01
CF,0.17420072497586608,CF109,CF201,2011-06-01
WT,-0.18341646977822876,WT109,WT201,2011-06-02
L,-0.13988547945910115,l1109,l1201,2011-06-02
WS,-0.1379916756877782,WS109,WS201,2011-06-02
ER,-0.12831279889810765,ER109,ER201,2011-06-02
RO,-0.11077298571911223,RO109,RO201,2011-06-02
J,-0.10461047258657535,j1109,j1201,2011-06-02
V,-0.0947255377534435,v1109,v1201,2011-06-02
Y,-0.07209490252063704,y1109,y1201,2011-06-02
RU,-0.06945177671566853,RU1109,RU1201,2011-06-02
ZN,-0.05938012407615123,ZN1107,ZN1108,2011-06-02
A,-0.057068741469798415,a1201,a1205,2011-06-02
IF,-0.05203936059459707,IF1106,IF1109,2011-06-02
C,-0.04880191035826746,c1109,c1201,2011-06-02
RB,-0.04663106292272942,RB1110,RB1201,2011-06-02
AL,-0.028537468859609033,AL1107,AL1108,2011-06-02
P,-0.028277844329911473,p1201,p1205,2011-06-02
PB,-0.021308084912135213,PB1109,PB1110,2011-06-02
WR,-0.017674911138607016,WR1107,WR1108,2011-06-02
FU,-0.007976074427457798,FU1109,FU1112,2011-06-02
TA,0.0024958404101779277,TA109,TA201,2011-06-02
B,0.006198988050123564,b1201,b1203,2011-06-02
AU,0.03559088117972807,AU1106,AU1112,2011-06-02
M,0.08096443415294075,m1201,m1205,2011-06-02
CU,0.09539281796224752,CU1107,CU1108,2011-06-02
SR,0.10081166499217237,SR109,SR201,2011-06-02
CF,0.17501279899391867,CF109,CF201,2011-06-02
WT,-0.19257947291717942,WT109,WT201,2011-06-03
WS,-0.13906984281528584,WS109,WS201,2011-06-03
L,-0.13660672203586724,l1109,l1201,2011-06-03
ER,-0.1322813477905277,ER109,ER201,2011-06-03
RO,-0.11599747651136966,RO109,RO201,2011-06-03
J,-0.10891867430539891,j1109,j1201,2011-06-03
WR,-0.10065062152185039,WR1107,WR1108,2011-06-03
V,-0.09220370209954201,v1109,v1201,2011-06-03
ZN,-0.0723204944023245,ZN1107,ZN1108,2011-06-03
A,-0.062426959589616,a1201,a1205,2011-06-03
RU,-0.06096775871985449,RU1109,RU1201,2011-06-03
C,-0.05493287065416225,c1109,c1201,2011-06-03
IF,-0.05030843224378696,IF1106,IF1109,2011-06-03
RB,-0.049821981519605194,RB1110,RB1201,2011-06-03
PB,-0.042553236081005884,PB1109,PB1110,2011-06-03
AL,-0.03191962869186154,AL1107,AL1108,2011-06-03
P,-0.02523674188395577,p1201,p1205,2011-06-03
FU,-0.006365626965095222,FU1109,FU1112,2011-06-03
TA,-0.0036915509169932687,TA109,TA201,2011-06-03
Y,0.011419884364687986,y1201,y1205,2011-06-03
AU,0.02829429233937062,AU1106,AU1112,2011-06-03
B,0.056790547432062494,b1201,b1203,2011-06-03
CU,0.07692334033102823,CU1107,CU1108,2011-06-03
SR,0.08738697241675807,SR109,SR201,2011-06-03
M,0.08867640672463317,m1201,m1205,2011-06-03
CF,0.18054882329374844,CF109,CF201,2011-06-03
WT,-0.18203863271558227,WT109,WT201,2011-06-07
WS,-0.13921127052807244,WS109,WS201,2011-06-07
L,-0.13152791359252958,l1109,l1201,2011-06-07
ER,-0.12812102764807937,ER109,ER201,2011-06-07
RO,-0.11710196767220188,RO109,RO201,2011-06-07
J,-0.10993017641694255,j1109,j1201,2011-06-07
WR,-0.10065062152185039,WR1107,WR1108,2011-06-07
V,-0.09415377470937672,v1109,v1201,2011-06-07
A,-0.06630104100199777,a1201,a1205,2011-06-07
ZN,-0.06505936894958357,ZN1108,ZN1109,2011-06-07
RU,-0.051633322018078236,RU1109,RU1201,2011-06-07
PB,-0.04922362600820796,PB1109,PB1110,2011-06-07
IF,-0.04911294485085019,IF1106,IF1109,2011-06-07
RB,-0.04497645259734745,RB1110,RB1201,2011-06-07
C,-0.0426785440419252,c1109,c1201,2011-06-07
P,-0.02810923460645092,p1201,p1205,2011-06-07
AL,-0.024407970059572244,AL1107,AL1108,2011-06-07
AU,-0.008108540656081135,AU1106,AU1112,2011-06-07
FU,-0.00794123747035441,FU1109,FU1112,2011-06-07
TA,-0.0006218260981945801,TA109,TA201,2011-06-07
Y,0.010366683381465017,y1201,y1205,2011-06-07
B,0.02599282043480742,b1201,b1203,2011-06-07
CU,0.0718617498482897,CU1107,CU1108,2011-06-07
M,0.08497103108434079,m1201,m1205,2011-06-07
SR,0.09788577835205889,SR109,SR201,2011-06-07
CF,0.15565113194446017,CF109,CF201,2011-06-07
WT,-0.1852608493285007,WT109,WT201,2011-06-08
WS,-0.13921127052807244,WS109,WS201,2011-06-08
ER,-0.12728480634769743,ER109,ER201,2011-06-08
L,-0.12686591380207654,l1109,l1201,2011-06-08
RO,-0.11363255858319224,RO109,RO201,2011-06-08
WR,-0.10065062152185039,WR1107,WR1108,2011-06-08
V,-0.09064133578948991,v1109,v1201,2011-06-08
ZN,-0.07581874734054762,ZN1108,ZN1109,2011-06-08
A,-0.061734670970678036,a1201,a1205,2011-06-08
RU,-0.05666485356061758,RU1109,RU1201,2011-06-08
RB,-0.04249273873310907,RB1110,RB1201,2011-06-08
C,-0.04141458784037574,c1109,c1201,2011-06-08
IF,-0.03984331969000277,IF1106,IF1107,2011-06-08
PB,-0.031685510561307875,PB1109,PB1110,2011-06-08
P,-0.018655576360618716,p1201,p1205,2011-06-08
AL,-0.017510582415451094,AL1107,AL1108,2011-06-08
AU,-0.006572261606335653,AU1106,AU1112,2011-06-08
B,-0.003703322820993484,b1201,b1203,2011-06-08
FU,-0.003163305819271083,FU1109,FU1112,2011-06-08
TA,-0.0018854090910718829,TA109,TA201,2011-06-08
Y,0.011015569435115193,y1201,y1205,2011-06-08
M,0.0777151891243649,m1201,m1205,2011-06-08
SR,0.08958550229861464,SR109,SR201,2011-06-08
CU,0.09032586370875792,CU1107,CU1108,2011-06-08
J,0.11403973515393509,j1109,j1110,2011-06-08
CF,0.17460989563022936,CF109,CF201,2011-06-08
WT,-0.17724372452359846,WT109,WT201,2011-06-09
WS,-0.13721577072610036,WS109,WS201,2011-06-09
L,-0.1350090070916642,l1109,l1201,2011-06-09
ER,-0.13098468308499872,ER109,ER201,2011-06-09
RO,-0.11058255645417422,RO109,RO201,2011-06-09
WR,-0.10065062152185039,WR1107,WR1108,2011-06-09
V,-0.09287539893439707,v1109,v1201,2011-06-09
A,-0.0650324071599459,a1201,a1205,2011-06-09
ZN,-0.0620512729947856,ZN1108,ZN1109,2011-06-09
RU,-0.057564350443736124,RU1109,RU1201,2011-06-09
C,-0.04511363209362168,c1109,c1201,2011-06-09
IF,-0.043730646317883766,IF1106,IF1107,2011-06-09
RB,-0.042667071216780914,RB1110,RB1201,2011-06-09
PB,-0.0282270050763464,PB1109,PB1110,2011-06-09
AL,-0.028037395932235185,AL1107,AL1108,2011-06-09
P,-0.025734663490859844,p1201,p1205,2011-06-09
FU,-0.010251360958497643,FU1109,FU1112,2011-06-09
B,-0.0074089328204070826,b1201,b1203,2011-06-09
TA,-0.006955425183295986,TA109,TA201,2011-06-09
AU,-0.006279440009335505,AU1106,AU1112,2011-06-09
Y,0.01102195960868741,y1201,y1205,2011-06-09
M,0.0666894388613725,m1201,m1205,2011-06-09
CU,0.08342611813294933,CU1107,CU1108,2011-06-09
SR,0.09147730362541868,SR109,SR201,2011-06-09
J,0.09876598963818575,j1109,j1110,2011-06-09
CF,0.17400512736908097,CF109,CF201,2011-06-09
WT,-0.16826839995313075,WT109,WT201,2011-06-10
WS,-0.1389586034383499,WS109,WS201,2011-06-10
L,-0.1369848289260399,l1109,l1201,2011-06-10
ER,-0.13190220160604169,ER109,ER201,2011-06-10
RO,-0.11180702341899618,RO109,RO201,2011-06-10
J,-0.10585582753061311,j1109,j1201,2011-06-10
WR,-0.10065062152185039,WR1107,WR1108,2011-06-10
V,-0.09915223162734665,v1109,v1201,2011-06-10
ZN,-0.06822076361529911,ZN1108,ZN1109,2011-06-10
A,-0.06521995990921746,a1201,a1205,2011-06-10
RU,-0.054428361504962115,RU1109,RU1201,2011-06-10
C,-0.04509479479451338,c1109,c1201,2011-06-10
RB,-0.03936878201732493,RB1110,RB1201,2011-06-10
IF,-0.033336742651538014,IF1106,IF1107,2011-06-10
P,-0.024734355776929194,p1201,p1205,2011-06-10
B,-0.012353308872767397,b1201,b1203,2011-06-10
AL,-0.007005254139397708,AL1107,AL1108,2011-06-10
TA,-0.006967172982608126,TA109,TA201,2011-06-10
AU,-0.006624385020599199,AU1106,AU1112,2011-06-10
FU,0.0023807162690681898,FU1109,FU1112,2011-06-10
PB,0.010549451228882886,PB1109,PB1110,2011-06-10
Y,0.011689085507141725,y1201,y1205,2011-06-10
M,0.066850101195502,m1201,m1205,2011-06-10
CU,0.07433652090341543,CU1107,CU1108,2011-06-10
SR,0.08517502464378393,SR109,SR201,2011-06-10
CF,0.16926804823428457,CF109,CF201,2011-06-10
WT,-0.16050972011506004,WT109,WT201,2011-06-13
WS,-0.13616773578094396,WS109,WS201,2011-06-13
L,-0.13409281127599637,l1109,l1201,2011-06-13
ER,-0.12270228776316418,ER109,ER201,2011-06-13
RO,-0.10964867328726224,RO109,RO201,2011-06-13
V,-0.1085675050616228,v1109,v1201,2011-06-13
WR,-0.10065062152185039,WR1107,WR1108,2011-06-13
A,-0.0704195308020048,a1201,a1205,2011-06-13
ZN,-0.06537650578976953,ZN1108,ZN1109,2011-06-13
RU,-0.06536799693824347,RU1109,RU1201,2011-06-13
C,-0.051283300077900204,c1109,c1201,2011-06-13
RB,-0.04303786604776945,RB1110,RB1201,2011-06-13
IF,-0.02839086057475964,IF1106,IF1107,2011-06-13
P,-0.02153821934876968,p1201,p1205,2011-06-13
PB,-0.014159293678185235,PB1109,PB1110,2011-06-13
B,-0.012353308872767397,b1201,b1203,2011-06-13
AU,-0.004400441819204847,AU1106,AU1112,2011-06-13
FU,-0.0023816612790547404,FU1109,FU1112,2011-06-13
TA,-0.0006385016518731471,TA109,TA201,2011-06-13
AL,0.0035144238060535026,AL1107,AL1108,2011-06-13
Y,0.010522224348907025,y1201,y1205,2011-06-13
M,0.06380351314537197,m1201,m1205,2011-06-13
CU,0.08364883704604534,CU1107,CU1108,2011-06-13
J,0.08825477807604531,j1109,j1110,2011-06-13
SR,0.0984571249723608,SR109,SR201,2011-06-13
CF,0.1582811196041321,CF109,CF201,2011-06-13
WT,-0.16836997263685993,WT109,WT201,2011-06-14
L,-0.13604345993537775,l1109,l1201,2011-06-14
WS,-0.13570152547244618,WS109,WS201,2011-06-14
ER,-0.12703393267323687,ER109,ER201,2011-06-14
RO,-0.11235110355100016,RO109,RO201,2011-06-14
WR,-0.10065062152185039,WR1107,WR1108,2011-06-14
V,-0.09180642959418397,v1109,v1201,2011-06-14
ZN,-0.06526422270112053,ZN1108,ZN1109,2011-06-14
