underlying_symbol_x,underlying_symbol_y,settle_price_m,delisted_date_x,settle_price_sm,delisted_date_y,date,price_div_log,date_minus,factor
DCE.I,DCE.I,679.5,2022-05-18 00:00:00+08:00,646.0,2022-09-15 00:00:00+08:00,2022-01-04,0.05055772980859649,120,0.15377976150114767
DCE.J,DCE.J,3019.5,2022-05-18 00:00:00+08:00,2832.0,2022-09-15 00:00:00+08:00,2022-01-04,0.06410807893434545,120,0.19499540675863405
DCE.JD,DCE.JD,4111.0,2022-05-26 00:00:00+08:00,3809.0,2022-03-28 00:00:00+08:00,2022-01-04,0.07629962041927436,59,0.4720230754751719
DCE.JM,DCE.JM,2313.0,2022-05-18 00:00:00+08:00,2061.0,2022-01-17 00:00:00+08:00,2022-01-04,0.1153540813409802,121,0.34796892305337
DCE.L,DCE.L,8720.0,2022-05-18 00:00:00+08:00,8778.0,2022-03-14 00:00:00+08:00,2022-01-04,-0.006629353345154043,65,-0.037226368784326544
DCE.LH,DCE.LH,14245.0,2022-03-28 00:00:00+08:00,15305.0,2022-05-26 00:00:00+08:00,2022-01-04,-0.07177360444750419,59,-0.4440231461582887
DCE.M,DCE.M,3247.0,2022-05-18 00:00:00+08:00,3390.0,2022-03-14 00:00:00+08:00,2022-01-04,-0.043098428271649995,65,-0.24201425106388075
DCE.P,DCE.P,8660.0,2022-05-18 00:00:00+08:00,9526.0,2022-02-18 00:00:00+08:00,2022-01-04,-0.0953101798043249,89,-0.3908788272873998
DCE.PG,DCE.PG,4819.0,2022-02-23 00:00:00+08:00,4646.0,2022-03-28 00:00:00+08:00,2022-01-04,0.03655980330997835,33,0.4043735820649121
DCE.PP,DCE.PP,8314.0,2022-05-18 00:00:00+08:00,8312.0,2022-03-14 00:00:00+08:00,2022-01-04,0.00024058703351940118,65,0.0013509887266858682
DCE.RR,DCE.RR,3363.0,2022-03-14 00:00:00+08:00,3311.0,2022-02-18 00:00:00+08:00,2022-01-04,0.015583174193023411,24,0.2369941075188977
DCE.V,DCE.V,8546.0,2022-05-18 00:00:00+08:00,8555.0,2022-03-14 00:00:00+08:00,2022-01-04,-0.0010525701223235687,65,-0.00591058607150927
DCE.Y,DCE.Y,8934.0,2022-05-18 00:00:00+08:00,9190.0,2022-03-14 00:00:00+08:00,2022-01-04,-0.028251713437668705,65,-0.15864423699613966
INE.BC,INE.BC,62300.0,2022-03-15 00:00:00+08:00,62290.0,2022-04-15 00:00:00+08:00,2022-01-04,0.00016052652735332716,31,0.0018900704027085293
INE.LU,INE.LU,3641.0,2022-03-31 00:00:00+08:00,3643.0,2022-02-28 00:00:00+08:00,2022-01-04,-0.00054914883313035,31,-0.00646578464814767
INE.NR,INE.NR,11615.0,2022-03-15 00:00:00+08:00,11670.0,2022-04-15 00:00:00+08:00,2022-01-04,-0.004724080076092181,31,-0.05562223315398858
INE.SC,INE.SC,494.1,2022-01-21 00:00:00+08:00,492.0,2022-02-28 00:00:00+08:00,2022-01-04,0.00425920935939633,38,0.04091082674157001
SHFE.AG,SHFE.AG,4798.0,2022-06-15 00:00:00+08:00,4759.0,2022-02-15 00:00:00+08:00,2022-01-04,0.00816160227852936,120,0.02482487359719347
SHFE.AL,SHFE.AL,20245.0,2022-02-15 00:00:00+08:00,20265.0,2022-03-15 00:00:00+08:00,2022-01-04,-0.0009874105961474244,28,-0.01287160241406464
SHFE.AU,SHFE.AU,373.58,2022-06-15 00:00:00+08:00,371.9,2022-02-15 00:00:00+08:00,2022-01-04,0.00450717080013264,120,0.013709311183736781
SHFE.BU,SHFE.BU,3316.0,2022-06-15 00:00:00+08:00,3256.0,2022-03-15 00:00:00+08:00,2022-01-04,0.01825978913275469,92,0.0724437286245159
SHFE.CU,SHFE.CU,69800.0,2022-02-15 00:00:00+08:00,69900.0,2022-03-15 00:00:00+08:00,2022-01-04,-0.0014316394714377388,28,-0.01866244310981338
SHFE.FU,SHFE.FU,2859.0,2022-04-29 00:00:00+08:00,2852.0,2022-08-31 00:00:00+08:00,2022-01-04,0.0024514107881253517,124,0.007215846271498011
SHFE.HC,SHFE.HC,4459.0,2022-05-16 00:00:00+08:00,4310.0,2022-10-17 00:00:00+08:00,2022-01-04,0.03398662152968312,154,0.0805527068723009
SHFE.NI,SHFE.NI,151690.0,2022-02-15 00:00:00+08:00,151200.0,2022-03-15 00:00:00+08:00,2022-01-04,0.003235500858148279,28,0.042177064758004354
SHFE.PB,SHFE.PB,15435.0,2022-02-15 00:00:00+08:00,15485.0,2022-03-15 00:00:00+08:00,2022-01-04,-0.003234155471043448,28,-0.04215952667610209
SHFE.RB,SHFE.RB,4353.0,2022-05-16 00:00:00+08:00,4161.0,2022-10-17 00:00:00+08:00,2022-01-04,0.04510983256935625,154,0.10691616160918851
SHFE.RU,SHFE.RU,14735.0,2022-05-16 00:00:00+08:00,14925.0,2022-09-15 00:00:00+08:00,2022-01-04,-0.012812043089007743,122,-0.038331112520392015
SHFE.SN,SHFE.SN,290420.0,2022-02-15 00:00:00+08:00,285420.0,2022-03-15 00:00:00+08:00,2022-01-04,0.017366371430346337,28,0.22638305614558618
SHFE.SP,SHFE.SP,6040.0,2022-05-16 00:00:00+08:00,6044.0,2022-03-15 00:00:00+08:00,2022-01-04,-0.0006620324637695366,62,-0.0038974491818690457
SHFE.SS,SHFE.SS,17200.0,2022-02-15 00:00:00+08:00,16895.0,2022-03-15 00:00:00+08:00,2022-01-04,0.017891663653154095,28,0.2332306154786159
SHFE.WR,SHFE.WR,4429.0,2022-02-15 00:00:00+08:00,4475.0,2022-05-16 00:00:00+08:00,2022-01-04,-0.010332526785757518,90,-0.04190413640890549
SHFE.ZN,SHFE.ZN,24095.0,2022-02-15 00:00:00+08:00,24155.0,2022-03-15 00:00:00+08:00,2022-01-04,-0.0024870479140738765,28,-0.032420446022748746
CZCE.AP,CZCE.AP,8073.0,2022-05-18 00:00:00+08:00,7396.0,2022-10-21 00:00:00+08:00,2022-01-05,0.08758584688800013,156,0.20492842380846182
CZCE.CF,CZCE.CF,20935.0,2022-05-18 00:00:00+08:00,21555.0,2022-03-14 00:00:00+08:00,2022-01-05,-0.029185408727991344,65,-0.16388729516487446
CZCE.CJ,CZCE.CJ,12760.0,2022-05-18 00:00:00+08:00,13100.0,2022-09-15 00:00:00+08:00,2022-01-05,-0.02629695229046199,120,-0.07998656321682189
CZCE.CY,CZCE.CY,28165.0,2022-05-18 00:00:00+08:00,27270.0,2022-01-17 00:00:00+08:00,2022-01-05,0.03229287548918013,121,0.09741239300455164
CZCE.FG,CZCE.FG,1725.0,2022-05-18 00:00:00+08:00,1782.0,2022-08-12 00:00:00+08:00,2022-01-05,-0.03250927856529451,86,-0.1379754264689825
CZCE.JR,CZCE.JR,2740.0,2022-01-17 00:00:00+08:00,2689.0,2022-05-18 00:00:00+08:00,2022-01-05,0.018788543113251288,121,0.05667618377137785
CZCE.LR,CZCE.LR,2973.0,2022-01-17 00:00:00+08:00,2973.0,2022-03-14 00:00:00+08:00,2022-01-05,0.0,56,0.0
CZCE.MA,CZCE.MA,2579.0,2022-05-18 00:00:00+08:00,2563.0,2022-03-14 00:00:00+08:00,2022-01-05,0.006223279517273773,65,0.03494610805853734
CZCE.OI,CZCE.OI,12009.0,2022-05-18 00:00:00+08:00,12270.0,2022-03-14 00:00:00+08:00,2022-01-05,-0.021500890044273795,65,-0.12073576717169131
CZCE.PF,CZCE.PF,7200.0,2022-05-18 00:00:00+08:00,7156.0,2022-03-14 00:00:00+08:00,2022-01-05,0.0061298603755370095,65,0.03442152364724628
CZCE.PK,CZCE.PK,8206.0,2022-04-18 00:00:00+08:00,8608.0,2022-10-21 00:00:00+08:00,2022-01-05,-0.047826409399434236,186,-0.09385290016555645
CZCE.PM,CZCE.PM,2422.0,2022-01-17 00:00:00+08:00,2421.0,2022-03-14 00:00:00+08:00,2022-01-05,0.0004129671749791601,56,0.002691661051203454
CZCE.RI,CZCE.RI,2699.0,2022-07-14 00:00:00+08:00,2718.0,2022-01-17 00:00:00+08:00,2022-01-05,-0.007014981693084365,178,-0.01438465347177412
CZCE.RM,CZCE.RM,2992.0,2022-05-18 00:00:00+08:00,2977.0,2022-03-14 00:00:00+08:00,2022-01-05,0.005025978078591515,65,0.028222799979783122
CZCE.RS,CZCE.RS,5961.0,2022-08-12 00:00:00+08:00,5969.0,2022-07-14 00:00:00+08:00,2022-01-05,-0.001341156948723358,29,-0.016880078837380196
CZCE.SA,CZCE.SA,2237.0,2022-05-18 00:00:00+08:00,2324.0,2022-09-15 00:00:00+08:00,2022-01-05,-0.0381541564816722,120,-0.11605222596508627
CZCE.SF,CZCE.SF,8326.0,2022-05-18 00:00:00+08:00,8342.0,2022-03-14 00:00:00+08:00,2022-01-05,-0.00191984700196977,65,-0.010780679318753324
CZCE.SM,CZCE.SM,8074.0,2022-05-18 00:00:00+08:00,8050.0,2022-03-14 00:00:00+08:00,2022-01-05,0.0029769310002771736,65,0.016716612540017974
CZCE.SR,CZCE.SR,5798.0,2022-05-18 00:00:00+08:00,5772.0,2022-03-14 00:00:00+08:00,2022-01-05,0.004494389587839267,65,0.025237726147097423
CZCE.TA,CZCE.TA,5150.0,2022-05-18 00:00:00+08:00,5110.0,2022-03-14 00:00:00+08:00,2022-01-05,0.007797310460031711,65,0.04378489719863961
CZCE.UR,CZCE.UR,2481.0,2022-05-18 00:00:00+08:00,2402.0,2022-08-12 00:00:00+08:00,2022-01-05,0.03235998105187213,86,0.13734178004573636
CZCE.WH,CZCE.WH,2951.0,2022-05-18 00:00:00+08:00,2996.0,2022-09-15 00:00:00+08:00,2022-01-05,-0.015133969694170643,120,-0.04603249115310237
CZCE.ZC,CZCE.ZC,701.8,2022-05-11 00:00:00+08:00,697.6,2022-09-07 00:00:00+08:00,2022-01-05,0.006002590554344742,119,0.018411307162485974
DCE.A,DCE.A,5861.0,2022-03-14 00:00:00+08:00,5895.0,2022-05-18 00:00:00+08:00,2022-01-05,-0.005784296495042126,65,-0.03248104954908271
DCE.B,DCE.B,4409.0,2022-02-18 00:00:00+08:00,4274.0,2022-03-14 00:00:00+08:00,2022-01-05,0.031097749478844656,24,0.4729449399907624
DCE.BB,DCE.BB,373.3,2022-06-15 00:00:00+08:00,373.3,2022-08-12 00:00:00+08:00,2022-01-05,0.0,58,0.0
DCE.C,DCE.C,2704.0,2022-05-18 00:00:00+08:00,2665.0,2022-03-14 00:00:00+08:00,2022-01-05,0.014528100562909808,65,0.0815808723917243
DCE.CS,DCE.CS,3011.0,2022-03-14 00:00:00+08:00,3089.0,2022-05-18 00:00:00+08:00,2022-01-05,-0.02557516443684791,65,-0.14361438491460748
DCE.EB,DCE.EB,8533.0,2022-02-23 00:00:00+08:00,8544.0,2022-03-28 00:00:00+08:00,2022-01-05,-0.0012882826633912846,33,-0.01424918703447936
DCE.EG,DCE.EG,5067.0,2022-05-26 00:00:00+08:00,5049.0,2022-03-28 00:00:00+08:00,2022-01-05,0.0035587226169941544,59,0.022015826359370615
DCE.FB,DCE.FB,1329.5,2022-02-18 00:00:00+08:00,1284.5,2022-01-17 00:00:00+08:00,2022-01-05,0.03443339413313618,32,0.39275590183108455
DCE.I,DCE.I,688.5,2022-05-18 00:00:00+08:00,653.0,2022-09-15 00:00:00+08:00,2022-01-05,0.052938188892278575,120,0.16102032454734733
DCE.J,DCE.J,3103.5,2022-05-18 00:00:00+08:00,2929.0,2022-09-15 00:00:00+08:00,2022-01-05,0.05786943902597395,120,0.1760195437040041
DCE.JD,DCE.JD,4142.0,2022-05-26 00:00:00+08:00,3799.0,2022-03-28 00:00:00+08:00,2022-01-05,0.08644088876790383,59,0.5347614305133034
DCE.JM,DCE.JM,2335.0,2022-05-18 00:00:00+08:00,2152.0,2022-01-17 00:00:00+08:00,2022-01-05,0.08161424882132261,121,0.24619174231225416
DCE.L,DCE.L,8650.0,2022-05-18 00:00:00+08:00,8676.0,2022-03-14 00:00:00+08:00,2022-01-05,-0.003001272020839981,65,-0.016853296732409123
DCE.LH,DCE.LH,14255.0,2022-03-28 00:00:00+08:00,15510.0,2022-05-26 00:00:00+08:00,2022-01-05,-0.08437725482381216,59,-0.521994881537143
DCE.M,DCE.M,3274.0,2022-05-18 00:00:00+08:00,3419.0,2022-03-14 00:00:00+08:00,2022-01-05,-0.04333563170822111,65,-0.24334623959231858
DCE.P,DCE.P,8808.0,2022-05-18 00:00:00+08:00,9472.0,2022-03-14 00:00:00+08:00,2022-01-05,-0.07267967872127098,65,-0.40812434974252165
DCE.PG,DCE.PG,4904.0,2022-02-23 00:00:00+08:00,4718.0,2022-03-28 00:00:00+08:00,2022-01-05,0.03866621764842691,33,0.4276718012629037
DCE.PP,DCE.PP,8250.0,2022-05-18 00:00:00+08:00,8254.0,2022-03-14 00:00:00+08:00,2022-01-05,-0.00048473098380049924,65,-0.0027219509090335727
DCE.RR,DCE.RR,3360.0,2022-03-14 00:00:00+08:00,3313.0,2022-02-18 00:00:00+08:00,2022-01-05,0.014086850657354101,24,0.21423752041392696
DCE.V,DCE.V,8496.0,2022-05-18 00:00:00+08:00,8509.0,2022-03-14 00:00:00+08:00,2022-01-05,-0.0015289623678372407,65,-0.008585711757855274
DCE.Y,DCE.Y,9040.0,2022-05-18 00:00:00+08:00,9276.0,2022-03-14 00:00:00+08:00,2022-01-05,-0.025771244989200134,65,-0.1447154526316623
INE.BC,INE.BC,62840.0,2022-03-15 00:00:00+08:00,62870.0,2022-04-15 00:00:00+08:00,2022-01-05,-0.0004772890075493508,31,-0.005619693153403647
INE.LU,INE.LU,3679.0,2022-03-31 00:00:00+08:00,3652.0,2022-04-29 00:00:00+08:00,2022-01-05,0.007366013389915225,29,0.09271016852824335
INE.NR,INE.NR,11765.0,2022-03-15 00:00:00+08:00,11835.0,2022-04-15 00:00:00+08:00,2022-01-05,-0.005932220786621415,31,-0.06984711571344569
INE.SC,INE.SC,500.9,2022-01-21 00:00:00+08:00,498.6,2022-02-28 00:00:00+08:00,2022-01-05,0.0046023092741134764,38,0.04420639171187944
SHFE.AG,SHFE.AG,4792.0,2022-06-15 00:00:00+08:00,4736.0,2022-02-15 00:00:00+08:00,2022-01-05,0.011754963231443684,120,0.03575467982897454
SHFE.AL,SHFE.AL,20285.0,2022-02-15 00:00:00+08:00,20305.0,2022-03-15 00:00:00+08:00,2022-01-05,-0.0009854644798505904,28,-0.01284623339805234
SHFE.AU,SHFE.AU,374.46,2022-06-15 00:00:00+08:00,372.76,2022-02-15 00:00:00+08:00,2022-01-05,0.004550207256551761,120,0.013840213738678274
SHFE.BU,SHFE.BU,3326.0,2022-06-15 00:00:00+08:00,3268.0,2022-03-15 00:00:00+08:00,2022-01-05,0.017592203772979584,92,0.06979515627323422
SHFE.CU,SHFE.CU,70250.0,2022-02-15 00:00:00+08:00,70350.0,2022-03-15 00:00:00+08:00,2022-01-05,-0.0014224753465428782,28,-0.018542982196005375
